pickset,split,cell,green,green_S1,null_green_mean,null_green_sd,p_green,pnl,pnl_S1,null_pnl_mean,null_pnl_sd,p_pnl
P1,TRAIN,S0,30.18867924528302,30.18867924528302,30.188679245283023,3.552713678800501e-15,1.0,107496.11568335636,99473.46264160392,98875.38315928646,7946.4837913928695,0.143
P1,TRAIN,S4,30.18867924528302,30.18867924528302,30.021698113207552,0.5358880865403102,0.9115,124634.1430583775,99473.46264160392,100187.70662888461,11778.037949019637,0.018
P1,TRAIN,S2,30.18867924528302,30.18867924528302,30.188679245283023,3.552713678800501e-15,1.0,91674.66640304223,99473.46264160392,99101.62235306989,6967.965209764612,0.852
P1,VAL,S0,40.909090909090914,40.909090909090914,40.90909090909092,7.105427357601002e-15,1.0,27078.97999881379,35621.42028861475,33191.94162012077,5178.212231076529,0.875
P1,VAL,S4,40.909090909090914,40.909090909090914,40.90909090909092,7.105427357601002e-15,1.0,33641.812694568645,35621.42028861475,35527.129709363886,6845.474191520628,0.593
P1,VAL,S2,40.909090909090914,40.909090909090914,40.90909090909092,7.105427357601002e-15,1.0,36150.55332941653,35621.42028861475,35925.97635158416,3520.52460990826,0.481
F7,TRAIN,S0,52.83018867924528,56.60377358490566,54.785849056603766,2.5844013762335956,0.872,172644.74986872077,145718.98676750617,139140.4861159274,21403.542966837744,0.059
F7,TRAIN,S4,58.490566037735846,56.60377358490566,55.3811320754717,2.116318464878247,0.143,175583.8439436981,145718.98676750617,145283.09961287322,17037.207659012733,0.0365
F7,TRAIN,S2,56.60377358490566,56.60377358490566,55.10943396226415,2.256856173175609,0.4215,121776.15532734443,145718.98676750617,145718.45233815644,20654.282943893304,0.8695
F7,VAL,S0,54.54545454545454,54.54545454545454,52.47272727272727,4.381271184266348,0.532,41458.941029920556,39278.60873594633,42744.796412609474,11848.584700536805,0.5415
F7,VAL,S4,59.09090909090909,54.54545454545454,53.047727272727265,3.723195524996689,0.131,48061.28283872629,39278.60873594633,42176.271347314294,8800.41576638331,0.252
F7,VAL,S2,50.0,54.54545454545454,53.04545454545455,3.704196860341697,0.923,35138.157183808755,39278.60873594633,35239.13603504023,7607.1593394788815,0.5035
