pop,window,n,total,naive,cov_term
P_all,pooled,886,-204858.37000000005,-104454.51697541842,-100403.85302458164
P_all,2025,463,-60810.03000000003,-12717.743607091008,-48092.28639290902
P_all,2026,423,-144048.34000000003,-94697.29133359036,-49351.04866640967
P_univ,pooled,630,2875.8699999999953,-15451.750304792718,18327.620304792712
P_univ,2025,386,78516.63999999998,42853.82121053344,35662.818789466546
P_univ,2026,244,-75640.77,-52358.18442504865,-23282.585574951358
P_gate,pooled,206,114777.42,119639.34608682501,-4861.926086825013
P_gate,2025,121,129386.63999999998,119593.60010022054,9793.03989977944
P_gate,2026,85,-14609.220000000001,1807.9711911019106,-16417.191191101912
P_pick(P1),pooled,56,139112.2168712865,139237.87704292615,-125.66017163963988
P_pick(P1),2025,34,112279.46142461983,114309.75306461424,-2030.291639994408
P_pick(P1),2026,22,26832.755446666673,27503.963510256257,-671.2080635895836
P_pickF7,pooled,242,180636.84353996083,155566.91401898398,25069.929520976846
P_pickF7,2025,149,169953.31109068947,124548.8893021309,45404.42178855857
P_pickF7,2026,93,10683.532449271333,32047.538541184935,-21364.0060919136
