pop,window,n,rho_risk_R,p,lo,hi,rho_risk_signR,p_sign
P_all,pooled,886,-0.00936904537540699,0.780636939014073,-0.07575067999954796,0.055447144337577706,-0.04051532132658258,0.22829551485922173
P_all,2025,463,-0.005613940315872298,0.9041092503500598,-0.09534414290796463,0.08394990755992689,-0.04922254402957139,0.2905478138878019
P_all,2026,423,-0.007082297712086452,0.8845275795898813,-0.09910374505179917,0.08724455035546415,-0.031027892903867822,0.5245063295867034
P_univ,pooled,630,0.016535616419755657,0.6786948687550787,-0.06218865954218436,0.09319113706282808,-0.018306756102128553,0.6465057547384652
P_univ,2025,386,0.025973664219724423,0.6109398279928583,-0.0753924295772284,0.12289033663133239,-0.022720418490969865,0.6563232669579646
P_univ,2026,244,5.576027377895774e-05,0.9993086086562328,-0.12450935247196772,0.12403297542392419,-0.013212324686977115,0.8373125246937911
P_gate,pooled,206,0.06361450216473433,0.36366452997730814,-0.07368889236122675,0.19255615114255853,-0.02829332592514227,0.6864366932420212
P_gate,2025,121,0.11987067559510195,0.19032505082574164,-0.06480172871894338,0.29577446369538374,0.05420238930184681,0.5548744117735831
P_gate,2026,85,-0.02568073994131172,0.8155303554312847,-0.23185841733725937,0.1821020491676614,-0.15141879186900933,0.16656278740682678
P_pick(P1),pooled,56,0.021776289118879747,0.8734307733031804,-0.24943394022294113,0.2876536696776552,-0.09130292072345342,0.5033435525634895
P_pick(P1),2025,34,0.01268725175323706,0.9432271369905948,-0.358233897192375,0.36256927839358705,-0.0847157552249468,0.63382173155342
P_pick(P1),2026,22,0.07683615819209041,0.7339622654820145,-0.3531454172478871,0.4815352458368964,-0.09474583570560262,0.6749218762516647
P_pickF7,pooled,242,0.08813371749554857,0.17175042813847938,-0.035007901424947196,0.20835119695323762,0.015973081939468774,0.8047441070891721
P_pickF7,2025,149,0.19760998235090818,0.015705275458297103,0.038277452786166635,0.34912562469864256,0.05424431138745539,0.5111527515684724
P_pickF7,2026,93,-0.08431811399582215,0.4216456847745629,-0.2698052299636133,0.1128599628945732,-0.05214686939114381,0.6195961618002119
