pop,comp,n,rho25,rho26,rho,p,lo,hi,verdict
P_gate,conv_pole_gain,206,-0.20446153612317397,0.017269130114816875,-0.12489050071798237,0.07367637486845115,-0.26126439194837986,0.015250380891956445,noise
P_gate,conv_flag_tightness,206,-0.06095994596854236,-0.2297967152939398,-0.11745607207271265,0.09268940428843464,-0.252630579287678,0.022199573653258333,ANTI-PREDICTIVE
P_gate,conv_vol_ratio,206,-0.08483471648200207,-0.042199183239491705,-0.0652606204955315,0.3513569646797634,-0.20190429858379702,0.07334026575517252,ANTI-PREDICTIVE
P_gate,conv_spy_regime,206,-0.08041084281291937,0.05289959151984028,-0.027513315759864675,0.694643154067605,-0.16400687836242672,0.11698384386822948,noise
P_gate,conv_retracement,206,-0.07415406496562679,-0.051463659088527514,-0.07583532492843315,0.2786400498108861,-0.2113068015369461,0.05804182075297162,ANTI-PREDICTIVE
P_gate,conv_vwap_dist,206,0.10356326023486766,0.03944408049381609,0.08297192208064441,0.23575253913819988,-0.05158848496295216,0.21488013200535466,predictive
P_gate,conv_gap_fading,206,0.001718674919756771,-0.04598094758785219,-0.01676652746487,0.8109524887195099,-0.12912698654887053,0.09253867587813532,noise
P_gate,macd_zone_mult,206,-0.16501420521261626,-0.10107265148968302,-0.12026500436757234,0.08509138815960023,-0.25078593379178016,0.016085103509053702,ANTI-PREDICTIVE
P_gate,conv_raw_score,206,-0.018733145458176618,-0.06317343390298091,-0.03304522062676583,0.6372616405619405,-0.18047907631627616,0.11547311068292497,ANTI-PREDICTIVE
P_univ,conv_pole_gain,630,-0.0171433305200173,0.0634967169090512,0.010846736882557323,0.7858386644148243,-0.06880442551857219,0.08962849391111265,noise
P_univ,conv_flag_tightness,630,-0.06878801310419898,-0.14175554112637181,-0.09415016067569447,0.018092987026412575,-0.1722410193802882,-0.014834460486757033,ANTI-PREDICTIVE
P_univ,conv_vol_ratio,630,-0.025674908835988546,-0.037771024323937745,-0.03104355219250263,0.43667098907614166,-0.10685939497386437,0.047170567991802206,ANTI-PREDICTIVE
P_univ,conv_spy_regime,630,-0.016685141283851065,0.018051452049790518,-0.006027502133564805,0.8799835859778049,-0.0842085391366245,0.07188928488096864,noise
P_univ,conv_retracement,630,-0.0713023403795078,-0.02741747753757683,-0.05736642645071902,0.15037422410145107,-0.13555812716084792,0.019765338680978517,ANTI-PREDICTIVE
P_univ,conv_vwap_dist,630,0.1061385385267675,0.09035565255839735,0.10073864889175833,0.01140829730819317,0.020800199711738257,0.1757085430885738,predictive
P_univ,conv_gap_fading,630,0.022792704832524994,0.03087060265647717,0.02461014811589251,0.5375141200779942,-0.04954194454512695,0.09854277759462171,predictive
P_univ,macd_zone_mult,630,0.05910713751541831,0.09967981202837767,0.07905391208486295,0.047322569063187984,0.003803800949616264,0.1562069122009964,predictive
P_univ,conv_raw_score,630,0.02191455080299847,-0.004892650597570516,0.010645858572680883,0.7897110682002528,-0.07211078952045658,0.09145293019928359,noise
P_pickF7,conv_pole_gain,242,-0.11922626414528745,0.04059226119127827,-0.07448153936387782,0.24839124902134993,-0.1983840346414158,0.05130903094560211,noise
P_pickF7,conv_flag_tightness,242,0.0185746569298539,-0.06642133162775406,0.0008409996371955814,0.9896157073762151,-0.11832791210468485,0.12246936887637919,noise
P_pickF7,conv_vol_ratio,242,-0.08101215269005062,0.06257624326937257,-0.02492870547479967,0.6996064682240355,-0.14755644522237932,0.10262085424751613,noise
P_pickF7,conv_spy_regime,242,-0.013788923567761423,0.13928992046696306,0.04071532340023474,0.5284565614577782,-0.08372951090955678,0.16232975811796133,noise
P_pickF7,conv_retracement,242,-0.11103208174865042,-0.05319339918177588,-0.09013959025287488,0.16216418068075453,-0.218266461601095,0.03651696768663073,ANTI-PREDICTIVE
P_pickF7,conv_vwap_dist,242,0.08467202940988097,-0.014858054406411214,0.05395774844512016,0.40335266152821336,-0.07186154333047526,0.17729882741339967,noise
P_pickF7,conv_gap_fading,242,0.028883697756608855,0.013820135577668943,0.026999670256119355,0.6760072015562999,-0.08913877441973851,0.14610636424514079,predictive
P_pickF7,macd_zone_mult,242,0.022446613948311083,0.05846131480472492,0.048117198472313355,0.4562209044187824,-0.07531951374607233,0.16958963058520413,predictive
P_pickF7,conv_raw_score,242,0.04169481838743232,0.11047764403457065,0.06897798957080777,0.2851763085358699,-0.06284360404075494,0.1996960963191835,predictive
