pop,window,n,rho,p,lo,hi
P_all,pooled,886,-0.01518965833942929,0.6516152778573088,-0.08290219608986323,0.0534081929861228
P_all,2025,463,-0.02515228701870616,0.5893107371398889,-0.1194948831402739,0.07035692928640852
P_all,2026,423,-0.0028288020958158115,0.9537423949652502,-0.10007434822635487,0.0951021147913017
P_univ,pooled,630,0.010548788915599912,0.7915841799242542,-0.07113188493930742,0.09052769528325162
P_univ,2025,386,0.021306215541118168,0.6764659400746502,-0.08462467799073929,0.1282614090709729
P_univ,2026,244,-0.004837994763160203,0.9400681021629571,-0.13236829007551912,0.12089105983306545
P_gate,pooled,206,-0.03461364573211246,0.6213596307903402,-0.1845150822989254,0.11493353235429563
P_gate,2025,121,-0.022393295438068377,0.8073857587651493,-0.21506306231827654,0.174176105790334
P_gate,2026,85,-0.06317343390298091,0.5657101448822446,-0.28516217389273846,0.15578560347156073
P_pick(P1),pooled,56,0.14313764426370376,0.29260870799323335,-0.11624000615919408,0.3850510158428592
P_pick(P1),2025,34,0.23271782892341403,0.18534357673708834,-0.0901776393315063,0.5275662265853527
P_pick(P1),2026,22,-0.10160353601337803,0.6527736613293126,-0.5013071423907094,0.33783679813490664
P_pickF7,pooled,242,0.06845597553596247,0.28884624464605707,-0.06014300820722495,0.19900630312129136
P_pickF7,2025,149,0.038929296498287615,0.6373769743489939,-0.13158895560485945,0.21086600043750636
P_pickF7,2026,93,0.11087673468221088,0.2900273943443131,-0.10046842497044028,0.3130820552915513
