day,symbol,entry_m,signal_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,net_R,cost_R,BR,kept,order
2024-07-02,EBS,622,621,696,8.0491,target,Y2024,,2024-07-01,7.5803,7.3459,0.23439999999999994,7.5803,1.8896468430034092,0.11035315699658707,0.35714285714285715,False,
2024-07-02,LICY,647,646,955,5.2,eod,Y2024,,2024-07-01,5.36,5.13,0.23000000000000043,5.36,-0.7747478260869557,0.0790956521739129,0.42857142857142855,False,
2024-07-02,IFBD,772,771,776,3.362,target,Y2024,,2024-07-01,3.13,3.014,0.1160000000000001,3.13,1.9078586206896553,0.09214137931034475,0.5,False,
2024-07-03,FLNC,646,645,901,17.140000000000004,target,Y2024,,2024-07-01,16.62,16.36,0.26000000000000156,16.62,1.78226153846154,0.21773846153846022,0.75,True,0.0
2024-07-03,PARA,657,656,659,0.16430000000000003,target,Y2024,,2024-07-01,0.1569,0.1532,0.003700000000000009,0.1569,1.855421621621622,0.14457837837837806,0.7142857142857143,True,1.0
2024-07-05,CDE,633,632,955,6.335,eod,Y2024,,2024-07-01,6.17,6.055,0.11500000000000021,6.17,1.2520782608695633,0.1827043478260866,0.4074074074074074,False,
2024-07-05,GDXU,633,632,955,40.5,eod,Y2024,,2024-07-01,40.15,39.1,1.0499999999999972,40.15,0.20325714285714475,0.13007619047619084,0.4074074074074074,False,
2024-07-05,JNUG,633,632,955,42.45,eod,Y2024,,2024-07-01,42.08,41.24,0.8399999999999963,42.08,0.2700642857142923,0.1704119047619055,0.4074074074074074,False,
2024-07-05,NUGT,633,632,955,42.86,eod,Y2024,,2024-07-01,42.63,41.89,0.740000000000002,42.63,0.11488108108107653,0.19592972972972922,0.4074074074074074,False,
2024-07-05,SMR,673,672,730,12.909999999999997,target,Y2024,,2024-07-01,12.29,11.98,0.3099999999999987,12.29,1.8648064516129026,0.13519354838709732,0.4074074074074074,False,
2024-07-05,NNE,716,715,719,28.3,stop,Y2024,,2024-07-01,29.0,28.3,0.6999999999999993,29.0,-1.140657142857143,0.140657142857143,0.6296296296296297,True,0.0
2024-07-05,HTZ,837,836,868,3.7412,stop,Y2024,,2024-07-01,3.7998,3.7412,0.05859999999999976,3.7998,-1.2202662116040965,0.22026621160409646,0.48148148148148145,False,
2024-07-08,SMR,601,600,955,13.63,eod,Y2024,,2024-07-08,12.9476,12.2804,0.6671999999999993,12.9476,0.9565972422062377,0.06618453237410078,0.375,False,
2024-07-08,GRFS,616,615,955,8.485,eod,Y2024,,2024-07-08,8.43,8.07,0.35999999999999943,8.43,0.0731305555555549,0.07964722222222234,0.28125,False,
2024-07-08,IDYA,651,650,955,39.55,eod,Y2024,,2024-07-08,39.4535,38.5003,0.9531999999999954,39.4535,-0.03951028115820525,0.1407482165337816,0.46875,False,
2024-07-08,SEDG,669,668,788,27.33,stop,Y2024,,2024-07-08,27.97,27.33,0.6400000000000006,27.97,-1.1483906249999998,0.1483906249999999,0.46875,False,
2024-07-09,JMIA,693,692,955,11.075,eod,Y2024,,2024-07-08,10.82,10.5024,0.31760000000000055,10.82,0.6869049118387865,0.11599181360201492,0.16666666666666666,False,
2024-07-09,ARLO,791,790,874,16.64,target,Y2024,,2024-07-08,15.82,15.41,0.41000000000000014,15.82,1.868409756097561,0.13159024390243898,0.2222222222222222,False,
2024-07-10,FLYE,604,603,618,6.22,stop,Y2024,,2024-07-08,6.31,6.22,0.08999999999999986,6.31,-1.238177777777778,0.23817777777777813,0.34782608695652173,False,
2024-07-10,SGH,614,613,772,28.42,target,Y2024,,2024-07-08,26.92,26.17,0.75,26.92,1.8775626666666667,0.12243733333333334,0.21739130434782608,False,
2024-07-10,GRFS,682,681,955,9.005,eod,Y2024,,2024-07-08,8.955,8.72,0.23499999999999943,8.955,0.0831617021276628,0.12960425531914924,0.2608695652173913,False,
2024-07-10,CORZW,713,712,726,5.03,stop,Y2024,,2024-07-08,5.2,5.03,0.16999999999999993,5.2,-1.1038000000000001,0.10380000000000005,0.4782608695652174,False,
2024-07-10,CORZZ,714,713,733,9.71,stop,Y2024,,2024-07-08,9.9,9.71,0.1899999999999995,9.9,-1.1769578947368426,0.1769578947368426,0.4782608695652174,False,
2024-07-11,BLNK,601,600,955,3.285,eod,Y2024,,2024-07-08,3.2,3.125,0.07500000000000018,3.2,0.9880399999999971,0.145293333333333,0.6710526315789473,True,0.0
2024-07-11,BTBT,601,600,711,3.52,stop,Y2024,,2024-07-08,3.6,3.52,0.08000000000000007,3.6,-1.1527999999999998,0.15279999999999988,0.6710526315789473,True,1.0
2024-07-11,CLSK,601,600,614,15.46,stop,Y2024,,2024-07-08,15.7702,15.46,0.31020000000000003,15.7702,-1.172651966473243,0.17265196647324305,0.6710526315789473,True,2.0
2024-07-11,EXPI,601,600,861,11.91,stop,Y2024,,2024-07-08,12.24,11.91,0.33000000000000007,12.24,-1.125909090909091,0.1259090909090909,0.6710526315789473,True,3.0
2024-07-11,FLNC,601,600,723,17.76,stop,Y2024,,2024-07-08,18.38,17.76,0.6199999999999974,18.38,-1.1005935483870972,0.10059354838709719,0.6710526315789473,True,4.0
2024-07-11,PCT,601,600,870,5.699999999999999,target,Y2024,,2024-07-08,5.5,5.4,0.09999999999999964,5.5,1.8125999999999993,0.18740000000000068,0.6710526315789473,True,5.0
2024-07-11,SANA,601,600,665,5.760000000000001,target,Y2024,,2024-07-08,5.54,5.43,0.11000000000000032,5.54,1.8283636363636369,0.17163636363636312,0.6710526315789473,True,6.0
2024-07-11,UPST,601,600,955,26.85,eod,Y2024,,2024-07-08,26.25,25.7544,0.4955999999999996,26.25,1.0303268765133207,0.18032687651331736,0.6710526315789473,True,7.0
2024-07-11,CABA,602,601,638,8.6,target,Y2024,,2024-07-08,8.24,8.06,0.17999999999999972,8.24,1.8439555555555553,0.1560444444444447,0.6842105263157895,True,8.0
2024-07-11,PTON,602,601,688,3.55,stop,Y2024,,2024-07-08,3.695,3.55,0.14500000000000002,3.695,-1.086441379310345,0.08644137931034482,0.6842105263157895,True,9.0
2024-07-11,VSCO,602,601,708,20.325000000000003,target,Y2024,,2024-07-08,19.655,19.32,0.33500000000000085,19.655,1.8001164179104483,0.19988358208955176,0.6842105263157895,True,10.0
2024-07-11,COMP,603,602,955,3.975,eod,Y2024,,2024-07-08,3.865,3.77,0.0950000000000002,3.865,1.0193368421052598,0.13855789473684182,0.6973684210526315,True,11.0
2024-07-11,JKS,603,602,849,22.7201,stop,Y2024,,2024-07-08,23.13,22.7201,0.4099000000000004,23.13,-1.1916565503781409,0.1916565503781408,0.6973684210526315,True,12.0
2024-07-11,MARA,603,602,617,19.2601,stop,Y2024,,2024-07-08,19.675,19.2601,0.4148999999999994,19.675,-1.1610316220776093,0.1610316220776093,0.6973684210526315,True,13.0
2024-07-11,RIOT,603,602,618,9.39,stop,Y2024,,2024-07-08,9.575,9.39,0.18499999999999872,9.575,-1.1757729729729742,0.17577297297297417,0.6973684210526315,True,14.0
2024-07-11,BE,604,603,619,13.18,stop,Y2024,,2024-07-08,13.47,13.18,0.2900000000000009,13.47,-1.157724137931034,0.157724137931034,0.6973684210526315,True,15.0
2024-07-11,AEHR,605,604,616,15.66,stop,Y2024,,2024-07-08,16.18,15.66,0.5199999999999996,16.18,-1.1055923076923078,0.10559230769230778,0.7039473684210527,True,16.0
2024-07-11,CONL,605,604,618,45.56,stop,Y2024,,2024-07-08,46.6,45.57,1.0300000000000011,46.6,-1.1633320388349493,0.15362330097087362,0.7039473684210527,True,17.0
2024-07-11,VRDN,605,604,955,13.0,eod,Y2024,,2024-07-08,12.79,12.54,0.25,12.79,0.6658880000000034,0.17411200000000002,0.7039473684210527,True,18.0
2024-07-11,JELD,607,606,955,14.14,eod,Y2024,,2024-07-08,13.855,13.64,0.21499999999999986,13.855,1.1062139534883735,0.2193674418604653,0.6776315789473685,True,19.0
2024-07-11,NFBK,607,606,955,10.33,eod,Y2024,,2024-07-08,10.01,9.72,0.28999999999999915,10.01,0.9858689655172452,0.11757931034482794,0.6776315789473685,True,20.0
2024-07-11,PRTA,611,610,955,22.42,eod,Y2024,,2024-07-08,22.585,22.11,0.4750000000000014,22.585,-0.5089599999999966,0.16159157894736795,0.6842105263157895,True,21.0
2024-07-11,ADPT,612,611,955,3.875,eod,Y2024,,2024-07-08,3.7,3.535,0.16500000000000004,3.7,0.9841515151515138,0.07645454545454544,0.6710526315789473,True,22.0
2024-07-11,HPP,613,612,802,5.319999999999999,target,Y2024,,2024-07-08,5.14,5.05,0.08999999999999986,5.14,1.805422222222222,0.19457777777777807,0.6776315789473685,True,23.0
2024-07-11,ARRY,628,627,712,10.38,stop,Y2024,,2024-07-08,10.575,10.38,0.1949999999999985,10.575,-1.1841846153846167,0.18418461538461678,0.618421052631579,True,24.0
2024-07-11,NXT,629,628,709,49.91,stop,Y2024,,2024-07-08,50.77,49.91,0.8600000000000065,50.77,-1.2005186046511613,0.20051860465116125,0.6118421052631579,True,25.0
2024-07-11,DDD,630,629,716,3.68,stop,Y2024,,2024-07-08,3.74,3.68,0.06000000000000005,3.74,-1.211733333333333,0.21173333333333316,0.625,True,26.0
2024-07-11,HUMA,631,630,642,6.319999999999999,target,Y2024,,2024-07-08,6.14,6.05,0.08999999999999986,6.14,1.7676444444444441,0.2323555555555559,0.6578947368421053,True,27.0
2024-07-11,KYMR,631,630,951,39.52999999999999,target,Y2024,,2024-07-08,38.44,37.895,0.5449999999999946,38.44,1.759790825688071,0.24020917431192898,0.6578947368421053,True,28.0
2024-07-11,TERN,631,630,848,8.42,stop,Y2024,,2024-07-08,8.79,8.42,0.3699999999999992,8.79,-1.0805729729729732,0.08057297297297314,0.6578947368421053,True,29.0
2024-07-11,CIFR,632,631,716,4.5,stop,Y2024,,2024-07-08,4.665,4.5,0.16500000000000004,4.665,-1.0959272727272726,0.09592727272727271,0.6644736842105263,True,30.0
2024-07-11,ASPN,633,632,955,26.15,eod,Y2024,,2024-07-08,25.44,24.82,0.620000000000001,25.44,1.0054225806451553,0.13973870967741914,0.6644736842105263,True,31.0
2024-07-11,EDIT,636,635,955,5.47,eod,Y2024,,2024-07-08,5.39,5.28,0.10999999999999943,5.39,0.5605272727272762,0.16674545454545542,0.6578947368421053,True,32.0
2024-07-11,NTLA,638,637,955,24.61,eod,Y2024,,2024-07-08,24.5799,24.15,0.42989999999999995,24.5799,-0.12439562688997231,0.19441190974645267,0.6644736842105263,True,33.0
2024-07-11,RUN,641,640,955,16.03,eod,Y2024,,2024-07-08,15.125,14.6,0.5250000000000004,15.125,1.625512380952382,0.09829714285714279,0.6578947368421053,True,34.0
2024-07-11,VERV,643,642,717,6.52,stop,Y2024,,2024-07-08,6.64,6.52,0.1200000000000001,6.64,-1.187933333333333,0.18793333333333315,0.6644736842105263,True,35.0
