cell,split,green,null_mean,p5,p95,verdict
1  H5-S20-X2R,TRAIN,47.16981132075472,47.71603773584905,41.509433962264154,54.71698113207547,inside
1  H5-S20-X2R,VAL,30.434782608695656,33.928260869565214,26.08695652173913,43.47826086956522,inside
2  H5-S20-XLK,TRAIN,43.39622641509434,48.619811320754714,41.509433962264154,54.71698113207547,inside
2  H5-S20-XLK,VAL,30.434782608695656,38.22826086956522,26.08695652173913,47.82608695652174,inside
3  H5-S20-XBR,TRAIN,45.28301886792453,49.40754716981132,41.509433962264154,56.60377358490566,inside
3  H5-S20-XBR,VAL,34.78260869565217,38.42173913043479,30.434782608695656,47.82608695652174,inside
4  H5-S20-XNO,TRAIN,49.056603773584904,54.02735849056604,47.16981132075472,60.37735849056604,inside
4  H5-S20-XNO,VAL,56.52173913043478,48.321739130434786,39.130434782608695,56.52173913043478,inside
5  H20-S20-X2R,TRAIN,37.735849056603776,38.8,32.075471698113205,45.28301886792453,inside
5  H20-S20-X2R,VAL,43.47826086956522,41.35869565217392,30.434782608695656,52.17391304347826,inside
6  H20-S20-XLK,TRAIN,45.28301886792453,39.5622641509434,32.075471698113205,47.16981132075472,inside
6  H20-S20-XLK,VAL,43.47826086956522,43.55652173913043,34.78260869565217,52.17391304347826,inside
7  H20-S20-XBR,TRAIN,47.16981132075472,40.1688679245283,33.9622641509434,47.16981132075472,inside
7  H20-S20-XBR,VAL,39.130434782608695,42.63913043478261,34.78260869565217,52.17391304347826,inside
8  H20-S20-XNO,TRAIN,56.60377358490566,50.66792452830189,43.39622641509434,58.490566037735846,inside
8  H20-S20-XNO,VAL,47.82608695652174,54.45434782608695,43.47826086956522,65.21739130434783,inside
9  H252-S20-X2R,VAL,21.73913043478261,26.495652173913044,17.391304347826086,34.78260869565217,inside
10 H5-SPD-X2R,TRAIN,39.62264150943396,33.43679245283019,26.41509433962264,39.62264150943396,inside
10 H5-SPD-X2R,VAL,43.47826086956522,27.195652173913043,17.391304347826086,39.130434782608695,ABOVE
11 H20-SPD-X2R,TRAIN,37.735849056603776,29.637735849056604,22.641509433962266,35.84905660377358,ABOVE
11 H20-SPD-X2R,VAL,30.434782608695656,30.85869565217391,21.73913043478261,43.47826086956522,inside
