day,symbol,split,wk,entry_m,break_m,level,next_open,stop,r_pct,rr,why,exit_m,sp_pct,imputed,adv20
2025-01-23,TIL,TRAIN,2025-01-18/2025-01-24,850,847,24.0999,24.18,23.6,2.3986765922249726,0.6551724137931036,eod,899,0.35026045827873364,True,109915.6153846154
2025-02-06,NGNE,TRAIN,2025-02-01/2025-02-07,846,845,26.35,26.47,25.8393,2.382697393275396,-1.0409692405264013,stop,853,0.35026045827873364,True,242970.35
2025-02-13,CSAI,TRAIN,2025-02-08/2025-02-14,894,893,39.85,39.55,37.5001,5.183059418457633,2.0,target,899,0.3571110177154584,True,1696195.3333333333
2025-02-18,HHH,TRAIN,2025-02-15/2025-02-21,906,905,79.28,79.49,76.81,3.3714932695936506,0.3582089552238846,eod,955,0.396321664321762,True,265373.0
2025-02-27,ESTA,TRAIN,2025-02-22/2025-02-28,858,856,42.25,42.48,41.43,2.471751412429372,0.180952380952386,eod,955,0.3571110177154584,True,512059.1
2025-02-28,TSLR,TRAIN,2025-02-22/2025-02-28,930,929,21.12,21.16,20.55,2.882797731568996,-0.2459016393442601,eod,955,0.35026045827873364,True,1925408.15
2025-03-04,TARK,TRAIN,2025-03-01/2025-03-07,843,840,37.01,37.215,35.775,3.8694074969770376,-0.3090277777777769,eod,955,0.3571110177154584,True,109091.1
2025-03-11,MSTX,TRAIN,2025-03-08/2025-03-14,844,843,21.1705,21.2447,20.2,4.917461766934823,1.2303053508184134,eod,955,0.35026045827873364,True,12145394.75
2025-03-11,PLTU,TRAIN,2025-03-08/2025-03-14,892,891,26.3,26.3462,25.66,2.604550181809899,-1.0373943456718135,stop,914,0.35026045827873364,True,3315697.2
2025-03-17,RDDT,TRAIN,2025-03-15/2025-03-21,897,896,132.41,131.65,125.5334,4.646107102164835,-0.9743975411176148,eod,955,0.4853954390707659,True,8854135.0
2025-03-31,VRRM,TRAIN,2025-03-29/2025-04-04,861,860,21.81,21.89,20.74,5.253540429419836,0.5304347826086941,eod,955,0.35026045827873364,True,1369815.4
2025-04-03,INTC,TRAIN,2025-03-29/2025-04-04,898,897,22.61,22.635,21.81,3.644797879390337,0.0666666666666661,eod,955,0.35026045827873364,True,95357443.5
2025-04-04,FC,TRAIN,2025-03-29/2025-04-04,843,842,20.95,20.99,20.445,2.5964745116722163,-1.0375137614678878,stop,876,0.35026045827873364,True,184786.6
2025-04-04,MSTX,TRAIN,2025-03-29/2025-04-04,840,839,25.9,25.95,25.2001,2.889788053949905,-1.0336046139485255,stop,907,0.21693166093239,False,12023198.9
2025-04-08,BERZ,TRAIN,2025-04-05/2025-04-11,876,875,21.94,22.07,21.19,3.9873130946986817,2.0,target,937,0.35026045827873364,True,211669.85
2025-04-08,FNGD,TRAIN,2025-04-05/2025-04-11,877,876,22.85,22.6401,22.0899,2.430201280029683,2.0,target,913,0.35026045827873364,True,5411767.2
2025-04-08,QID,TRAIN,2025-04-05/2025-04-11,876,875,46.18,46.22,45.07,2.488100389441797,2.0,target,944,0.3571110177154584,True,7506764.65
2025-04-08,SOXS,TRAIN,2025-04-05/2025-04-11,876,875,43.66,43.72,41.62,4.803293687099728,2.0,target,916,0.3571110177154584,True,43686728.65
2025-04-08,SPXU,TRAIN,2025-04-05/2025-04-11,876,875,34.23,34.25,33.1,3.3576642335766382,2.0,target,946,0.3571110177154584,True,15470569.25
2025-04-08,SQQQ,TRAIN,2025-04-05/2025-04-11,876,875,50.77,50.83,48.94,3.7182766083021854,2.0,target,944,0.396321664321762,True,102057937.95
2025-04-08,SSG,TRAIN,2025-04-05/2025-04-11,888,887,39.98,40.0,38.47,3.825000000000003,2.0,target,938,0.3571110177154584,True,100048.3
2025-04-08,TSDD,TRAIN,2025-04-05/2025-04-11,877,876,70.33,69.68,67.35,3.3438576349024287,2.0,target,917,0.396321664321762,True,2464431.7
2025-04-08,UVIX,TRAIN,2025-04-05/2025-04-11,870,869,85.96,86.0,82.9319,3.567558139534885,2.0,target,904,0.396321664321762,True,6433762.85
2025-04-08,UVXY,TRAIN,2025-04-05/2025-04-11,870,869,45.35,45.35,44.04,2.8886438809261348,2.0,target,905,0.3571110177154584,True,22889504.3
2025-04-09,AAPL,TRAIN,2025-04-05/2025-04-11,922,921,194.8699,195.11,188.48,3.398083132591883,0.6546003016591191,eod,955,0.4853954390707659,True,65520905.55
2025-04-09,AFRM,TRAIN,2025-04-05/2025-04-11,840,839,43.74,43.6851,41.8697,4.1556503247102485,0.4709155007160968,eod,955,0.3571110177154584,True,9635546.85
2025-04-09,ALB,TRAIN,2025-04-05/2025-04-11,841,840,59.99,60.15,58.01,3.5577722360764765,0.2990654205607478,eod,955,0.396321664321762,True,2959771.45
2025-04-09,ALGM,TRAIN,2025-04-05/2025-04-11,841,840,21.63,21.72,20.82,4.143646408839772,1.750000000000006,eod,955,0.35026045827873364,True,3014702.9
2025-04-09,AMZU,TRAIN,2025-04-05/2025-04-11,840,839,28.0729,28.08,27.37,2.528490028490019,2.0,target,952,0.35026045827873364,True,1516530.7
2025-04-09,AMZZ,TRAIN,2025-04-05/2025-04-11,840,839,23.35,23.49,22.71,3.320561941251586,1.5769230769230824,eod,955,0.35026045827873364,True,416996.95
2025-04-09,APGE,TRAIN,2025-04-05/2025-04-11,841,840,31.36,31.4,30.64,2.4203821656050897,0.657894736842107,eod,955,0.3571110177154584,True,780132.75
2025-04-09,APP,TRAIN,2025-04-05/2025-04-11,840,839,267.44,267.99,257.64,3.862084406134566,0.7739130434782583,eod,955,0.4853954390707659,True,10468597.15
2025-04-09,ARCB,TRAIN,2025-04-05/2025-04-11,840,839,66.99,67.04,65.05,2.9683770883055027,2.0,target,921,0.396321664321762,True,387338.05
2025-04-09,ARE,TRAIN,2025-04-05/2025-04-11,840,839,79.3,79.3,77.42,2.370744010088267,0.6702127659574512,eod,955,0.33599076666595173,False,1523316.95
2025-04-09,ARKG,TRAIN,2025-04-05/2025-04-11,840,839,20.68,20.76,20.19,2.7456647398843943,-1.035421052631578,stop,895,0.35026045827873364,True,3621664.4
