cell,split,green,null_mean,p5,p95,verdict
L1 lasthour +2R,TRAIN,28.30188679245283,37.56320754716981,32.075471698113205,43.39622641509434,below
L1 lasthour +2R,VAL,39.130434782608695,34.78913043478261,26.08695652173913,43.47826086956522,inside
L2 lasthour bare,TRAIN,26.41509433962264,33.89056603773585,28.30188679245283,39.62264150943396,below
L2 lasthour bare,VAL,34.78260869565217,33.89130434782609,26.08695652173913,43.47826086956522,inside
L3 lasthour nextopen,TRAIN,35.84905660377358,35.33207547169812,30.18867924528302,41.509433962264154,inside
L3 lasthour nextopen,VAL,34.78260869565217,39.310869565217395,30.434782608695656,47.82608695652174,inside
L4 lasthour MOC,TRAIN,30.18867924528302,31.55188679245283,24.528301886792452,37.735849056603776,inside
L4 lasthour MOC,VAL,34.78260869565217,36.73913043478261,26.08695652173913,47.82608695652174,inside
L5 lasthour lock,TRAIN,28.30188679245283,36.53584905660378,30.18867924528302,43.39622641509434,below
L5 lasthour lock,VAL,34.78260869565217,33.59130434782609,21.73913043478261,43.47826086956522,inside
O1 orb1400 +2R,TRAIN,49.056603773584904,47.76698113207547,41.509433962264154,54.71698113207547,inside
O1 orb1400 +2R,VAL,43.47826086956522,42.595652173913045,30.434782608695656,52.17391304347826,inside
O2 orb1400 MOC,TRAIN,50.943396226415096,51.781132075471696,45.28301886792453,58.490566037735846,inside
O2 orb1400 MOC,VAL,47.82608695652174,44.35434782608696,34.78260869565217,52.17391304347826,inside
