cell,split,green,null_mean,p5,p95,verdict
B0 1m-k5-X2R (B2 reference),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
B0 1m-k5-X2R (B2 reference),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
M1 5m-k3-X2R,TRAIN,26.41509433962264,25.291509433962265,18.867924528301888,32.075471698113205,inside
M1 5m-k3-X2R,VAL,39.130434782608695,34.77608695652174,26.08695652173913,43.47826086956522,inside
M2 5m-k5-X2R,TRAIN,43.39622641509434,39.759433962264154,33.9622641509434,47.16981132075472,inside
M2 5m-k5-X2R,VAL,39.130434782608695,33.35869565217392,21.73913043478261,43.47826086956522,inside
M3 15m-k3-X2R,TRAIN,32.075471698113205,30.804716981132074,24.528301886792452,37.735849056603776,inside
M3 15m-k3-X2R,VAL,34.78260869565217,38.51739130434783,30.434782608695656,47.82608695652174,inside
M4 15m-k5-X2R,TRAIN,37.735849056603776,41.947169811320755,35.84905660377358,49.056603773584904,inside
M4 15m-k5-X2R,VAL,39.130434782608695,31.145652173913042,21.73913043478261,39.130434782608695,inside
M5 5m-k5-XBR,TRAIN,33.9622641509434,38.903773584905665,32.075471698113205,45.28301886792453,inside
M5 5m-k5-XBR,VAL,26.08695652173913,30.85652173913044,21.73913043478261,39.130434782608695,inside
M6 15m-k3-XBR,TRAIN,37.735849056603776,32.6877358490566,26.41509433962264,39.62264150943396,inside
M6 15m-k3-XBR,VAL,39.130434782608695,38.50652173913044,30.434782608695656,47.82608695652174,inside
M7 5m-k5-XLK,TRAIN,35.84905660377358,38.86320754716982,32.075471698113205,45.28301886792453,inside
M7 5m-k5-XLK,VAL,26.08695652173913,29.85869565217391,21.73913043478261,39.130434782608695,inside
M8 15m-k3-XLK,TRAIN,37.735849056603776,31.66320754716981,24.528301886792452,37.735849056603776,inside
M8 15m-k3-XLK,VAL,39.130434782608695,35.09130434782609,26.08695652173913,43.47826086956522,inside
M9 5m-k3-XBR,TRAIN,33.9622641509434,30.714150943396227,24.528301886792452,37.735849056603776,inside
M9 5m-k3-XBR,VAL,47.82608695652174,37.493478260869566,26.08695652173913,47.82608695652174,inside
