cell,split,n,net,cb_diff,cb_tc,ca_diff,ca_tc,mde
1  H5-S20-X2R,TRAIN,1044,0.0011567457673399006,0.09020163204803176,2.4197136019459715,0.031276905011350394,1.1048504893436022,0.08650016982561778
1  H5-S20-X2R,VAL,500,-0.06861980436804903,0.03391089089890361,0.6741055102238818,-0.003743611021333222,-0.09669722115947933,0.11593479393511377
2  H5-S20-XLK,TRAIN,1013,0.013989144701764586,0.10919235856328678,2.6438083840353443,0.0477986374634622,1.5208538114309307,0.09500678490823049
2  H5-S20-XLK,VAL,484,-0.0432060356349293,0.05645045566926608,1.0452027336845027,0.01217629021687637,0.3031356165798536,0.12852591011772008
3  H5-S20-XBR,TRAIN,1005,0.018532960132888323,0.11150555922158026,2.6279437673252395,0.047897137002913204,1.4943937713602764,0.09764034201944131
3  H5-S20-XBR,VAL,482,-0.04421328399649568,0.05271913271790301,0.9572672731517561,0.013286626513366602,0.32840761791298895,0.1297097215935031
4  H5-S20-XNO,TRAIN,1005,0.07422059270522435,0.01311082689673225,0.19207894683752025,0.03622976025468808,0.8689964481240378,0.14514627720318643
4  H5-S20-XNO,VAL,482,0.016041632665756266,0.006343559752343102,0.0769517243726672,0.011479971211611035,0.2210209801986245,0.19474195244906362
5  H20-S20-X2R,TRAIN,750,-0.04246198426963176,0.0474331075874706,1.1266408577136535,0.01040167644432492,0.315623869401188,0.10273548726311903
5  H20-S20-X2R,VAL,471,-0.03127939140317604,0.07275897145572624,1.3187059000169066,0.02378493733236126,0.6110308723960736,0.12360397458397537
6  H20-S20-XLK,TRAIN,732,-0.029435488513630186,0.06055989051149089,1.3385503568963029,0.023638544106896132,0.681482355778063,0.11031551257377283
6  H20-S20-XLK,VAL,458,-0.016514257898032875,0.08371727148638922,1.4443187047271604,0.04062253630172254,0.9975480355780743,0.13534971628709785
7  H20-S20-XBR,TRAIN,729,-0.02462192825744438,0.06675164411697382,1.4337106765721201,0.02700299363139957,0.7668675012076396,0.11366428801944642
7  H20-S20-XBR,VAL,457,-0.021142058582483712,0.07886566985597437,1.3268910038313666,0.03741976870458164,0.9093240760237504,0.13553565696646827
8  H20-S20-XNO,TRAIN,729,0.07864716224709661,0.049118810600889073,0.706544931654811,0.05886088006233941,1.2794549251300293,0.162322970678385
8  H20-S20-XNO,VAL,457,0.06449200624255336,0.023911590036018254,0.28380818197372715,0.040595069158266,0.9156543981521978,0.18355400079641096
9  H252-S20-X2R,VAL,83,-0.11969374257026145,-0.0254511146632894,-0.2579265672643377,-0.08014499159008502,-0.7730745331068237,0.31411273523265615
10 H5-SPD-X2R,TRAIN,987,-0.04974531897518104,0.05635162961908268,0.8075215477357387,-0.0019827907029788235,-0.05915728963688588,0.05073814160238884
10 H5-SPD-X2R,VAL,424,-0.07138596251479282,0.1452562251646284,1.5989222035944861,0.1439268497939899,2.4396065445124817,0.07667485779111984
11 H20-SPD-X2R,TRAIN,811,-0.057307169441029246,0.013505489589639333,0.27153062177167125,0.06227366021060346,1.8304539336268977,0.05115489608304541
11 H20-SPD-X2R,VAL,424,-0.05842865176401638,0.047956300028923954,0.6470681114186898,0.08186769072876564,1.5370544333915175,0.07745228622013736
