key,exit,split,n,tpw,meanR,meanR_ex,WR,PF,wk_green,wk_green_frac,worst_wk,mdd_R,sumR
"F3 {""M"": 15, ""P"": 0.05}",rr_e2,TRAIN,19964,376.7,0.065,-0.212,38.1,1.09,41/53,0.7735849056603774,-69.7,-81.5,1294.3
"F3 {""M"": 15, ""P"": 0.05}",rr_e3,TRAIN,19964,376.7,0.048,-1.163,30.9,1.06,35/53,0.660377358490566,-92.1,-120.4,963.2
"F3 {""M"": 15, ""P"": 0.05}",rr_e4,TRAIN,19964,376.7,0.192,-1.05,16.5,1.19,37/53,0.6981132075471698,-226.9,-226.9,3825.9
"F3 {""M"": 15, ""P"": 0.1}",rr_e1,TRAIN,4765,89.9,-0.004,-0.004,37.6,0.99,22/53,0.41509433962264153,-33.4,-95.5,-18.0
"F3 {""M"": 15, ""P"": 0.1}",rr_e2,TRAIN,4765,89.9,0.069,-0.222,37.3,1.09,31/53,0.5849056603773585,-33.0,-68.8,330.6
"F3 {""M"": 15, ""P"": 0.1}",rr_e3,TRAIN,4765,89.9,0.044,-1.133,30.1,1.05,30/53,0.5660377358490566,-44.7,-67.7,209.6
"F3 {""M"": 15, ""P"": 0.1}",rr_e4,TRAIN,4765,89.9,0.308,-1.029,15.3,1.31,30/53,0.5660377358490566,-97.6,-131.7,1468.7
"F3 {""M"": 30, ""P"": 0.05}",rr_e1,TRAIN,27646,521.6,-0.003,-0.003,38.4,1.0,25/53,0.4716981132075472,-143.3,-372.3,-86.0
"F3 {""M"": 30, ""P"": 0.05}",rr_e2,TRAIN,27646,521.6,0.086,-0.224,38.1,1.11,39/53,0.7358490566037735,-84.2,-126.6,2382.0
"F3 {""M"": 30, ""P"": 0.05}",rr_e3,TRAIN,27646,521.6,0.055,-1.175,31.1,1.07,33/53,0.6226415094339622,-108.9,-187.0,1523.4
"F3 {""M"": 30, ""P"": 0.05}",rr_e4,TRAIN,27646,521.6,0.181,-1.07,16.2,1.18,36/53,0.6792452830188679,-144.8,-233.8,5008.9
"F3 {""M"": 30, ""P"": 0.1}",rr_e1,TRAIN,7532,142.1,-0.019,-0.019,37.2,0.97,21/53,0.39622641509433965,-47.5,-249.1,-146.3
"F3 {""M"": 30, ""P"": 0.1}",rr_e2,TRAIN,7532,142.1,0.076,-0.245,36.9,1.1,29/53,0.5471698113207547,-39.0,-130.4,572.2
"F3 {""M"": 30, ""P"": 0.1}",rr_e3,TRAIN,7532,142.1,0.033,-1.151,29.9,1.04,29/53,0.5471698113207547,-57.0,-170.6,246.8
"F3 {""M"": 30, ""P"": 0.1}",rr_e4,TRAIN,7532,142.1,0.205,-1.058,14.1,1.2,31/53,0.5849056603773585,-109.0,-201.5,1545.9
F4 {},rr_e1,TRAIN,28195,532.0,-0.117,-0.117,36.7,0.85,1/53,0.018867924528301886,-295.8,-3260.5,-3289.2
F4 {},rr_e2,TRAIN,28195,532.0,-0.074,-0.313,36.4,0.91,7/53,0.1320754716981132,-221.6,-2114.0,-2074.8
F4 {},rr_e3,TRAIN,28195,532.0,-0.087,-1.043,30.6,0.9,10/53,0.18867924528301888,-296.8,-2495.3,-2462.7
F4 {},rr_e4,TRAIN,28195,532.0,0.014,-0.977,19.2,1.01,26/53,0.49056603773584906,-1421.7,-1835.1,390.4
"F5 {""K"": 10, ""X"": 0.02}",rr_e1,TRAIN,18814,355.0,0.07,0.07,42.3,1.12,34/53,0.6415094339622641,-131.7,-141.3,1313.2
"F5 {""K"": 10, ""X"": 0.02}",rr_e2,TRAIN,18814,355.0,0.082,0.039,42.3,1.14,35/53,0.660377358490566,-117.9,-141.7,1539.7
"F5 {""K"": 10, ""X"": 0.02}",rr_e3,TRAIN,18814,355.0,0.087,-0.508,38.3,1.14,35/53,0.660377358490566,-136.5,-216.4,1644.3
"F5 {""K"": 10, ""X"": 0.02}",rr_e4,TRAIN,18814,355.0,0.108,-0.379,35.3,1.16,35/53,0.660377358490566,-166.1,-212.0,2030.2
"F5 {""K"": 10, ""X"": 0.04}",rr_e1,TRAIN,19177,361.8,0.113,0.113,44.3,1.21,39/53,0.7358490566037735,-66.5,-75.8,2173.1
"F5 {""K"": 10, ""X"": 0.04}",rr_e2,TRAIN,19177,361.8,0.118,0.084,44.3,1.22,38/53,0.7169811320754716,-73.0,-83.2,2269.4
"F5 {""K"": 10, ""X"": 0.04}",rr_e3,TRAIN,19177,361.8,0.126,-0.378,41.0,1.22,39/53,0.7358490566037735,-86.9,-105.6,2413.6
"F5 {""K"": 10, ""X"": 0.04}",rr_e4,TRAIN,19177,361.8,0.124,-0.252,38.7,1.21,36/53,0.6792452830188679,-75.1,-108.9,2384.7
"F5 {""K"": 15, ""X"": 0.02}",rr_e1,TRAIN,17857,336.9,0.039,0.039,42.7,1.07,35/53,0.660377358490566,-152.3,-176.2,698.8
"F5 {""K"": 15, ""X"": 0.02}",rr_e2,TRAIN,17857,336.9,0.051,0.025,42.7,1.09,36/53,0.6792452830188679,-141.0,-152.0,914.4
"F5 {""K"": 15, ""X"": 0.02}",rr_e3,TRAIN,17857,336.9,0.061,-0.37,40.3,1.11,37/53,0.6981132075471698,-158.5,-185.4,1088.2
