Index,day,symbol,entry_m,filled,exit_m,why,rr,r_pct,rv_profile,rv_clock,price,adv20,is_wrapper,dist_open_pct,split,wk
532,2025-01-14,GFAI,578,1,582.0,target,2.0,4.261069527535255,1.462326452037427,0.7264011342818075,2.18302,14205019.142857144,0.0,5.145410628019298,TRAIN,2025-01-11/2025-01-17
533,2025-01-14,GRRR,578,1,701.0,stop,-1.0209781529294932,4.549972889933119,3.195752226932332,0.7043763997150037,13.2792,5330901.142857143,0.0,6.770967741935463,TRAIN,2025-01-11/2025-01-17
542,2025-01-14,MOBX,579,1,630.0,stop,-1.0256114483954901,3.7577811817618656,2.5183424671322663,1.1600393270701324,1.2273199999999997,594870.8571428572,0.0,5.487931034482751,TRAIN,2025-01-11/2025-01-17
547,2025-01-14,ONDS,582,1,593.0,stop,-1.0258221006117052,3.7282687678965067,1.788541036224762,0.5197015127518857,2.0722593999999996,15163773.714285716,0.0,8.741036842105231,TRAIN,2025-01-11/2025-01-17
559,2025-01-14,RVSN,593,1,595.0,stop,-1.0312878482034706,3.097140427873022,1.1902506413188385,0.3883885366482419,1.5995400000000002,10911384.714285716,0.0,5.613907284768205,TRAIN,2025-01-11/2025-01-17
568,2025-01-14,UCL,599,1,602.0,stop,-1.1637994011976038,2.3714853734734365,3.1050199677848505,0.4996363416575161,1.4083999999999999,260875.4285714285,0.0,11.444444444444413,TRAIN,2025-01-11/2025-01-17
516,2025-01-14,AISP,603,1,664.0,stop,-1.0361867704280143,2.6891283875693173,1.6928230716483772,0.7961216251946296,4.7785,2937274.0,0.0,7.302927927927905,TRAIN,2025-01-11/2025-01-17
637,2025-01-15,UCL,589,1,955.0,eod,-0.31105040699697256,4.243923911490985,1.342832559999816,0.2346518519670829,1.3680594000000001,251594.625,0.0,6.5609140624999895,TRAIN,2025-01-11/2025-01-17
594,2025-01-15,GRNQ,594,1,608.0,target,2.0,3.3834376916073756,1.2452145518930724,,1.0764200000000002,723866.875,0.0,7.321,TRAIN,2025-01-11/2025-01-17
623,2025-01-15,REKR,596,1,609.0,target,2.0,2.8330019880715755,1.7818391812376242,0.8289210777065592,1.6096000000000001,11951915.875,0.0,5.578947368421061,TRAIN,2025-01-11/2025-01-17
631,2025-01-15,SOUNW,607,1,675.0,stop,-1.05086022855708,1.9282599167480077,3.627428756518716,1.5814396796773784,8.259260000000001,233824.625,0.0,6.666191709844549,TRAIN,2025-01-11/2025-01-17
618,2025-01-15,OKLO,609,1,933.0,stop,-1.0295672165339407,3.2714787716757185,2.38500504135196,1.202332457079025,25.79384,15107658.375,0.0,6.709211618257238,TRAIN,2025-01-11/2025-01-17
606,2025-01-15,LSH,611,1,620.0,stop,-1.0220017256255398,4.347499906223035,2.073703097776636,,2.13272,107141.375,0.0,9.044102564102571,TRAIN,2025-01-11/2025-01-17
583,2025-01-15,BNRG,622,1,939.0,stop,-1.0209645883119702,4.552782805653653,1.158076890367924,0.5470924158636378,2.02206,2075183.625,0.0,7.235638297872327,TRAIN,2025-01-11/2025-01-17
604,2025-01-15,JTAI,896,1,943.0,stop,-1.0208695652173916,4.572564612326051,1.5952149386021583,1.363091064715774,3.7725000000000004,169545.375,0.0,6.5509915014164255,TRAIN,2025-01-11/2025-01-17
661,2025-01-16,DOGZ,589,1,595.0,target,2.0,1.3385650087179983,1.5293110565790076,1.4807614230862916,45.81324,408962.0,0.0,7.322885338345841,TRAIN,2025-01-11/2025-01-17
