n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,h1,h2,vgross,half_ok,note
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,R1 B2 shipped (long),TRAIN,-2.9931691681122707,0.06798002849533383,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,R1 B2 shipped (long),VAL,0.26162959495333094,0.07006955092013452,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
94,1.7735849056603774,0.12607069829058243,0.12607069829058243,0.1960529017109672,1.1189007859341322,41.509433962264154,18.867924528301888,4,-287.9863189507772,567.8739006286733,1185.0645639314753,-407.70410707419325,22.359708753424062,66.66666666666666,0.020043092498189825,100.0,F1a a01/mfe/tls,TRAIN,1.05663990050729,0.06998220342038479,0.10204975759426886,0.3175691611788944,0.02674918025002472,True,
43,1.8695652173913044,-0.04691447768973614,-0.04691447768973614,0.02674918025002472,-0.26366960353917773,39.130434782608695,21.73913043478261,2,-386.15238687062663,392.174300577041,-201.73225406586536,-832.9929483970836,-8.770967568081103,40.0,-0.21387056565515952,100.0,F1a a01/mfe/tls,VAL,-0.25151403948925544,0.07366365793976086,0.10204975759426886,0.3175691611788944,0.02674918025002472,True,
94,1.7735849056603774,0.2644125805062283,0.2644125805062283,0.3397027106616832,1.9075756518863718,35.84905660377358,18.867924528301888,4,-234.92651590538247,779.2402094589332,2485.4782567585466,-502.02207470869706,46.895816165255596,75.0,0.16861257338976318,100.0,F1a a01/mfe/t2,TRAIN,1.8124132461960358,0.07529013015545487,0.18814183082982694,0.5356228723955463,-0.14563175680672227,False,
43,1.8695652173913044,-0.22586796591810776,-0.22586796591810776,-0.14563175680672227,-1.1188155013231678,30.434782608695656,21.73913043478261,5,-633.2670620534255,388.0783964811381,-971.2322534478635,-1628.6033331166836,-42.22748928034189,20.0,-0.38917033099136034,100.0,F1a a01/mfe/t2,VAL,-1.076884365394541,0.08023620911138556,0.18814183082982694,0.5356228723955463,-0.14563175680672227,False,
102,1.9245283018867925,0.0889448581908796,0.0889448581908796,0.16081101712014112,0.8709441478844164,39.62264150943396,18.867924528301888,4,-315.9665009212497,650.1597793637783,907.2375535469719,-508.2393941445231,17.117689689565506,50.0,-0.01029533865705671,100.0,F1a a00/mfe/tls,TRAIN,0.8420665562079966,0.07186615892926151,0.20865159501601088,0.10699036698728763,0.009224108300498673,True,
37,1.608695652173913,-0.05936090764920694,-0.05936090764920694,0.009224108300498673,-0.3623245105933794,39.130434782608695,17.391304347826086,3,-263.6322687443553,217.64403460885814,-219.63535830206567,-734.6039933136537,-9.549363404437639,40.0,-0.14921068104257884,100.0,F1a a00/mfe/tls,VAL,-0.3639149163102621,0.06858501594970562,0.20865159501601088,0.10699036698728763,0.009224108300498673,True,
102,1.9245283018867925,0.19262572249494947,0.19262572249494947,0.2705900739451472,1.4822833035228924,35.84905660377358,18.867924528301888,3,-282.21918443753674,691.4170600682145,1964.782369448485,-475.1989537137011,37.07136546129217,75.0,0.08169037013567293,100.0,F1a a00/mfe/t2,TRAIN,1.48502578753573,0.07796435145019771,0.2833133868904127,0.25627634688172357,-0.017158143360524257,False,
37,1.608695652173913,-0.09239559832391868,-0.09239559832391868,-0.017158143360524257,-0.4153001926802922,34.78260869565217,17.391304347826086,5,-403.47317962049095,390.30761336413417,-341.8637137984992,-1321.6057064596707,-14.86363973036953,60.0,-0.21015119238682728,100.0,F1a a00/mfe/t2,VAL,-0.42054149676897645,0.07523745496339442,0.2833133868904127,0.25627634688172357,-0.017158143360524257,False,
