date,pnl_R
2016-01-08,-14.480421900007556
2016-01-15,-2.165231219720809
2016-01-22,9.931541663081743
2016-01-29,6.6702195297005495
2016-02-05,-8.971526920734462
2016-02-12,-13.475320860788466
2016-02-19,9.98531452481879
2016-02-26,2.6104843121940613
2016-03-04,4.432876244114836
2016-03-11,3.000911045236876
2016-03-18,-6.1730214858014545
2016-03-24,-9.235028583758087
2016-04-01,-1.2189692785540944
2016-04-08,-4.0159574287419675
2016-04-15,6.073336622596703
2016-04-22,-1.4566929449902455
2016-04-29,-7.753497214081118
2016-05-06,-6.962792063874068
2016-05-13,1.2754527207561317
2016-05-20,-2.171286706314235
2016-05-27,6.617506469980228
2016-06-03,-4.369901225283357
2016-06-10,-4.776899570582627
2016-06-17,-6.003359059578806
2016-06-24,-7.5427715965608915
2016-07-01,7.523865620978798
2016-07-08,0.5877352850077955
2016-07-15,12.38522631500416
2016-07-22,0.5054713085426823
2016-07-29,-1.4358719496216699
2016-08-05,1.6926362650189652
2016-08-12,2.0197460252561417
2016-08-19,-1.9421949573425357
2016-08-26,0.10629408629443393
2016-09-02,1.9270084948089572
2016-09-09,-4.693206835628727
2016-09-16,-8.889099890758922
2016-09-23,9.162505560141087
2016-09-30,-0.6058305115547613
2016-10-07,1.0274260012153924
2016-10-14,0.8930055878855425
2016-10-21,2.1365170636216124
2016-10-28,1.819418441113263
2016-11-04,1.8251886640301862
2016-11-11,2.9440707923448883
2016-11-18,1.6430888247009228
2016-11-25,2.4065454312900196
2016-12-02,2.1064112613870867
2016-12-09,3.8867756981251
2016-12-16,3.2440400707558936
2016-12-23,1.3862254376498795
2016-12-30,2.6042596025459552
2017-01-06,4.615858328581113
2017-01-13,-1.984650950089284
2017-01-20,0.6865977378717858
2017-01-27,2.738331214565526
2017-02-03,-0.937228139605395
2017-02-10,0.7328664325280787
2017-02-17,-1.3605835962466228
2017-02-24,-0.7436917333671684
2017-03-03,2.447605965257349
2017-03-10,0.2923313015156914
2017-03-17,1.3976200486659487
2017-03-24,1.9594909959469886
2017-03-31,-7.7341840512729965
2017-04-07,1.2135281299815228
2017-04-13,-2.5542275310901363
2017-04-21,2.8095032092505745
2017-04-28,9.942582334971718
2017-05-05,2.368157084538103
2017-05-12,-1.732466056536075
2017-05-19,-1.970469247669504
2017-05-26,4.25117390841343
2017-06-02,1.1710200915821645
2017-06-09,-0.1403903173078367
2017-06-16,-1.65366293844178
2017-06-23,2.588319805918471
2017-06-30,6.3462662452076435
2017-07-07,2.949457492186247
2017-07-14,2.276176665155205
