date,r_on,r_id
2016-01-05,0.0019192196566297781,-0.00022343040142991377
2016-01-06,-0.015047675804529259,0.0024706297584833337
2016-01-07,-0.01755356603963376,-0.006553012850048612
2016-01-08,0.005874774542643513,-0.01673753778369791
2016-01-11,0.0056637297249417795,-0.0046629708305268025
2016-01-12,0.008901150382593093,-0.0008213806624702835
2016-01-13,0.004075166476643632,-0.028902031370532155
2016-01-14,0.0038129534501933904,0.01255605381165914
2016-01-15,-0.026884801750638232,0.005568346094126486
2016-01-19,0.011447739736968332,-0.010002105706464537
2016-01-20,-0.01611187918749335,0.0033508079770847576
2016-01-21,0.0030164287638028142,0.0025777348155306967
2016-01-22,0.016551502490760095,0.0038992517652018943
2016-01-25,-0.0030967877388200504,-0.012057073658716444
2016-01-26,0.004156896184182468,0.009446980150727091
2016-01-27,-0.003259726603575097,-0.007648486127228682
2016-01-28,0.00972731621750933,-0.004474626237102486
2016-01-29,0.004759134895034434,0.01952949844745011
2016-02-01,-0.0061469909271487655,0.00581727522983444
2016-02-02,-0.008727084947069419,-0.009376953531985865
2016-02-03,0.006573411863693757,-0.0005746826184629406
2016-02-04,-0.0030841610036591582,0.004666771537937153
2016-02-05,-0.0031837160751565508,-0.015917063720613744
2016-02-08,-0.011598829475924388,-0.0018840501695646106
2016-02-09,-0.01110991263078398,0.011289267015706761
2016-02-10,0.005285013212533052,-0.0061155517407863735
2016-02-11,-0.015814756841366684,0.0028518152901173544
2016-02-12,0.011484195559444244,0.009028979238754342
2016-02-16,0.011466538069978105,0.005350426444880041
2016-02-17,0.007324270207608841,0.008944918135690871
2016-02-18,0.0016590626296142386,-0.005745341614906807
2016-02-19,-0.004789421625279955,0.004341685410890861
2016-02-22,0.009739583333333357,0.00469386702429464
2016-02-23,-0.004055857890953862,-0.00860869116964802
2016-02-24,-0.008787437603993364,0.013481613597020381
2016-02-25,0.002743271221532062,0.009342899912249125
2016-02-26,0.005267464457400006,-0.007533194281935107
2016-02-29,0.00010661789581378756,-0.009020552508841262
2016-03-01,0.008585466770105965,0.015896620686118856
2016-03-02,-0.001867649285750339,0.006372003641144985
2016-03-03,-0.001055276381909609,0.004954977614568312
