date,pnl_R
2016-01-08,-16.35463263428576
2016-01-15,-5.484001148044172
2016-01-22,12.72081819623927
2016-01-29,7.054895266729644
2016-02-05,-5.750284652009996
2016-02-12,-13.466813565316782
2016-02-19,14.198147016686736
2016-02-26,1.0164142027536451
2016-03-04,4.50782976189914
2016-03-11,4.989289686535424
2016-03-18,-5.679035741716554
2016-03-24,-8.416782436326798
2016-04-01,1.0745465980985132
2016-04-08,-4.0351685049559105
2016-04-15,7.250010620927716
2016-04-22,-7.710355425448823
2016-04-29,-7.110252954468765
2016-05-06,-7.91150465728272
2016-05-13,2.802250402071027
2016-05-20,-0.5432707266951331
2016-05-27,7.246799723859132
2016-06-03,-3.220537383680666
2016-06-10,-5.122472245678211
2016-06-17,-7.4499201014581296
2016-06-24,-7.454931135863374
2016-07-01,7.274158977853951
2016-07-08,-1.4495326251579455
2016-07-15,12.87587615039607
2016-07-22,2.745741913632682
2016-07-29,6.806237954358729
2016-08-05,2.3806493100628328
2016-08-12,1.598930191735981
2016-08-19,-2.1745944620446878
2016-08-26,-0.12835420637926642
2016-09-02,2.1991178607639883
2016-09-09,-4.692295885506392
2016-09-16,-5.3651883949320744
2016-09-23,9.158346817597373
2016-09-30,-1.9659350567188034
2016-10-07,2.445191323869156
2016-10-14,1.2715548962374923
2016-10-21,6.066197519855088
2016-10-28,0.9464377051716646
2016-11-04,0.12036914637414409
2016-11-11,1.7945234465753792
2016-11-18,2.4923128762806224
2016-11-25,2.7078798389774894
2016-12-02,-0.12451874994974244
2016-12-09,6.208129478162161
2016-12-16,1.204649623090148
2016-12-23,1.8787176700598485
2016-12-30,3.0668172441528974
2017-01-06,5.102630144626219
2017-01-13,-99.73624319879983
2017-01-20,2.4391947252698998
2017-01-27,6.249102075826119
2017-02-03,-0.3838788204295618
2017-02-10,1.3571815672810406
2017-02-17,1.4824505000538668
2017-02-24,-1.122801716270172
2017-03-03,2.1042449729342665
2017-03-10,-0.46452452721539306
2017-03-17,1.5912817229094323
2017-03-24,3.5800939595279635
2017-03-31,-4.870699697107117
2017-04-07,0.3617766942484615
2017-04-13,-1.073020833318994
2017-04-21,5.223485906483649
2017-04-28,12.721348662063203
2017-05-05,3.147402242663855
2017-05-12,0.11803539169703536
2017-05-19,-1.4330772230638278
2017-05-26,6.7521697145559
2017-06-02,4.492273650898682
2017-06-09,2.5000586568620253
2017-06-16,-6.6010356991091035
2017-06-23,6.51532925666507
2017-06-30,2.3402713177109513
2017-07-07,2.450534421206152
2017-07-14,8.036996507359738
2017-07-21,1.0302154078885462
2017-07-28,-0.14466391320533445
2017-08-04,9.417008534370641
2017-08-11,-6.999090805119668
2017-08-18,5.172296147341227
2017-08-25,3.5134365211763945
2017-09-01,0.040353814508842234
2017-09-08,0.12218241188748369
2017-09-15,2.982403439903547
2017-09-22,-0.8687320137402477
2017-09-29,3.354395188568749
2017-10-06,1.0733921108886377
2017-10-13,4.0269127134701765
2017-10-20,0.7755840331142405
2017-10-27,10.094179923124646
