date,symbol,pnl_R
2025-02-24,RPID,-0.4187602835820901
2025-02-27,MSW,-2.3466050142089534
2025-02-28,PCLA,-1.3490854925373152
2025-03-04,MAXN,-0.6015474959701503
2025-03-11,EWCZ,2.16629740456965
2025-03-19,KBSX,8.43828370149254
2025-03-20,OM,8.44514786635074
2025-03-20,TITN,8.110348920544778
2025-03-31,WHLR,-1.1005239104477673
2025-04-07,TNXP,1.7695896790746388
2025-04-16,FATN,3.51554956716418
2025-05-02,CPS,10.364425213562193
2025-05-16,TSSI,6.1456899610746225
2025-05-23,RYET,-3.3692812691343277
2025-05-28,FMST,1.9752104477611938
2025-06-09,NEGG,3.003951017258709
2025-06-16,AGIG,-3.2168505926318374
2025-07-09,EGG,2.976134641791045
2025-08-07,SDM,3.7684055820895543
2025-09-11,FABC,0.789277096972638
2025-09-11,SBLX,0.789277096972638
2025-10-13,AQMS,3.230755925373129
2025-10-13,IPDN,3.965656537313431
2025-10-16,DFNS,-1.988282736318415
2025-11-05,DTCK,1.075590054726373
2025-11-14,AREN,2.266633236828358
2025-11-14,PAAI,1.2592506871268656
2025-11-20,VELO,2.6080286567164097
2025-12-08,PHGE,-1.0202781094527378
2025-12-23,KZIA,5.665688060499998
2025-12-29,KXIN,-0.015652985074626286
2025-12-29,KXIN,-2.036392985074626
2026-01-06,VELO,1.1223272388059713
2026-01-27,BNRG,1.2711600149253701
2026-01-27,BRNX,1.2711600149253701
2026-02-12,KPTI,5.4490019465696475
2026-02-17,DBGI,-1.5319874029850753
2026-02-24,ADVB,-1.2111160072935307
2026-02-25,LAW,-1.2007038042786093
2026-02-27,ANPA,-2.886115686567165
2026-03-06,QCLS,0.5137201178109462
2026-03-13,EDHL,0.21489274810945366
2026-03-26,MKDW,3.929046485691539
2026-04-01,GLND,-1.9104362686567113
2026-04-09,TMCR,5.164766372522383
2026-05-15,TRT,2.351988212039807
2026-05-20,MLGO,3.7299055220149215
