gate,keptR25,nk25,rejR25,nr25,sep25,keptR26,nk26,rejR26,nr26,sep26,dsep
price <= $20,0.06660247899831181,194,-0.21534493257144646,26,0.2819474115697583,-0.10018533681851191,141,-0.22099428427722242,10,0.12080894745871051,-0.16113846411104776
pole >= 5%,0.28737177384846724,121,-0.29933018780811016,73,0.5867019616565774,0.0064188097664950716,85,-0.26199520217075467,56,0.26841401193724973,-0.31828794971932767
conviction >= 1.8,0.33419867616178783,57,0.2456665639756661,64,0.08853211218612173,0.2053995517581306,34,-0.1262350182279286,51,0.3316345699860592,0.2431024577999375
pole_bars <= 3,0.33419867616178783,57,,0,,0.2053995517581306,34,,0,,
VWAP gate,0.39387845141688566,51,-0.17307941350654457,6,0.5669578649234303,0.37315038614956225,27,-0.44163938089453464,7,0.8147897670440969,0.24783190212066664
two-tier filter,0.6512959316394974,39,-0.4427283593066025,12,1.0940242909460998,0.4685153939417189,23,-0.1751984086553388,4,0.6437138025970577,-0.4503104883490421
MACD zone mult >= 1.5,0.5989837908539617,33,0.9390127059599447,6,-0.340028915105983,0.4872238387888726,17,0.4155081335414506,6,0.07171570524742199,0.411744620353405
conv >= median(1.9) within book,0.7694225120460109,30,0.25754066361778644,9,0.5118818484282244,0.4953814157546166,18,0.3717977154152876,5,0.12358370033932897,-0.3882981480888954
WHOLE STACK picked vs rejected,0.6512959316394974,39,-0.09988192627141168,181,0.7511778579109091,0.4685153939417189,23,-0.21181194839720263,128,0.6803273423389216,-0.07085051557198752
