layer,n25,R25,WR25,n26,R26,WR26,dR,se25,se26
L0 raw detections,463,-0.010162532607153617,42.33261339092873,423,-0.07711946671022267,40.42553191489361,-0.06695693410306905,0.06637487698584771,0.0661536408050618
L1 universe (name rule),386,0.046622281581884514,43.523316062176164,244,-0.10156285440826328,40.57377049180328,-0.1481851359901478,0.07485106689663451,0.08381395595614086
"L2 volume >= 200,000",220,0.03328142126734039,42.27272727272727,151,-0.10818592936544638,41.05960264900662,-0.14146735063278676,0.09988721604843226,0.10312148646904021
L3 price <= $20,194,0.06660247899831181,42.78350515463917,141,-0.10018533681851191,41.843971631205676,-0.16678781581682373,0.10787655479405084,0.10547467011890092
L4 pole >= 5%,121,0.28737177384846724,48.760330578512395,85,0.0064188097664950716,44.70588235294118,-0.2809529640819722,0.14822537861449045,0.1462175077112145
L5 conviction >= 1.8,57,0.33419867616178783,47.368421052631575,34,0.2053995517581306,52.94117647058824,-0.12879912440365723,0.21942111044195103,0.22967322614226737
L6 pole_bars <= 3,57,0.33419867616178783,47.368421052631575,34,0.2053995517581306,52.94117647058824,-0.12879912440365723,0.21942111044195103,0.22967322614226737
L7 VWAP gate,51,0.39387845141688566,49.01960784313725,27,0.37315038614956225,59.25925925925925,-0.020728065267323403,0.2357567414809757,0.2606135472965422
L8 two-tier filter,39,0.6512959316394974,56.41025641025641,23,0.4685153939417189,60.86956521739131,-0.18278053769777847,0.2746369473462042,0.2915531871983803
