stack,n25,R25,WR25,se25,n26,R26,WR26,se26,dR,se_diff,t,mde80
"AS-IS (pre-P1: no price cap, pole>=3, no gate)",57,0.6062144155169391,56.14035087719298,0.22106981866343287,37,0.027510948091837965,43.24324324324324,0.22010002066545575,-0.5787034674251011,0.3119549387665102,-1.855086730517336,0.9152085606730062
"P1 SHIPPED (price<=20, pole>=5, gate on)",39,0.6512959316394974,56.41025641025641,0.2746369473462042,23,0.4685153939417189,60.86956521739131,0.2915531871983803,-0.18278053769777847,0.40053553377094464,-0.45634038003306265,1.1823785034152186
+price cap only,52,0.5721433722115166,55.769230769230774,0.22699387356157694,33,0.16288234036637558,48.484848484848484,0.236236449370863,-0.40926103184514095,0.32761849557960165,-1.2492000218763675,0.9566046648058765
+pole>=5 only,49,0.6174838271493656,55.10204081632652,0.24582221080673058,34,0.09785783063839432,47.05882352941176,0.23443050200319224,-0.5196259965109713,0.33968547156947615,-1.5297268797222956,0.9913088904811187
+VWAP gate only,49,0.7330434111231603,59.183673469387756,0.2426076303715537,29,0.17972375630325,48.275862068965516,0.25601683124249136,-0.5533196548199103,0.3527082082883055,-1.5687745332187562,1.0417517001408712
