symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok
SDM,2025-08-07,10:18:00,10.74,10.37,11.54,18000,10:22:00,11.33,trail_stop,10484.46,5.42,False,,0,0.0,37.09,752520,7.92,-1.87,False,-0.07,2,6.53,7.71,2.5,1.8,0.3,0.0,0.0,0.0,0.0,2.5,0.878,0.2,0.0,25.47,1.548,0.878,,2025,2025-08,1.5742432432432387,True
FABC,2025-09-11,09:53:00,4.84,4.69,5.17,6829,10:10:00,5.05,trail_stop,1438.8,4.35,False,,0,0.0,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,,2025,2025-09,1.4045980377800606,True
SBLX,2025-09-11,09:53:00,4.84,4.69,5.17,6829,10:10:00,5.05,trail_stop,1438.8,4.35,False,,0,0.0,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,,2025,2025-09,1.4045980377800606,True
AQMS,2025-10-13,09:39:00,6.83,6.61,7.32,18000,09:45:00,7.16,trail_stop,5940.78,4.83,False,,0,0.0,108.19,2592400,2.2,12.19,False,0.01,2,6.61,2.17,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.502,0.2,0.0,20.14,2.138,1.502,,2025,2025-10,1.5001969696969712,True
IPDN,2025-10-13,09:57:00,3.62,3.46,3.98,18000,10:48:00,4.02,exhaust+trail_stop,7649.24,11.75,False,,0,0.0,43.15,2643889,8.58,-1.35,False,0.01,2,6.71,5.56,2.5,1.8,0.3,-0.3,0.0,0.3,0.0,2.5,1.502,0.2,0.0,23.29,5.937,1.502,,2025,2025-10,2.6559861111111087,True
DFNS,2025-10-16,09:38:00,15.28,14.86,16.13,20000,09:52:00,14.82,stop,-9211.6,-3.02,False,,0,0.0,24.72,2763531,2.3,8.7,False,0.04,3,8.23,2.62,2.4,2.0,0.3,0.3,0.3,0.3,0.0,2.4,1.489,0.2,0.0,15.93,1.689,1.489,,2025,2025-10,-1.0966190476190478,True
DFNS,2025-10-20,10:26:00,9.64,9.46,9.96,18000,10:32:00,9.43,stop,-3690.44,-2.13,False,,0,0.0,27.27,2551752,-0.23,2.49,False,0.14,3,6.62,0.27,2.4,1.8,0.3,0.3,0.3,0.3,0.2,2.4,1.546,0.0,0.0,27.27,0.943,1.546,,2025,2025-10,-1.1390246913580264,True
DTCK,2025-11-05,09:45:00,4.49,4.39,4.69,26000,09:47:00,4.56,trail_stop,1662.44,1.42,False,,0,0.0,62.38,2274726,1.74,-3.14,False,0.03,3,5.84,2.22,2.6,1.0,0.3,0.3,0.0,0.0,0.0,2.6,0.84,0.0,0.0,22.09,1.019,0.84,,2025,2025-11,0.6393999999999966,True
AREN,2025-11-14,09:46:00,3.86,3.65,4.24,8235,12:19:00,4.43,exhaust+trail_stop,4393.89,13.81,False,,0,0.0,46.67,228795,12.24,-11.25,False,-0.07,3,13.65,14.03,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,,2025,2025-11,2.5407754358574035,True
PAAI,2025-11-14,09:46:00,3.86,3.65,4.24,4575,12:19:00,4.43,exhaust+trail_stop,2441.07,13.81,False,,0,0.0,46.67,228795,12.35,-13.75,False,-0.07,3,13.65,14.14,2.7,1.0,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,,2025,2025-11,2.540796252927401,True
VELO,2025-11-20,09:46:00,4.92,4.74,5.32,20000,10:36:00,5.16,trail_stop,4799.2,4.87,False,,0,0.0,25.35,578889,3.54,4.58,False,,3,12.34,4.05,1.8,2.0,0.0,0.3,0.0,0.3,0.0,1.8,1.486,0.2,0.0,17.83,0.029,1.486,,2025,2025-11,1.3331111111111131,True
PHGE,2025-12-08,08:58:00,3.2,3.09,3.34,20000,09:01:00,3.08,stop,-2303.4,-3.6,False,,0,0.0,35.9,681064,6.77,-44.68,False,-0.03,2,8.19,8.29,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.639,0.2,0.0,18.91,2.235,0.639,,2025,2025-12,-1.046999999999997,True
KZIA,2025-12-23,10:36:00,8.12,7.76,8.93,10251,10:51:00,9.29,exhaust+trail_stop,10966.85,13.17,False,,0,0.0,49.02,284764,5.48,-0.9,False,0.19,3,15.4,5.64,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.75,0.2,0.0,49.02,9.967,0.75,,2025,2025-12,2.971756143032121,True
KXIN,2025-12-29,10:15:00,5.2,4.96,5.65,18000,10:17:00,5.18,post_fill_exit,-280.58,-0.3,False,,0,0.0,20.84,1456492,5.67,-13.95,False,0.01,3,5.4,,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,0.331,0.473,,2025,2025-12,-0.06494907407407402,True
KXIN,2025-12-29,10:19:00,5.2,4.96,5.71,18000,10:32:00,4.95,stop,-4455.71,-4.76,False,,0,0.0,20.84,1456492,6.28,-13.95,False,0.01,3,5.4,6.75,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,3.48,0.473,,2025,2025-12,-1.031414351851851,True
SMX,2026-01-05,09:56:00,17.68,17.0,19.15,10981,10:00:00,16.95,stop,-8004.6,-4.12,False,,0,0.0,29.04,1479277,-2.19,-0.48,False,0.11,3,11.13,-1.53,1.8,1.8,0.0,0.0,0.3,-0.5,0.0,1.8,0.718,0.0,0.0,30.23,0.586,0.718,,2026,2026-01,-1.0719853008137055,True
VELO,2026-01-06,09:49:00,17.1,16.64,17.85,20000,10:08:00,17.25,trail_stop,3061.0,0.9,False,,0,0.0,32.0,1889690,4.9,2.81,False,0.06,2,7.64,5.78,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.77,0.2,0.0,16.2,0.621,0.77,,2026,2026-01,0.33271739130434724,True
BNRG,2026-01-27,10:00:00,3.19,3.03,3.5,18000,14:18:00,3.31,trail_stop,2300.03,4.01,False,,0,0.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,,2026,2026-01,0.7986215277777771,True
BRNX,2026-01-27,10:00:00,3.19,3.03,3.5,18000,14:18:00,3.31,trail_stop,2300.03,4.01,False,,0,0.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,,2026,2026-01,0.7986215277777771,True
PMN,2026-02-03,09:59:00,15.82,15.29,16.94,16998,11:31:00,17.12,exhaust+trail_stop,22616.48,8.41,False,,0,0.0,24.2,424992,3.31,-5.27,False,0.06,2,8.01,2.84,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,304.263,0.2,0.0,18.48,3.236,304.263,,2026,2026-02,2.5104485100355816,True
EAF,2026-02-09,10:20:00,7.44,7.28,7.76,7098,10:22:00,7.26,stop,-1319.34,-2.5,False,,0,0.0,33.98,354919,3.23,1.9,False,-0.1,2,4.68,3.72,2.3,1.0,0.3,0.0,0.3,0.3,0.2,2.3,1.425,0.2,0.0,28.17,0.172,1.425,,2026,2026-02,-1.161718089602704,True
KPTI,2026-02-12,09:46:00,7.81,7.51,8.46,14947,10:07:00,8.5,trail_stop,10396.54,8.91,False,,0,0.0,47.92,415232,6.7,-11.8,False,0.0,2,6.48,5.67,2.5,1.8,0.3,-0.3,0.3,0.0,0.0,2.5,0.985,0.2,0.0,22.36,2.246,0.985,,2026,2026-02,2.3185343770210314,True
DBGI,2026-02-17,10:23:00,5.66,5.48,6.03,18000,10:26:00,5.46,stop,-3482.72,-3.42,False,,0,0.0,23.75,767334,6.37,6.47,False,0.07,3,6.06,6.89,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.55,0.2,0.0,25.56,0.051,1.55,,2026,2026-02,-1.0749135802469152,True
ADVB,2026-02-24,10:42:00,4.88,4.72,5.23,15292,10:48:00,4.71,stop,-2729.01,-3.65,False,,0,0.0,57.61,424841,7.11,-0.49,False,-0.02,3,9.75,6.32,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,1.106,0.2,0.0,20.3,1.66,1.106,,2026,2026-02,-1.1153748692126593,True
AIDX,2026-02-24,10:07:00,8.11,7.79,8.62,15562,10:24:00,7.77,stop,-5230.73,-4.15,False,,0,0.0,27.24,432316,-2.19,-16.26,False,-0.02,2,5.14,-0.87,2.5,1.8,0.3,-0.3,0.3,0.0,0.2,2.5,1.106,0.0,0.0,21.54,0.327,1.106,,2026,2026-02,-1.0503811367433509,True
LAW,2026-02-25,10:02:00,3.1,2.96,3.4,17816,11:07:00,2.95,stop,-2627.33,-4.76,False,,0,0.0,30.2,494942,13.01,-12.27,False,0.11,3,10.81,12.1,2.4,1.8,0.0,-0.3,0.0,0.3,0.2,2.4,1.288,0.2,0.0,25.71,1.998,1.288,,2026,2026-02,-1.0533589389954445,True
ANPA,2026-02-27,10:14:00,11.04,10.55,12.14,18000,10:16:00,10.52,stop,-9471.62,-4.76,False,,0,0.0,36.84,539950,3.6,-1.48,False,0.05,2,15.2,4.1,2.5,1.8,0.0,0.0,0.3,0.0,0.0,2.5,1.018,0.2,0.0,36.84,0.441,1.018,,2026,2026-02,-1.0738798185941076,True
QCLS,2026-03-06,10:20:00,3.97,3.79,4.36,6560,10:39:00,4.11,trail_stop,917.64,3.52,False,,0,0.0,45.76,328015,4.82,-2.59,False,-0.08,2,7.5,5.24,2.5,1.0,0.3,-0.3,0.0,0.3,0.0,2.5,1.5,0.2,0.0,20.87,0.859,1.5,,2026,2026-03,0.7771341463414627,True
EDHL,2026-03-13,10:13:00,3.64,3.51,3.84,8420,10:21:00,3.67,trail_stop,301.81,0.99,False,,0,0.0,34.46,210545,3.31,8.67,False,0.12,2,8.78,4.68,2.0,2.0,0.3,0.3,0.0,0.0,0.2,2.0,1.048,0.2,0.0,18.15,0.216,1.048,,2026,2026-03,0.2757262927096649,True
HBIO,2026-03-16,09:48:00,4.9,4.79,5.04,13033,09:50:00,4.9,trail_stop,-64.42,-0.1,False,,0,0.0,17.96,362067,2.74,839.81,False,-0.01,2,3.75,3.12,1.8,1.8,0.0,0.3,0.3,0.0,0.0,1.8,1.176,0.2,0.0,930.62,6.572,1.176,,2026,2026-03,-0.04493488557019581,True
