symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok,regime
OM,2025-03-20,10:26:00,10.02,9.66,10.79,18000,10:36:00,11.27,trail_stop,22524.02,12.49,False,,0,0.0,47.96,1110199,9.25,1322.62,False,,2,7.1,9.14,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,1.345,0.2,0.0,1706.45,2.508,1.345,,2025,2025-03,3.4759290123456843,True,C1
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,8307,12:04:00,17.09,exhaust+trail_stop,15668.38,12.3,False,,0,0.0,39.6,230755,8.5,-15.14,False,,2,11.12,9.1,2.5,1.8,0.0,0.0,0.0,0.3,0.0,2.5,1.345,0.2,0.0,24.72,1.144,1.345,,2025,2025-03,2.4495660833689015,True,C1
CAPS,2025-03-25,09:45:00,3.04,2.94,3.27,18000,09:46:00,2.93,stop,-2046.03,-3.73,False,,0,0.0,21.12,1470269,9.67,-6.14,False,0.04,2,16.92,9.69,2.7,1.8,0.0,0.3,0.0,0.0,0.2,2.7,1.171,0.2,0.0,21.12,0.809,1.171,,2025,2025-03,-1.1366833333333324,True,C1
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,26000,10:57:00,3.41,stop,-2577.08,-2.82,False,,0,0.0,21.98,2546969,5.06,-7.27,False,0.06,3,6.11,5.61,2.6,1.0,0.3,0.3,0.3,0.3,0.2,2.6,1.561,0.2,0.0,20.89,0.482,1.561,,2025,2025-03,-1.101316239316241,True,C1
TNXP,2025-04-07,09:56:00,17.19,16.82,17.89,18000,09:58:00,17.47,trail_stop,5074.92,1.64,False,,0,0.0,28.43,1700591,8.17,-6.97,False,-0.19,3,7.95,7.94,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,2.831,0.2,0.0,21.74,2.259,2.831,,2025,2025-04,0.7619999999999979,True,B
SCLX,2025-04-15,09:36:00,7.21,6.99,7.53,18000,09:40:00,6.97,stop,-4322.47,-3.33,False,,0,0.0,23.33,1449474,2.38,3464.99,False,,2,5.95,3.54,2.6,1.8,0.3,0.3,0.3,0.3,0.2,2.6,3.281,0.2,0.0,3669.23,0.54,3.281,,2025,2025-04,-1.0915328282828296,True,B
FATN,2025-04-16,10:05:00,7.99,7.84,8.25,18000,10:21:00,8.38,exhaust+trail_stop,6421.82,4.47,False,,0,0.0,43.65,2650064,6.29,-13.14,False,,2,5.15,5.92,3.0,1.8,0.3,0.3,0.3,0.3,0.2,3.6,2.098,0.2,0.0,23.51,2.773,2.098,,2025,2025-04,2.378451851851846,True,B
CPS,2025-05-02,09:52:00,19.79,18.99,21.54,11827,13:01:00,21.57,exhaust+trail_stop,23252.87,9.94,False,,0,0.0,32.22,378777,6.28,11.3,False,0.01,2,17.19,5.63,2.3,1.8,0.0,0.3,0.3,0.3,0.2,2.3,1.714,0.2,0.0,29.27,0.556,1.714,,2025,2025-05,2.4576044220850575,True,B
ITOC,2025-05-15,10:09:00,4.75,4.67,4.9,10783,10:16:00,4.66,stop,-1053.07,-2.05,False,,0,0.0,48.0,299569,8.34,-10.69,False,0.02,2,21.68,7.76,3.0,1.8,0.0,0.3,0.3,0.0,0.2,3.0,0.897,0.2,0.0,27.05,2.061,0.897,,2025,2025-05,-1.2207525734953155,True,B
TSSI,2025-05-16,09:57:00,13.92,13.49,14.84,17753,10:06:00,14.72,trail_stop,14137.25,5.72,False,,0,0.0,31.83,947907,3.84,46.56,False,-0.09,2,8.02,4.25,1.8,1.8,0.3,0.0,0.3,0.0,0.0,1.8,0.888,0.2,0.0,56.14,0.706,0.888,,2025,2025-05,1.8519306923559609,True,A
RYET,2025-05-23,10:14:00,13.09,12.49,14.39,15219,10:16:00,12.45,stop,-9709.63,-4.87,False,,0,0.0,23.23,1187461,0.83,-4.14,False,0.06,2,7.32,1.46,2.2,1.8,0.3,-0.3,0.0,0.0,0.2,2.2,1.167,0.0,0.0,21.75,0.896,1.167,,2025,2025-05,-1.0633232582079424,True,A
FMST,2025-05-28,09:42:00,3.72,3.55,4.09,20000,09:53:00,3.9,trail_stop,3635.28,4.89,False,,0,0.0,33.54,832094,7.47,9.26,False,0.03,3,13.3,7.65,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.401,0.2,0.0,15.05,2.791,1.401,,2025,2025-05,1.0691999999999977,True,A
NEGG,2025-06-09,10:25:00,13.57,13.1,14.57,8999,10:28:00,13.92,trail_stop,3155.23,2.58,False,,0,0.0,67.79,931289,9.85,0.0,False,-0.01,3,7.55,9.8,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.808,0.2,0.0,29.81,1.339,0.808,,2025,2025-06,0.7460001465883905,True,A
AGIG,2025-06-16,09:52:00,11.33,10.82,12.45,18000,09:54:00,10.79,stop,-9712.94,-4.76,False,,0,0.0,45.19,2104276,1.9,-11.31,False,0.09,3,17.98,2.32,2.3,1.8,0.0,0.0,0.3,0.0,0.0,2.3,0.914,0.0,0.0,43.39,0.706,0.914,,2025,2025-06,-1.0580544662309372,True,A
EGG,2025-07-09,09:57:00,7.19,6.96,7.66,18000,09:59:00,7.49,trail_stop,5405.37,4.18,False,,0,0.0,141.39,1142215,7.42,-4.17,False,0.02,2,7.89,6.96,2.3,1.8,0.3,0.0,0.3,-0.5,0.0,2.3,0.678,0.2,0.0,24.52,1.473,0.678,,2025,2025-07,1.3056449275362296,True,A
SDM,2025-08-07,10:18:00,10.74,10.37,11.54,18000,10:22:00,11.33,trail_stop,10484.46,5.42,False,,0,0.0,37.09,752520,7.92,-1.87,False,-0.07,2,6.53,7.71,2.5,1.8,0.3,0.0,0.0,0.0,0.0,2.5,0.878,0.2,0.0,25.47,1.548,0.878,,2025,2025-08,1.5742432432432387,True,A
FABC,2025-09-11,09:53:00,4.84,4.69,5.17,6829,10:10:00,5.05,trail_stop,1438.8,4.35,False,,0,0.0,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,,2025,2025-09,1.4045980377800606,True,A
SBLX,2025-09-11,09:53:00,4.84,4.69,5.17,6829,10:10:00,5.05,trail_stop,1438.8,4.35,False,,0,0.0,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,,2025,2025-09,1.4045980377800606,True,A
AQMS,2025-10-13,09:39:00,6.83,6.61,7.32,18000,09:45:00,7.16,trail_stop,5940.78,4.83,False,,0,0.0,108.19,2592400,2.2,12.19,False,0.01,2,6.61,2.17,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.502,0.2,0.0,20.14,2.138,1.502,,2025,2025-10,1.5001969696969712,True,A
IPDN,2025-10-13,09:57:00,3.62,3.46,3.98,18000,10:48:00,4.02,exhaust+trail_stop,7649.24,11.75,False,,0,0.0,43.15,2643889,8.58,-1.35,False,0.01,2,6.71,5.56,2.5,1.8,0.3,-0.3,0.0,0.3,0.0,2.5,1.502,0.2,0.0,23.29,5.937,1.502,,2025,2025-10,2.6559861111111087,True,A
DFNS,2025-10-16,09:38:00,15.28,14.86,16.13,20000,09:52:00,14.82,stop,-9211.6,-3.02,False,,0,0.0,24.72,2763531,2.3,8.7,False,0.04,3,8.23,2.62,2.4,2.0,0.3,0.3,0.3,0.3,0.0,2.4,1.489,0.2,0.0,15.93,1.689,1.489,,2025,2025-10,-1.0966190476190478,True,A
DTCK,2025-11-05,09:45:00,4.49,4.39,4.69,26000,09:47:00,4.56,trail_stop,1662.44,1.42,False,,0,0.0,62.38,2274726,1.74,-3.14,False,0.03,3,5.84,2.22,2.6,1.0,0.3,0.3,0.0,0.0,0.0,2.6,0.84,0.0,0.0,22.09,1.019,0.84,,2025,2025-11,0.6393999999999966,True,A
AREN,2025-11-14,09:46:00,3.86,3.65,4.24,8235,12:19:00,4.43,exhaust+trail_stop,4393.89,13.81,False,,0,0.0,46.67,228795,12.24,-11.25,False,-0.07,3,13.65,14.03,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,,2025,2025-11,2.5407754358574035,True,A
PAAI,2025-11-14,09:46:00,3.86,3.65,4.24,4575,12:19:00,4.43,exhaust+trail_stop,2441.07,13.81,False,,0,0.0,46.67,228795,12.35,-13.75,False,-0.07,3,13.65,14.14,2.7,1.0,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,,2025,2025-11,2.540796252927401,True,A
VELO,2025-11-20,09:46:00,4.92,4.74,5.32,20000,10:36:00,5.16,trail_stop,4799.2,4.87,False,,0,0.0,25.35,578889,3.54,4.58,False,,3,12.34,4.05,1.8,2.0,0.0,0.3,0.0,0.3,0.0,1.8,1.486,0.2,0.0,17.83,0.029,1.486,,2025,2025-11,1.3331111111111131,True,C2
PHGE,2025-12-08,08:58:00,3.2,3.09,3.34,20000,09:01:00,3.08,stop,-2303.4,-3.6,False,,0,0.0,35.9,681064,6.77,-44.68,False,-0.03,2,8.19,8.29,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.639,0.2,0.0,18.91,2.235,0.639,,2025,2025-12,-1.046999999999997,True,A
KZIA,2025-12-23,10:36:00,8.12,7.76,8.93,10251,10:51:00,9.29,exhaust+trail_stop,10966.85,13.17,False,,0,0.0,49.02,284764,5.48,-0.9,False,0.19,3,15.4,5.64,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.75,0.2,0.0,49.02,9.967,0.75,,2025,2025-12,2.971756143032121,True,A
KXIN,2025-12-29,10:15:00,5.2,4.96,5.65,18000,10:17:00,5.18,post_fill_exit,-280.58,-0.3,False,,0,0.0,20.84,1456492,5.67,-13.95,False,0.01,3,5.4,,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,0.331,0.473,,2025,2025-12,-0.06494907407407402,True,A
KXIN,2025-12-29,10:19:00,5.2,4.96,5.71,18000,10:32:00,4.95,stop,-4455.71,-4.76,False,,0,0.0,20.84,1456492,6.28,-13.95,False,0.01,3,5.4,6.75,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,3.48,0.473,,2025,2025-12,-1.031414351851851,True,A
VELO,2026-01-06,09:49:00,17.1,16.64,17.85,20000,10:08:00,17.25,trail_stop,3061.0,0.9,False,,0,0.0,32.0,1889690,4.9,2.81,False,0.06,2,7.64,5.78,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.77,0.2,0.0,16.2,0.621,0.77,,2026,2026-01,0.33271739130434724,True,A
BNRG,2026-01-27,10:00:00,3.19,3.03,3.5,18000,14:18:00,3.31,trail_stop,2300.03,4.01,False,,0,0.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,,2026,2026-01,0.7986215277777771,True,A
BRNX,2026-01-27,10:00:00,3.19,3.03,3.5,18000,14:18:00,3.31,trail_stop,2300.03,4.01,False,,0,0.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,,2026,2026-01,0.7986215277777771,True,A
PMN,2026-02-03,09:59:00,15.82,15.29,16.94,16998,11:31:00,17.12,exhaust+trail_stop,22616.48,8.41,False,,0,0.0,24.2,424992,3.31,-5.27,False,0.06,2,8.01,2.84,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,304.263,0.2,0.0,18.48,3.236,304.263,,2026,2026-02,2.5104485100355816,True,A
KPTI,2026-02-12,09:46:00,7.81,7.51,8.46,14947,10:07:00,8.5,trail_stop,10396.54,8.91,False,,0,0.0,47.92,415232,6.7,-11.8,False,0.0,2,6.48,5.67,2.5,1.8,0.3,-0.3,0.3,0.0,0.0,2.5,0.985,0.2,0.0,22.36,2.246,0.985,,2026,2026-02,2.3185343770210314,True,A
DBGI,2026-02-17,10:23:00,5.66,5.48,6.03,18000,10:26:00,5.46,stop,-3482.72,-3.42,False,,0,0.0,23.75,767334,6.37,6.47,False,0.07,3,6.06,6.89,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.55,0.2,0.0,25.56,0.051,1.55,,2026,2026-02,-1.0749135802469152,True,C2
ADVB,2026-02-24,10:42:00,4.88,4.72,5.23,15292,10:48:00,4.71,stop,-2729.01,-3.65,False,,0,0.0,57.61,424841,7.11,-0.49,False,-0.02,3,9.75,6.32,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,1.106,0.2,0.0,20.3,1.66,1.106,,2026,2026-02,-1.1153748692126593,True,C1
LAW,2026-02-25,10:02:00,3.1,2.96,3.4,17816,11:07:00,2.95,stop,-2627.33,-4.76,False,,0,0.0,30.2,494942,13.01,-12.27,False,0.11,3,10.81,12.1,2.4,1.8,0.0,-0.3,0.0,0.3,0.2,2.4,1.288,0.2,0.0,25.71,1.998,1.288,,2026,2026-02,-1.0533589389954445,True,C1
ANPA,2026-02-27,10:14:00,11.04,10.55,12.14,18000,10:16:00,10.52,stop,-9471.62,-4.76,False,,0,0.0,36.84,539950,3.6,-1.48,False,0.05,2,15.2,4.1,2.5,1.8,0.0,0.0,0.3,0.0,0.0,2.5,1.018,0.2,0.0,36.84,0.441,1.018,,2026,2026-02,-1.0738798185941076,True,A
QCLS,2026-03-06,10:20:00,3.97,3.79,4.36,6560,10:39:00,4.11,trail_stop,917.64,3.52,False,,0,0.0,45.76,328015,4.82,-2.59,False,-0.08,2,7.5,5.24,2.5,1.0,0.3,-0.3,0.0,0.3,0.0,2.5,1.5,0.2,0.0,20.87,0.859,1.5,,2026,2026-03,0.7771341463414627,True,C1
EDHL,2026-03-13,10:13:00,3.64,3.51,3.84,8420,10:21:00,3.67,trail_stop,301.81,0.99,False,,0,0.0,34.46,210545,3.31,8.67,False,0.12,2,8.78,4.68,2.0,2.0,0.3,0.3,0.0,0.0,0.2,2.0,1.048,0.2,0.0,18.15,0.216,1.048,,2026,2026-03,0.2757262927096649,True,C1
MKDW,2026-03-26,09:51:00,6.13,5.86,6.73,13352,10:11:00,6.69,trail_stop,7506.13,9.17,False,,0,0.0,56.0,370929,5.43,0.38,False,,2,17.99,5.67,2.0,1.8,0.0,0.3,0.3,0.0,0.2,2.0,1.148,0.2,0.0,34.17,0.588,1.148,,2026,2026-03,2.0821211415129963,True,C1
GLND,2026-04-01,09:47:00,8.22,8.02,8.62,20000,10:32:00,7.99,stop,-4498.4,-2.74,False,,0,0.0,22.31,1453348,3.59,-0.57,False,,3,6.79,4.01,2.6,2.0,0.3,0.3,0.3,0.3,0.2,2.6,1.799,0.2,0.0,18.37,1.683,1.799,,2026,2026-04,-1.1245999999999938,True,C1
TMCR,2026-04-09,09:57:00,11.56,11.21,12.29,18000,10:09:00,12.31,exhaust+trail_stop,15227.58,7.32,False,,0,0.0,35.68,588449,0.43,-14.07,False,,2,7.47,0.93,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.93,0.0,0.0,21.21,0.547,0.93,,2026,2026-04,2.417076190476193,True,A
TRT,2026-05-15,10:45:00,18.47,17.82,19.87,6440,11:19:00,19.12,trail_stop,4202.5,3.53,False,,0,0.0,47.14,2740118,11.9,6.28,False,,3,6.95,12.1,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.969,0.2,0.0,28.89,1.8,0.969,,2026,2026-05,1.0039417104634518,True,A
MLGO,2026-05-20,10:15:00,4.6,4.4,5.06,12159,12:26:00,5.18,exhaust+trail_stop,7216.38,12.89,False,,0,0.0,81.27,607952,8.33,-1.04,False,,2,6.4,8.49,2.4,1.0,0.3,-0.3,0.0,0.0,0.2,2.4,0.892,0.2,0.0,20.84,2.054,0.892,,2026,2026-05,2.9675055514433857,True,A
LESL,2026-06-09,10:05:00,6.77,6.58,7.17,21000,10:19:00,6.56,stop,-4461.13,-3.14,False,,0,0.0,62.48,2755669,10.28,1.75,False,,3,6.11,10.61,2.1,1.0,0.3,0.0,0.3,0.3,0.0,2.1,1.41,0.2,0.0,33.69,1.346,1.41,,2026,2026-06,-1.118077694235592,True,A
INDP,2026-06-11,10:25:00,3.24,3.12,3.37,30000,10:27:00,3.23,trail_stop,-219.46,-0.23,False,,0,0.0,56.37,2664475,3.09,-0.82,False,,3,6.67,4.74,3.0,1.0,0.3,0.3,0.3,0.3,0.0,3.4,2.044,0.2,0.0,41.15,6.915,2.044,,2026,2026-06,-0.060961111111111056,True,A
CRE,2026-06-12,10:23:00,3.17,3.04,3.43,20000,10:33:00,3.38,trail_stop,4349.4,6.87,False,,0,0.0,29.01,504064,2.29,0.91,False,,2,11.25,2.76,2.1,2.0,0.0,0.3,0.3,0.3,0.0,2.1,2.439,0.2,0.0,16.18,0.207,2.439,,2026,2026-06,1.6728461538461552,True,A
ASBP,2026-06-16,09:57:00,6.14,5.87,6.75,20000,10:05:00,6.47,trail_stop,6511.86,5.3,False,,0,0.0,26.74,1056507,6.14,-6.02,False,,3,6.91,4.01,2.0,2.0,0.3,-0.3,0.3,0.3,0.2,2.0,1.362,0.2,0.0,15.07,6.795,1.362,,2026,2026-06,1.2059000000000017,True,A
RBNE,2026-07-16,10:39:00,4.8,4.69,5.04,13960,10:49:00,4.67,stop,-1856.05,-2.77,False,,0,0.0,45.83,387808,2.48,-1.14,False,,2,6.22,2.92,2.0,1.8,0.3,0.0,0.0,-0.5,0.0,2.0,0.711,0.2,0.0,21.53,0.867,0.711,,2026,2026-07,-1.208680646001569,True,A
TJGC,2026-08-18,10:22:00,4.97,4.75,5.47,22000,10:33:00,4.73,stop,-5210.23,-4.76,False,,0,0.0,41.09,1223937,14.97,-2.74,False,,2,14.12,14.99,2.2,1.0,0.0,0.0,0.3,-0.5,0.2,2.2,0.555,0.2,0.0,35.52,2.779,0.555,,2026,2026-08,-1.0764938016528938,True,A
RDAC,2026-08-24,10:18:00,5.98,5.88,6.15,18000,10:21:00,6.03,trail_stop,937.8,0.87,False,,0,0.0,29.16,901995,2.22,-8.35,False,,2,17.86,2.72,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.617,0.2,0.0,22.7,1.106,0.617,,2026,2026-08,0.5209999999999972,True,A
