symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok,regime
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,11:06:00,2.98,stop,-1063.71,-1.94,False,,0,0.0,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.0,1.8,0.3,0.3,0.3,0.0,0.2,3.3,1.059,0.2,0.0,20.41,2.142,1.059,,2025,2025-02,-1.1819000000000042,True,A
AXGN,2025-02-25,09:45:00,19.94,19.25,20.84,13095,09:54:00,19.19,stop,-9781.31,-3.75,False,,0,0.0,29.47,363777,5.68,-8.83,False,0.0,3,5.81,6.93,3.0,1.8,0.3,0.0,0.3,0.3,0.0,3.1,1.224,0.2,0.0,23.18,3.128,1.224,,2025,2025-02,-1.0825362042155686,True,C1
MSW,2025-02-27,09:47:00,5.09,4.8,5.59,16824,10:04:00,4.79,stop,-5042.15,-5.89,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,,2025,2025-02,-1.0334477019692718,True,C1
PMA,2025-02-27,09:47:00,5.09,4.8,5.59,16824,10:04:00,4.79,stop,-5042.15,-5.89,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,,2025,2025-02,-1.0334477019692718,True,C1
PCLA,2025-02-28,10:10:00,5.28,5.12,5.6,18000,10:16:00,5.1,stop,-3088.98,-3.25,False,,0,0.0,30.12,1782161,1.12,9.95,False,,2,5.0,1.62,1.9,1.8,0.3,0.0,0.3,0.3,0.0,1.9,1.668,0.0,0.0,41.89,0.393,1.668,,2025,2025-02,-1.072562499999999,True,C1
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,18000,10:40:00,3.59,trail_stop,1380.33,2.18,False,,0,0.0,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,1.668,0.2,0.0,29.5,1.195,1.668,,2025,2025-02,0.6971363636363644,True,C1
MAXN,2025-03-04,10:04:00,3.22,3.1,3.47,10620,11:41:00,3.09,stop,-1343.39,-3.93,False,,0,0.0,26.49,295043,9.16,0.29,False,,3,6.73,9.53,2.1,1.8,0.3,0.0,0.3,0.3,0.0,2.1,2.468,0.2,0.0,28.73,2.319,2.468,,2025,2025-03,-1.0541352793471428,True,C1
VSTD,2025-03-07,09:49:00,14.08,13.49,15.38,8177,09:50:00,13.45,stop,-5155.76,-4.48,False,,0,0.0,18.25,227196,5.22,10.43,False,,2,10.74,4.52,1.8,1.8,0.0,0.0,0.3,0.3,0.0,1.8,2.04,0.2,0.0,22.87,3.578,2.04,,2025,2025-03,-1.068677543253815,True,C1
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,15233,12:28:00,4.4,trail_stop,4064.51,6.46,False,,0,0.0,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.0,1.8,0.0,0.3,0.3,0.3,0.2,3.3,2.118,0.2,0.0,51.08,3.756,2.118,,2025,2025-03,1.6676417974135136,True,C1
KBSX,2025-03-19,10:07:00,3.87,3.7,4.25,18000,10:17:00,4.79,exhaust+trail_stop,16561.72,23.78,False,,0,0.0,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.6,1.8,0.0,0.0,0.3,0.3,0.0,2.6,1.537,0.0,0.0,21.33,0.829,1.537,,2025,2025-03,5.4123267973856235,True,C1
