pop,split,n_rows,n,fill,gross,gross_t,net,net_t,net_se_iid,net_t_iid,ex5,meas_cov,ssr_act,mean_cost
S,TRAIN,1366,219,0.1603221083455344,0.3021168637818564,3.4304092228206153,0.2108799778745014,2.349512680372052,0.08662278578067842,2.4344631262313787,0.0506567779489585,0.9954337899543378,0.0684931506849315,0.09123688590735493
S(no SSR rail),TRAIN,1366,219,0.1603221083455344,0.3021168637818564,3.4304092228206153,0.2108799778745014,2.349512680372052,0.08662278578067842,2.4344631262313787,0.0506567779489585,0.9954337899543378,0.0684931506849315,0.09123688590735493
P3,TRAIN,2824,139,0.049220963172804534,0.06461146554690785,0.5951991223503901,-0.0019378139569288277,-0.01804489138647912,0.08960107102195583,-0.021627129395071474,-0.1260581709781077,0.5611510791366906,0.014388489208633094,0.06654927950383668
P1,TRAIN,571,61,0.10683012259194395,0.18422229299979245,1.2393064506364158,0.12244116155665404,0.8288421184030528,0.09574320052804344,1.2788496820804593,0.055864590046298915,0.0,0.0,0.06178113144313842
S,VAL,928,133,0.14331896551724138,0.4709312299719833,3.0238976499294443,0.37169026498084184,2.3575243531745764,0.17100345467439831,2.173583368175598,0.08106750954065389,1.0,0.14285714285714285,0.09924096499114145
S(no SSR rail),VAL,928,138,0.14870689655172414,0.46940613276574517,3.2422982895237564,0.3637727243251202,2.4661474540618396,0.1687756929447189,2.1553620546785193,0.08202692705890981,1.0,0.16666666666666666,0.10563340844062492
P3,VAL,1797,83,0.04618809126321647,-0.11138578599614872,-0.8402820908123125,-0.1934504047671317,-1.4658548376463862,0.126816993104157,-1.52542967651226,-0.37999533547441194,0.42168674698795183,0.0963855421686747,0.08206461877098294
P1,VAL,297,13,0.04377104377104377,0.0523677819020401,0.1876343474386541,-0.01058850866061848,-0.03779392438181491,0.30772167651514726,-0.0344093688183753,-0.13769041531917825,0.0,0.0,0.06295629056265861
S,TRAIN,1366,343,0.25109809663250365,0.32455952060880605,4.648904881533565,0.2457480967301811,3.472025385286834,0.06586305868111744,3.73119775563408,0.09028386187726593,0.9941690962099126,0.06705539358600583,0.07881142387862493
S(no SSR rail),TRAIN,1366,344,0.2518301610541728,0.3205608010721526,4.5955075204280345,0.24186523269791432,3.4213226316716088,0.06578600562431151,3.6765453442963247,0.08666349073540436,0.9941860465116279,0.06976744186046512,0.07869556837423826
P3,TRAIN,2824,281,0.0995042492917847,0.11762170843422975,1.3916914362587696,0.0511639202663711,0.6068262790903587,0.06323114279588136,0.8091569755671681,-0.0744871504377991,0.6192170818505338,0.03914590747330961,0.06645778816785865
P1,TRAIN,571,86,0.15061295971978983,0.20510104589134287,1.9908187064060838,0.14317091765619014,1.3997929511002936,0.0816872456878691,1.752671625179445,0.06554249139169417,0.0,0.0,0.061930128235152704
S,VAL,928,225,0.24245689655172414,0.4270697676415193,3.988795224345119,0.32862592858162204,3.037203057407276,0.11582437577634223,2.837277786985023,0.07817705775825558,1.0,0.12444444444444444,0.09844383905989737
S(no SSR rail),VAL,928,231,0.24892241379310345,0.4207094824880559,4.128812294934103,0.3187580233875859,3.096639840001666,0.11504252306846907,2.770784357692441,0.07269035740692562,1.0,0.13852813852813853,0.10195145910047006
P3,VAL,1797,171,0.09515859766277128,-0.045232428003044285,-0.5196652024705379,-0.11788648669218697,-1.3507437053123443,0.07643681343122039,-1.542273695099338,-0.2502935952260578,0.4678362573099415,0.11695906432748537,0.0726540586891427
P1,VAL,297,22,0.07407407407407407,0.0028186182310632746,0.014559801203021507,-0.0599577576603638,-0.3086561887148365,0.20806909942429302,-0.2881627201072196,-0.21285688676248857,0.0,0.0,0.0627763758914271
