key,exit,subset,split,n,tpw,meanR,se,t,WR,wkR,green,worst
"F8 {""N"": 30}",2r,all,TEST,299,21.4,-0.049,0.0362,-1.37,45.5,-1.06,0.29,-7.2
"F8 {""N"": 30}",2r,combo,TRAIN,898,16.9,-0.044,0.0244,-1.81,42.4,-0.75,0.36,-6.5
"F8 {""N"": 30}",2r,combo,VAL,401,18.2,-0.003,0.0319,-0.1,47.9,-0.06,0.55,-5.4
"F8 {""N"": 30}",2r,combo,TEST,275,19.6,-0.112,0.0401,-2.78,40.7,-2.19,0.29,-7.4
"F8 {""N"": 30}",2r,pm_hi,TRAIN,1137,21.5,-0.034,0.0236,-1.45,44.8,-0.73,0.45,-11.7
"F8 {""N"": 30}",2r,pm_hi,VAL,456,20.7,0.012,0.0345,0.34,50.7,0.25,0.59,-9.0
"F8 {""N"": 30}",2r,pm_hi,TEST,294,21.0,-0.067,0.0366,-1.83,47.3,-1.41,0.36,-7.5
"F8 {""N"": 5}",hold,all,TRAIN,1366,25.8,-0.028,0.0436,-0.64,39.8,-0.72,0.47,-13.5
"F8 {""N"": 5}",hold,all,VAL,533,24.2,0.091,0.0584,1.57,46.0,2.22,0.55,-7.7
"F8 {""N"": 5}",hold,all,TEST,360,25.7,0.006,0.1402,0.04,40.3,0.15,0.36,-18.2
"F8 {""N"": 5}",hold,combo,TRAIN,382,7.2,-0.208,0.0501,-4.15,32.2,-1.5,0.25,-7.4
"F8 {""N"": 5}",hold,combo,VAL,185,8.4,-0.049,0.062,-0.8,42.7,-0.42,0.41,-4.1
"F8 {""N"": 5}",hold,combo,TEST,120,8.6,-0.299,0.0748,-3.99,34.2,-2.56,0.07,-7.2
"F8 {""N"": 5}",hold,pm_hi,TRAIN,749,14.1,-0.191,0.0411,-4.65,34.3,-2.7,0.32,-14.4
"F8 {""N"": 5}",hold,pm_hi,VAL,381,17.3,-0.063,0.0549,-1.14,43.6,-1.09,0.45,-8.3
"F8 {""N"": 5}",hold,pm_hi,TEST,257,18.4,-0.165,0.056,-2.95,38.9,-3.03,0.07,-8.4
"F8 {""N"": 5}",2r,all,TRAIN,1495,28.2,-0.081,0.0272,-2.99,41.8,-2.29,0.38,-14.4
"F8 {""N"": 5}",2r,all,VAL,583,26.5,0.068,0.0431,1.59,48.9,1.81,0.59,-10.7
"F8 {""N"": 5}",2r,all,TEST,387,27.6,-0.063,0.0478,-1.31,42.6,-1.74,0.36,-11.5
"F8 {""N"": 5}",2r,combo,TRAIN,385,7.3,-0.176,0.0477,-3.68,33.8,-1.28,0.26,-8.9
"F8 {""N"": 5}",2r,combo,VAL,186,8.5,-0.063,0.0583,-1.08,42.5,-0.53,0.41,-4.1
"F8 {""N"": 5}",2r,combo,TEST,120,8.6,-0.217,0.0795,-2.73,36.7,-1.86,0.14,-7.2
"F8 {""N"": 5}",2r,pm_hi,TRAIN,765,14.4,-0.182,0.0366,-4.96,35.9,-2.62,0.26,-13.8
"F8 {""N"": 5}",2r,pm_hi,VAL,394,17.9,-0.078,0.0481,-1.63,43.7,-1.4,0.41,-10.3
"F8 {""N"": 5}",2r,pm_hi,TEST,264,18.9,-0.064,0.0583,-1.1,42.0,-1.21,0.36,-8.4
