day,symbol,hour,k,ref,split,rr_reacting,react_entry_m,react_entry,react_exit_m,react_rpct,touch_off,fill_m,entry,rpct,rr,why,exit_m,ssr_active,ssr_undet,limit
2025-01-07,EGAN,13,0.004,7.33,TRAIN,0.925925925925922,840,7.29,956,0.02,-1,-1,,,,unfilled,-1,False,False,7.35932
2025-01-07,EGAN,13,0.006,7.33,TRAIN,0.925925925925922,840,7.29,956,0.02,-1,-1,,,,unfilled,-1,False,False,7.37398
2025-01-07,EGAN,13,0.008,7.33,TRAIN,0.925925925925922,840,7.29,956,0.02,-1,-1,,,,unfilled,-1,False,False,7.3886400000000005
2025-01-07,EGAN,13,0.01,7.33,TRAIN,0.925925925925922,840,7.29,956,0.02,-1,-1,,,,unfilled,-1,False,False,7.4033
2025-01-07,EGAN,14,0.004,7.11,TRAIN,-0.3164556962025314,900,7.11,956,0.0199999999999999,2,906,7.13844,0.019999999999999973,-0.11599172928539116,eod,956,False,False,7.13844
2025-01-07,EGAN,14,0.006,7.11,TRAIN,-0.3164556962025314,900,7.11,956,0.0199999999999999,3,907,7.15266,0.01999999999999997,-0.016357550897150394,eod,956,False,False,7.15266
2025-01-07,EGAN,14,0.008,7.11,TRAIN,-0.3164556962025314,900,7.11,956,0.0199999999999999,-1,-1,,,,unfilled,-1,False,False,7.166880000000001
2025-01-07,EGAN,14,0.01,7.11,TRAIN,-0.3164556962025314,900,7.11,956,0.0199999999999999,-1,-1,,,,unfilled,-1,False,False,7.181100000000001
2025-01-10,RNA,9,0.004,30.415,TRAIN,1.906086387434553,600,30.56,955,0.02,0,600,30.536659999999998,0.02000000000000007,1.869326900846383,eod,955,False,False,30.536659999999998
2025-01-10,RNA,9,0.006,30.415,TRAIN,1.906086387434553,600,30.56,955,0.02,0,600,30.59749,0.020000000000000046,1.9650141237075298,eod,955,False,False,30.59749
2025-01-10,RNA,9,0.008,30.415,TRAIN,1.906086387434553,600,30.56,955,0.02,4,604,30.65832,0.020000000000000025,2.060321635366841,eod,955,False,False,30.65832
2025-01-10,RNA,9,0.01,30.415,TRAIN,1.906086387434553,600,30.56,955,0.02,5,605,30.71915,0.020000000000000004,2.1552516915344326,eod,955,False,False,30.71915
2025-01-10,TKNO,9,0.004,7.98,TRAIN,-1.0509999999999895,600,7.9,602,0.0199999999999999,1,602,8.01192,0.020000000000000098,-1.2873942825190354,stop,619,False,False,8.01192
2025-01-10,TKNO,9,0.006,7.98,TRAIN,-1.0509999999999895,600,7.9,602,0.0199999999999999,1,602,8.02788,0.02000000000000008,-1.1854312720170126,stop,619,False,False,8.02788
2025-01-10,TKNO,9,0.008,7.98,TRAIN,-1.0509999999999895,600,7.9,602,0.0199999999999999,1,602,8.043840000000001,0.020000000000000056,-1.0838728766360184,stop,619,False,False,8.043840000000001
2025-01-10,TKNO,9,0.01,7.98,TRAIN,-1.0509999999999895,600,7.9,602,0.0199999999999999,1,602,8.059800000000001,0.02000000000000004,-1.169011638005892,stop,626,False,False,8.059800000000001
2025-01-14,DJT,9,0.004,40.22,TRAIN,-1.0509999999999962,600,40.27,607,0.0199999999999999,0,600,40.38088,0.02000000000000001,-1.050999999999996,stop,608,False,False,40.38088
2025-01-14,DJT,9,0.006,40.22,TRAIN,-1.0509999999999962,600,40.27,607,0.0199999999999999,0,600,40.46132,0.02,-1.050999999999991,stop,608,False,False,40.46132
2025-01-14,DJT,9,0.008,40.22,TRAIN,-1.0509999999999962,600,40.27,607,0.0199999999999999,2,602,40.54176,0.019999999999999993,-1.0509999999999948,stop,608,False,False,40.54176
2025-01-14,DJT,9,0.01,40.22,TRAIN,-1.0509999999999962,600,40.27,607,0.0199999999999999,3,603,40.6222,0.019999999999999983,-1.0509999999999986,stop,608,False,False,40.6222
2025-01-14,PENN,14,0.004,20.54,TRAIN,-0.036514118792601,900,20.54,955,0.02,-1,-1,,,,unfilled,-1,False,False,20.62216
2025-01-14,PENN,14,0.006,20.54,TRAIN,-0.036514118792601,900,20.54,955,0.02,-1,-1,,,,unfilled,-1,False,False,20.66324
2025-01-14,PENN,14,0.008,20.54,TRAIN,-0.036514118792601,900,20.54,955,0.02,-1,-1,,,,unfilled,-1,False,False,20.70432
