TRAIN,TRAIN_n,VAL,VAL_n,TEST,TEST_n
0.13238525135017187,996,0.31859624925459923,408,0.30030511467890214,272
0.13671577527631312,996,0.2903296104924468,408,0.44421042550214973,272
0.1167209682474516,996,0.29732642206137866,408,0.40018680931662864,272
0.10844911184052823,996,0.2889780692899455,408,0.34179419812579503,272
0.13998983978642277,996,0.3213135184842633,408,0.35069000688241964,272
0.13649640408612584,996,0.20537372670913767,408,0.3571683502419512,272
0.14061791090684567,996,0.4098538612583884,408,0.43815595550895364,272
0.13610987324474377,996,0.29335370868964167,408,0.37085727960649056,272
0.11174644240245711,996,0.2937729156478521,408,0.4411543644942785,272
0.1310076407783234,996,0.31541585511065656,408,0.3883068436743383,272
0.12193730804504921,996,0.21103936547698363,408,0.38615562611305154,272
0.13095881832563142,996,0.3227704457141968,408,0.38720656476083226,272
0.13798382235290935,996,0.26651889101120196,408,0.37236206105247854,272
0.12341972431684535,996,0.33103226103826683,408,0.4204614307679201,272
0.11620215629086418,996,0.3273328102210526,408,0.32710375087848637,272
0.13150256022561943,996,0.30650482534562223,408,0.3650740396361216,272
0.15251174003840187,996,0.2870366361911455,408,0.31488017750454933,272
0.11811014886179376,996,0.33914693706733234,408,0.3761694598994056,272
0.14264724491313371,996,0.2766800374340208,408,0.3170854182902153,272
0.15144025225901214,996,0.25198875575268737,408,0.44338072446761706,272
0.12875006602554934,996,0.2563772504215987,408,0.3970596724550783,272
0.16096761276913124,996,0.2573297370844753,408,0.4784492555809371,272
0.11796306800512313,996,0.2864456609806216,408,0.409122080128772,272
0.13884055760597003,996,0.23231401822209602,408,0.5407034786762173,272
0.11355516463184637,996,0.284289929467054,408,0.3364734673804475,272
0.13570605865403274,996,0.3115237174624161,408,0.43256941476344496,272
0.12459806237246408,996,0.2477400821182345,408,0.42896978799475605,272
0.13936520948610512,996,0.27935103192753,408,0.3941365527178737,272
0.16008964257668343,996,0.37056049259219914,408,0.4757445253843346,272
0.1426561999278237,996,0.2973272228636297,408,0.37762408269953696,272
0.1227412902430282,996,0.2960167874067227,408,0.45273442864355595,272
0.13257554565502783,996,0.30429163400732095,408,0.29952214740114025,272
0.12233637048662749,996,0.29272675837160406,408,0.3964584280283608,272
0.11927132721103423,996,0.2918180217915309,408,0.3621957842566664,272
0.15776471731068095,996,0.2089828229473872,408,0.3642424895281407,272
0.1278973610422155,996,0.3193621462341666,408,0.3768505691609194,272
0.12133378785897872,996,0.29090973815240756,408,0.30379163177488844,272
0.11980717950036046,996,0.35952159486186785,408,0.35343178515748197,272
0.14609528130309343,996,0.3158791949519049,408,0.29393318951471903,272
0.1519294004689352,996,0.34609509424884816,408,0.41501441273341344,272
0.13032965252867776,996,0.3113016740571429,408,0.35961729044382734,272
0.1273727064290995,996,0.2804359546648055,408,0.3685749136865595,272
0.13661627531430112,996,0.3390732394114488,408,0.3413444844112969,272
0.12927228455014297,996,0.2793962806490463,408,0.39975583062384884,272
0.13381281326391115,996,0.33573950587394646,408,0.39188400313765465,272
0.14304174297865985,996,0.29575682786610047,408,0.4060854384022639,272
0.14243712206253417,996,0.29818963195607273,408,0.3512416093927168,272
0.12177366185862377,996,0.2672617950532558,408,0.2803030979299802,272
0.15661142587198326,996,0.3174536796555128,408,0.3169510147398426,272
0.13705923185308158,996,0.3334820192352497,408,0.34574694552986973,272
0.12873167908570957,996,0.25023766229730005,408,0.3923963855399631,272
0.12975170539902664,996,0.3142004901607387,408,0.45202622996991954,272
0.14215099518825347,996,0.25222811632492964,408,0.44067387184202284,272
0.13690833880326955,996,0.2710711984095122,408,0.3295712847743287,272
0.14226129839290058,996,0.3306386690729552,408,0.31284368363502085,272
0.1133125213175489,996,0.2761502575097196,408,0.4893738712979995,272
0.1351459720982303,996,0.27691620099708275,408,0.38433605532536025,272
0.12251702228112828,996,0.29002783649607206,408,0.39789559379694817,272
0.1354116104823076,996,0.33026010427230895,408,0.318523245860153,272
0.13793727208529472,996,0.3417967578079538,408,0.3922991969445942,272
0.12827703261855328,996,0.32239696392822864,408,0.3975350482851397,272
0.11875580001525525,996,0.2908996273530953,408,0.3512906625152194,272
0.09619420485703742,996,0.24017169839662753,408,0.3735116887849808,272
0.13982956767275337,996,0.3131984384126661,408,0.3221378984253165,272
0.12593789304640468,996,0.2988523395912656,408,0.35784950187114906,272
0.14236851466021946,996,0.34885003229119627,408,0.36143894977010976,272
0.11108535713780009,996,0.2447018373411105,408,0.3513071730903424,272
0.1255040654673053,996,0.2628072497375832,408,0.4995630713927863,272
0.14727439591593894,996,0.2562811530649218,408,0.34289898748180103,272
0.15162501323885555,996,0.30390932805837184,408,0.39647340435465855,272
0.13778492092865852,996,0.2986745443149751,408,0.44660905736138196,272
0.12650755059898583,996,0.3111781366840363,408,0.30896651519804563,272
0.11333407734683723,996,0.2755376116644572,408,0.45016077041809904,272
0.14541649585482713,996,0.3328826539932234,408,0.3299625817713644,272
0.12129402834323505,996,0.28543108292507646,408,0.43931664914761326,272
0.11413261527906864,996,0.3305779934279913,408,0.3667987751721812,272
0.1459668984032859,996,0.3161881261942122,408,0.36603187771426976,272
0.12612437994558653,996,0.24267568572440598,408,0.3455365510609522,272
0.14986008020776634,996,0.3705270173338128,408,0.3608453640891791,272
0.14247703293383873,996,0.3324497145858629,408,0.39960133785210844,272
0.13026201049907662,996,0.27595050656644854,408,0.39998296852472554,272
0.11530905907811131,996,0.2509059055648788,408,0.3658418832641593,272
0.12068898909106521,996,0.2905271937735209,408,0.3399102839678172,272
0.13775742251454967,996,0.31449501052600554,408,0.4070072452675595,272
0.12334257030046628,996,0.3550035931487046,408,0.4183194174353705,272
0.12727166401910006,996,0.296937773050098,408,0.3547357076464071,272
0.12647543886542265,996,0.35034472920377807,408,0.2856868368664552,272
0.1438859483058537,996,0.31612050738799863,408,0.29266490338721063,272
0.13307072768490485,996,0.32369648936137313,408,0.3170811453971886,272
0.14065184038375925,996,0.347065847023907,408,0.3894299076768439,272
0.1430891841551844,996,0.27055820913661704,408,0.39018516268280207,272
0.11656363792605812,996,0.2828767281998169,408,0.45186827353750963,272
0.12603297354335488,996,0.33894660497404255,408,0.37362287188271326,272
0.1307644970544939,996,0.2471151952653211,408,0.4154214275651386,272
0.12964219261384838,996,0.3060926038026664,408,0.29748982939348184,272
0.11667909462258091,996,0.3025695384367746,408,0.3807245384396155,272
0.12904518189968323,996,0.2734961782017984,408,0.37410899402433867,272
0.0957267562632875,996,0.36505101028766107,408,0.42683478370292083,272
0.132191619162604,996,0.282369947922016,408,0.4299509201594859,272
0.10352131466183596,996,0.23445280940930252,408,0.40904644736220347,272
0.13750904196686559,996,0.29838394078854547,408,0.3274205002796465,272
0.07805613568852475,996,0.2771971869950071,408,0.3833315175972635,272
0.118383754501339,996,0.2986634144032707,408,0.3443200761982941,272
0.11171336601633411,996,0.3260535443304024,408,0.3641645704969646,272
0.12609716744535426,996,0.32437676705462504,408,0.33258772730942704,272
0.1488009247597262,996,0.23964140464813857,408,0.3476636858255603,272
0.13141993102636207,996,0.3302994553463651,408,0.3631526908791878,272
0.12335972018107175,996,0.29176721674979694,408,0.36824763488036955,272
0.11738156309220939,996,0.3418432712862705,408,0.5282453628108845,272
0.1267086961342746,996,0.3400249129629766,408,0.3851564706693166,272
0.15103727874051087,996,0.26951862576684016,408,0.42780321226304874,272
0.11963325858288862,996,0.3029650644610638,408,0.4078512118067567,272
0.1404604383559014,996,0.24097418281445124,408,0.47362514027824054,272
0.11851500350690655,996,0.3420948596247198,408,0.35869954790532443,272
0.1279014377883105,996,0.28595396741055884,408,0.4393209969749056,272
0.13948702837143573,996,0.27187830125410395,408,0.3383719127809194,272
0.09443745485402646,996,0.3501382454913735,408,0.37113405474471306,272
0.1389928101925109,996,0.31464909051681483,408,0.3605434648882139,272
0.13872598135392922,996,0.2837142559894796,408,0.37189841600937684,272
0.12641594088707184,996,0.31008402622581277,408,0.4025234279728328,272
0.12966294678956997,996,0.35044693148659645,408,0.46434572284311876,272
0.11218849321979106,996,0.2589873312340255,408,0.3567329535763488,272
0.140067811240545,996,0.3205103428318933,408,0.38900506861789236,272
0.10295634193011534,996,0.24214085923127232,408,0.40606971777506745,272
0.16158571355468382,996,0.3727134397830633,408,0.3977101495952032,272
0.14214097584998223,996,0.2391892222045727,408,0.3694029456375567,272
0.14779964888922678,996,0.2758715767007669,408,0.40880086658942105,272
0.1384179043112776,996,0.2864344047841198,408,0.36852483597226826,272
0.13392682986580057,996,0.2947841717046627,408,0.3181752462756561,272
0.12491057235813485,996,0.22181373205728933,408,0.3317329754084331,272
0.12748587052750135,996,0.3335822366475697,408,0.2512767973204941,272
0.11300096961817606,996,0.24132709666619598,408,0.4145374406317514,272
0.14915214836759888,996,0.24156816635690492,408,0.34666529394346274,272
0.12410032155921005,996,0.3285426295063853,408,0.4128483980435102,272
0.13865674299927258,996,0.3003663130672705,408,0.3364008929149071,272
0.1340302895387875,996,0.330247487985187,408,0.5220864305234616,272
0.1441271888546174,996,0.30083170388535657,408,0.36467330140846466,272
0.135318196772842,996,0.3371445637253612,408,0.4835830801087707,272
0.13831749116077305,996,0.2889572206105169,408,0.3957039625815333,272
0.13739073516989533,996,0.20665587598077587,408,0.37869616748505,272
0.16203461067012764,996,0.3221937898420942,408,0.4091178109023829,272
0.14585999532105978,996,0.26822261603271913,408,0.4222735715096371,272
0.12800130583017236,996,0.29249700128374456,408,0.3053846269482289,272
0.14102344202769418,996,0.2732086083806834,408,0.4282365396559709,272
0.1472670105215829,996,0.22959664747367342,408,0.3338446281929146,272
0.11829999141807844,996,0.29214873613838055,408,0.4791431262450331,272
0.14221631731439432,996,0.30354603081257303,408,0.3717099093781294,272
0.13215497732086082,996,0.31261750452714704,408,0.4894699328705188,272
0.13052082781889854,996,0.29083724629233443,408,0.3295322369496494,272
0.14586993040052906,996,0.3106104882785264,408,0.3599836878351799,272
0.14462261701978954,996,0.31424758968177413,408,0.39922922998659327,272
0.16367557505194277,996,0.3362679773147963,408,0.32922163509301694,272
0.1281338473040466,996,0.2598481288981295,408,0.386119052241243,272
0.12248610997044006,996,0.3247626059690074,408,0.40319201186453046,272
0.1249386255571357,996,0.2526130515560479,408,0.39350635516926835,272
0.12396870126446853,996,0.2864305815491297,408,0.4629161399221006,272
