bar_date,n,med_abs,p90_abs,sd,split
2025-01-17,4495,0.0072859526,0.02928228378295898,0.025910202,TRAIN
2025-01-21,4520,0.013107598,0.04213867187499999,0.033856954,TRAIN
2025-01-22,4522,0.008663714,0.031135398149490363,0.024707755,TRAIN
2025-01-23,4522,0.006311327,0.027337521314620975,0.023381794,TRAIN
2025-01-24,4528,0.0058536828,0.0266050934791565,0.041127663,TRAIN
2025-01-27,4504,0.014512658,0.05266293287277223,0.0481856,TRAIN
2025-01-28,4512,0.008977711,0.03506488204002381,0.045684032,TRAIN
2025-01-29,4519,0.006248772,0.02888848781585695,0.04812059,TRAIN
2025-01-30,4522,0.010746896,0.03716106414794923,0.030881224,TRAIN
2025-01-31,4528,0.00852409,0.03265182375907898,0.023480034,TRAIN
2025-02-03,4523,0.010365069,0.03638049364089967,0.03120704,TRAIN
2025-02-04,4539,0.010113597,0.038246321678161645,0.026064157,TRAIN
2025-02-05,4553,0.008758128,0.033484733104705816,0.028920855,TRAIN
2025-02-06,4550,0.007068813,0.035508263111114505,0.03025148,TRAIN
2025-02-07,4537,0.00909847,0.0349281907081604,0.028498571,TRAIN
2025-02-10,4535,0.008496404,0.03433656692504882,0.027189026,TRAIN
2025-02-11,4517,0.007250786,0.03525998592376709,0.046563175,TRAIN
2025-02-12,4505,0.009451866,0.03397927284240722,0.031514242,TRAIN
2025-02-13,4510,0.010628343,0.03675588965415954,0.03306836,TRAIN
2025-02-14,4510,0.0071073472,0.03314776420593261,0.032738697,TRAIN
2025-02-18,4507,0.008583307,0.03589689731597901,0.030212985,TRAIN
2025-02-19,4514,0.007186234,0.03433255553245545,0.03530776,TRAIN
2025-02-20,4495,0.008700192,0.03446496725082397,0.027447293,TRAIN
2025-02-21,4478,0.018536657,0.05530053377151491,0.033118937,TRAIN
2025-02-24,4468,0.008011699,0.03698307275772097,0.05251672,TRAIN
2025-02-25,4479,0.010166168,0.04256457090377809,0.03239938,TRAIN
2025-02-26,4479,0.007407427,0.03556246757507325,0.034301255,TRAIN
2025-02-27,4465,0.013058901,0.04985690116882323,0.035260428,TRAIN
2025-02-28,4476,0.011852026,0.03478431701660156,0.036752973,TRAIN
2025-03-03,4476,0.017611653,0.061469316482543945,0.03816506,TRAIN
2025-03-04,4463,0.01374656,0.03984109163284302,0.02866834,TRAIN
2025-03-05,4477,0.012891889,0.0440253496170044,0.033067666,TRAIN
2025-03-06,4463,0.014375925,0.05153226852416992,0.033653036,TRAIN
2025-03-07,4471,0.009987235,0.03730440139770508,0.025419228,TRAIN
2025-03-10,4453,0.022806585,0.06917915344238283,0.042552304,TRAIN
2025-03-11,4475,0.011864424,0.04484245777130126,0.035905894,TRAIN
2025-03-12,4487,0.009523869,0.038595759868621834,0.027152851,TRAIN
2025-03-13,4485,0.0135759115,0.04416666030883789,0.052772835,TRAIN
2025-03-14,4488,0.020441294,0.04919184446334839,0.03492568,TRAIN
2025-03-17,4503,0.011673212,0.03577616214752198,0.02901299,TRAIN
2025-03-18,4509,0.008515477,0.033289122581481936,0.028166153,TRAIN
2025-03-19,4515,0.010607362,0.03773248195648193,0.026208675,TRAIN
2025-03-20,4519,0.0061751604,0.024561524391174316,0.022493629,TRAIN
2025-03-21,4520,0.007043481,0.02675032019615172,0.023394974,TRAIN
2025-03-24,4535,0.016971707,0.047086572647094725,0.04870998,TRAIN
2025-03-25,4516,0.0066401362,0.027191519737243652,0.023506021,TRAIN
2025-03-26,4504,0.009419292,0.034935694932937626,0.027166033,TRAIN
2025-03-27,4503,0.0069929957,0.02995314598083497,0.023708826,TRAIN
2025-03-28,4492,0.01767701,0.04416863322257996,0.025714234,TRAIN
2025-03-31,4479,0.007766962,0.029160857200622562,0.031134343,TRAIN
2025-04-01,4503,0.006629348,0.030299329757690435,0.027121712,TRAIN
2025-04-02,4491,0.009233952,0.035434842109680176,0.023773722,TRAIN
2025-04-03,4442,0.046922952,0.11484925746917728,0.053811233,TRAIN
2025-04-04,4434,0.051701635,0.09635669589042664,0.046897694,TRAIN
2025-04-07,4477,0.01657343,0.04855718612670899,0.033180006,TRAIN
2025-04-08,4506,0.017944902,0.059122949838638306,0.04570788,TRAIN
2025-04-09,4584,0.07751173,0.15401965379714957,0.071720295,TRAIN
2025-04-10,4606,0.033552498,0.07894971966743469,0.041743055,TRAIN
2025-04-11,4634,0.01572287,0.045419931411743164,0.030661704,TRAIN
2025-04-14,4654,0.011392951,0.03276337385177612,0.024353608,TRAIN
