unit,split,n_units,obs,lo,hi,p_below_0,p_below_2,p_below_5,sd
week,TRAIN,53,2.436944081343484,0.8618657814105892,4.00818887264221,0.001,0.2895,0.9996,0.7993311274112522
week,VAL,22,5.967360217282948,3.0000299414873726,8.895307735100308,0.0,0.0044,0.2633,1.5150368170394548
week,TEST,14,6.797921991455705,2.9170480403009913,10.49493653592147,0.0002,0.0079,0.1799,1.9365303302039183
week,POOLED,89,3.9956277412562846,2.5307836012352016,5.41781851288278,0.0,0.004,0.9147,0.7394631490781362
day,TRAIN,249,2.4369440813434844,0.7914236878249398,4.087888119226106,0.002,0.3004,0.999,0.845931245224425
day,VAL,102,5.967360217282947,3.1067315547122525,8.809147748520214,0.0,0.0036,0.251,1.461270984549355
day,TEST,68,6.797921991455702,2.9895036045050634,10.518357270748522,0.0001,0.006,0.1787,1.9274414730650768
day,POOLED,419,3.995627741256285,2.5553926020244533,5.409968856707341,0.0,0.0027,0.9182,0.7281698898564598
