split,wk,n_days,R,n_tr,spy_rv20,spy_absret,xs_std,xs_mad,n_cand
TEST,2026-05-30/2026-06-05,5,0.9271803858223566,20,0.10234218084864928,0.00813725,0.04379310631899443,0.026045456720416534,119.4
TEST,2026-06-06/2026-06-12,5,18.56713582423023,20,0.13986538516411748,0.008674097,0.036754061449663825,0.02205272357492962,69.8
TEST,2026-06-13/2026-06-19,4,7.240890719925327,16,0.1603669083449491,0.0109710395,0.037357608960620604,0.021656757591669924,46.25
TEST,2026-06-20/2026-06-26,5,12.39162712959654,20,0.16691729690315013,0.0053619025,0.03999585715660279,0.022413850925261113,116.0
TEST,2026-06-27/2026-07-03,4,-2.261180680644344,16,0.18007169816939547,0.0067320317,0.040847930134129094,0.02257882942731742,79.25
TEST,2026-07-04/2026-07-10,5,-6.433876365277815,20,0.15996221056744814,0.00586884,0.03194176496206578,0.01877221413442142,73.6
TEST,2026-07-11/2026-07-17,5,5.464799023947493,20,0.12858394561924522,0.0060972334,0.034405328036474433,0.019772173351581133,131.0
TEST,2026-07-18/2026-07-24,5,6.532153655843442,20,0.1152975993710625,0.00489676,0.03472391380707313,0.01901950246011314,59.6
TEST,2026-07-25/2026-07-31,5,3.157741901306271,20,0.11362630827252736,0.008392895,0.04304338676644286,0.02429182728434511,64.0
TEST,2026-08-01/2026-08-07,5,23.405363478488532,20,0.14207644082315501,0.00839634,0.04224124869456033,0.023013782746069376,134.2
TEST,2026-08-08/2026-08-14,5,7.58004612739676,20,0.1389508789546654,0.0029909133,0.033745092088651577,0.017006290887629207,59.2
TEST,2026-08-15/2026-08-21,5,5.608049545848544,20,0.1342836790890769,0.005214429,0.03482047721143222,0.019402634067966426,46.2
TEST,2026-08-22/2026-08-28,5,4.732927211142098,20,0.11848350620670245,0.0030357123,0.03138589313555974,0.016227889923785536,50.6
TEST,2026-08-29/2026-09-04,5,8.258049922754438,20,0.0806649446604764,0.0057238815,0.029117661490321516,0.01623609985217685,43.8
TRAIN,2025-01-11/2025-01-17,5,-4.720917777410268,20,0.12807751568068904,0.010039926,0.024816506420113002,0.013114207815606814,10.0
TRAIN,2025-01-18/2025-01-24,4,10.280722510102542,16,0.12807751568068904,0.005788073,0.0260622773283168,0.014445378676838254,27.0
TRAIN,2025-01-25/2025-01-31,5,5.307968348841595,20,0.12807751568068904,0.0075819492,0.03064235022662093,0.016860623905467595,32.6
TRAIN,2025-02-01/2025-02-07,5,4.15840268533497,20,0.13569575681423177,0.006024313,0.028415538856338296,0.01596624549206142,55.0
TRAIN,2025-02-08/2025-02-14,5,14.109788371425502,20,0.11753269952877594,0.0042760014,0.03049209804030866,0.015816280270212448,39.0
TRAIN,2025-02-15/2025-02-21,4,-1.2667542890758048,16,0.10726856838645732,0.006638795,0.0308130950035995,0.017906383127410955,28.0
TRAIN,2025-02-22/2025-02-28,5,-6.053923038303681,20,0.1149706883844736,0.008319175,0.031938762333699425,0.017810543246806,53.2
TRAIN,2025-03-01/2025-03-07,5,7.741660049015887,20,0.15018272915252134,0.012692141,0.031009789758530977,0.02087067448241876,86.4
TRAIN,2025-03-08/2025-03-14,5,-5.527890232101378,20,0.1820874867493646,0.014848244,0.03280948889567174,0.022571617677926602,27.8
TRAIN,2025-03-15/2025-03-21,5,2.559441327245108,20,0.201780517668999,0.0069945455,0.02486068923030643,0.014261865568493714,38.8
TRAIN,2025-03-22/2025-03-28,5,-1.747327506303601,20,0.2118718116251795,0.011008918,0.025945527619573795,0.016947562138203483,23.0
TRAIN,2025-03-29/2025-04-04,5,-5.253146595365838,20,0.23673247390227026,0.024737895,0.035656595071465416,0.030283507377896486,108.2
TRAIN,2025-04-05/2025-04-11,5,-8.957356482824265,20,0.4347995030984399,0.036825012,0.04150050403164035,0.039179028284519794,643.2
TRAIN,2025-04-12/2025-04-18,4,7.433571734332592,16,0.5234815087447252,0.009039313,0.023645130899270166,0.014759559757375312,29.5
TRAIN,2025-04-19/2025-04-25,5,7.567560635878521,20,0.5388381664007214,0.018718015,0.02793062995402673,0.020680517987269446,28.8
TRAIN,2025-04-26/2025-05-02,5,2.627331547741469,20,0.534536820089658,0.0058017494,0.026586123699368646,0.01450369890586407,34.0
TRAIN,2025-05-03/2025-05-09,5,2.6997871285782895,20,0.3669888725954261,0.00530802,0.03358148994389289,0.016562606175216037,43.6
TRAIN,2025-05-10/2025-05-16,5,10.132003516410503,20,0.21186984115657626,0.010429573,0.03211157397705135,0.019463211439348174,28.0
TRAIN,2025-05-17/2025-05-23,5,4.1869770711064,20,0.1590318802900195,0.0057054637,0.027726673452061323,0.014479898074317533,51.4
TRAIN,2025-05-24/2025-05-30,4,-1.7523936063863645,16,0.1728043341209502,0.00791046,0.027423153106820284,0.015550292353848352,24.75
TRAIN,2025-05-31/2025-06-06,5,4.0631133629365515,20,0.16434748876712352,0.0053411843,0.02992080466905226,0.015323812084167481,21.0
TRAIN,2025-06-07/2025-06-13,5,-4.075471018725356,20,0.1308472923941666,0.004915488,0.027841018045557407,0.01508634248503746,37.8
TRAIN,2025-06-14/2025-06-20,4,-7.222429056827949,16,0.1294723085525952,0.0058747977,0.029784013913693636,0.01486971633130769,23.25
TRAIN,2025-06-21/2025-06-27,5,0.20326759985670662,20,0.11087049276976324,0.006855416,0.029468815016514077,0.0164436139111324,31.6
TRAIN,2025-06-28/2025-07-04,4,17.29229384652471,16,0.1017741448546006,0.0043798983,0.029166817085849915,0.016079426149344288,30.0
TRAIN,2025-07-05/2025-07-11,5,4.732752020791242,20,0.10278246575968705,0.00406642,0.028991911179309948,0.015598635657104277,30.2
TRAIN,2025-07-12/2025-07-18,5,6.006447855088527,20,0.08924427447684524,0.0032753348,0.028810118843047017,0.015255534002852336,25.6
TRAIN,2025-07-19/2025-07-25,5,4.995965092131539,20,0.07011083083478865,0.0030204058,0.028319117359480055,0.015704296244276984,33.0
TRAIN,2025-07-26/2025-08-01,5,5.514109896895008,20,0.07034733897362844,0.0048579336,0.03091698529565099,0.01752004615772261,46.4
TRAIN,2025-08-02/2025-08-08,5,-10.511680863023996,20,0.10118584340830358,0.007312906,0.03626966942916092,0.018435240672905022,33.6
TRAIN,2025-08-09/2025-08-15,5,19.607827033362756,20,0.10661347051220178,0.0036961674,0.030396161232812115,0.017662046542475655,41.0
TRAIN,2025-08-16/2025-08-22,5,-6.128807082273531,20,0.11014736758624961,0.005533695,0.025898925498778202,0.016313488728693572,36.4
TRAIN,2025-08-23/2025-08-29,5,6.125810165978384,20,0.1175698019002815,0.004074335,0.024800938808556695,0.012687210790418462,20.6
TRAIN,2025-08-30/2025-09-05,4,3.044784901907829,16,0.09622399003997856,0.006020844,0.027981776174170782,0.015326603406744431,37.75
TRAIN,2025-09-06/2025-09-12,5,12.376528624698159,20,0.09095372684047455,0.003260815,0.03361478879835559,0.016703535937015217,22.0
TRAIN,2025-09-13/2025-09-19,5,5.284796096277228,20,0.08846924787515457,0.0029580235,0.028501681349300024,0.015251681421687337,22.4
TRAIN,2025-09-20/2025-09-26,5,-0.01149596677679332,20,0.07300381953221416,0.0047397614,0.029467517751492443,0.01519963660143116,51.4
TRAIN,2025-09-27/2025-10-03,5,2.597037195248691,20,0.06311270009315119,0.0022302747,0.031801174695090056,0.015411066211240235,29.0
TRAIN,2025-10-04/2025-10-10,5,4.5565316585581215,20,0.0707160869164628,0.008636331,0.03324001916190692,0.020398033620230096,23.4
TRAIN,2025-10-11/2025-10-17,5,2.2271634961143025,20,0.1283573884749408,0.006698358,0.03733941751683753,0.02068555101208589,83.6
TRAIN,2025-10-18/2025-10-24,5,-3.678835661121653,20,0.1342349015179663,0.00594337,0.0342639057814267,0.018620837897814255,39.0
TRAIN,2025-10-25/2025-10-31,5,4.130777762952424,20,0.14295210553864954,0.0058424473,0.03422578734914219,0.018419215297372966,54.2
TRAIN,2025-11-01/2025-11-07,5,-0.9250428020806511,20,0.14570102123282017,0.0057819486,0.039019584119779974,0.021697204656130658,91.6
TRAIN,2025-11-08/2025-11-14,5,0.44242125334313076,20,0.12482042689727335,0.00704155,0.032947253754861724,0.018313702839059413,112.2
TRAIN,2025-11-15/2025-11-21,5,-4.453286740545604,20,0.13648752635454625,0.009356117,0.03249564837262296,0.019711850276665138,71.6
TRAIN,2025-11-22/2025-11-28,4,6.5789400863348115,16,0.15039007295130002,0.009121597,0.028728970028614718,0.017296540840519483,34.0
TRAIN,2025-11-29/2025-12-05,5,-3.251670496419428,20,0.14519151555783466,0.0025022267,0.03479260218415855,0.016805102205125454,41.2
TRAIN,2025-12-06/2025-12-12,5,-5.893285088564436,20,0.12872946142694658,0.004715705,0.033729108563431344,0.016995728352737834,47.0
TRAIN,2025-12-13/2025-12-19,5,8.365183891377136,20,0.11598915164264142,0.0057777166,0.03119830775882785,0.016568282684515656,30.4
TRAIN,2025-12-20/2025-12-26,4,6.7327873200518535,16,0.09084945632661943,0.0036048442,0.023672333023041964,0.010993324814412713,27.0
TRAIN,2025-12-27/2026-01-02,3,0.0755300354709485,12,0.08398979985240398,0.0035067052,0.025264838150216785,0.013338338497228236,32.5
VAL,2025-12-27/2026-01-02,1,-3.351031194639004,4,0.08398979985240398,0.0035067052,0.025264838150216785,0.013338338497228236,32.5
VAL,2026-01-03/2026-01-09,5,-3.2335606513278687,20,0.09025871679500237,0.0045091272,0.032293650585439884,0.019031282355856792,43.8
VAL,2026-01-10/2026-01-16,5,4.7768299818894375,20,0.08134667369456118,0.0024092316,0.029412225936596516,0.015758472944175185,43.8
VAL,2026-01-17/2026-01-23,4,6.546055183353171,16,0.10479503350112698,0.009370983,0.03221041722803073,0.01981942346977817,72.25
VAL,2026-01-24/2026-01-30,5,7.455440691261595,20,0.10536950872296438,0.0028259873,0.03281207099029533,0.017700673560750814,42.0
VAL,2026-01-31/2026-02-06,5,-2.8470706298874298,20,0.11265012683073361,0.009988916,0.04453622791054108,0.026918155532543342,66.4
VAL,2026-02-07/2026-02-13,5,13.691150264952768,20,0.13700993833029662,0.0047686817,0.03415799859009496,0.019693912341515712,61.6
VAL,2026-02-14/2026-02-20,4,11.153642725286666,16,0.12533637815158755,0.0041300952,0.02891606872278207,0.015564102064785722,88.0
VAL,2026-02-21/2026-02-27,5,7.221926641547123,20,0.1275306585128328,0.0072548864,0.03695905313006408,0.020505840263285814,74.4
VAL,2026-02-28/2026-03-06,5,4.9625745949041935,20,0.13191800515245064,0.0070241927,0.03478707788628581,0.021225278747755632,174.4
VAL,2026-03-07/2026-03-13,5,-7.523124443214508,20,0.11748086476497661,0.0064934613,0.030887634944574544,0.01760888847855415,71.6
VAL,2026-03-14/2026-03-20,5,9.368074420145572,20,0.12766922564956143,0.009249163,0.030312952581855002,0.018595144443400265,57.0
VAL,2026-03-21/2026-03-27,5,-7.176337203065835,20,0.1410265738265071,0.0108680725,0.03371728856346566,0.021245214206379783,49.2
VAL,2026-03-28/2026-04-03,4,5.546320855788949,16,0.1802885209533854,0.010211587,0.03419740369941961,0.02145981892918019,164.75
VAL,2026-04-04/2026-04-10,5,4.923854390648833,20,0.19653630032526945,0.0074134707,0.029300404790411662,0.017671511999416023,41.0
VAL,2026-04-11/2026-04-17,5,16.247937898747395,20,0.19803365815934704,0.008878231,0.0343556062528647,0.019225949683313925,39.4
VAL,2026-04-18/2026-04-24,5,0.7744136570352644,20,0.1787190025809441,0.0060606836,0.034092159516460344,0.018263900324111428,41.4
VAL,2026-04-25/2026-05-01,5,25.149389464264743,20,0.1294320815136511,0.0038924217,0.035343215906206156,0.019147800242373683,51.6
VAL,2026-05-02/2026-05-08,5,6.25411373114337,20,0.11122146625783799,0.007381439,0.043968662503246304,0.023552987547951824,68.6
VAL,2026-05-09/2026-05-15,5,8.598091416135626,20,0.10122289286717598,0.0058622,0.03761986672816559,0.02127004124131194,107.0
VAL,2026-05-16/2026-05-22,5,12.929864266105149,20,0.1057636244079005,0.004705584,0.0342818439987538,0.019327701359380275,87.6
VAL,2026-05-23/2026-05-29,4,9.813368719149642,16,0.10100422765723047,0.0037049353,0.03750552587057294,0.019231781061564934,72.5
