key,exit,slots,TRAIN_n,VAL_n,TEST_n,TRAIN_meanR,VAL_meanR,TEST_meanR,TRAIN_t,VAL_t,TEST_t,min_t,all_pos
F6 {},e4,4,996.0,408.0,272.0,0.28333399748166976,0.6746317130002398,0.5747268185219315,2.86048385979352,3.9461236965299835,3.231124852995616,2.86048385979352,True
F6 {},e1c,4,996.0,408.0,272.0,0.12352847630827005,0.31977041573941023,0.3526638464167439,2.776060456830273,4.289761598204397,3.8688487745537627,2.776060456830273,True
F6 {},e4,20,4756.0,2016.0,1356.0,0.07851794484236618,0.24607057247400532,0.2677075183721804,2.645504616134996,4.923948010322547,3.648305575530736,2.645504616134996,True
"F5 {""K"": 3, ""X"": 0.04}",e4,20,5000.0,2040.0,1360.0,0.1211063143168908,0.1346854831257707,0.17226425799210543,3.0813188283751267,2.58539003436927,2.721367752565609,2.58539003436927,True
F6 {},e1c,20,4756.0,2016.0,1356.0,0.03327394066887351,0.15121246006273528,0.18185816411756614,1.9617338019087254,5.248436767035544,4.813699441990348,1.9617338019087254,True
"F5 {""K"": 5, ""X"": 0.04}",e4,20,5000.0,2040.0,1360.0,0.08099365257820741,0.17890715595047316,0.08678457023705594,2.3427783957119006,3.591793367830182,1.7436095816035375,1.7436095816035375,True
"F5 {""K"": 5, ""X"": 0.06}",e4,20,5000.0,2040.0,1360.0,0.09623610866186486,0.1818892429245432,0.055506909281110184,3.099780981237712,3.9875731386092554,1.234036007214906,1.234036007214906,True
"F5 {""K"": 8, ""X"": 0.06}",e4,20,5000.0,2040.0,1360.0,0.07207262736074616,0.040629273126159646,0.05359919199075554,2.8289993558008963,1.2226658038790919,1.5053020213678108,1.2226658038790919,True
"F5 {""K"": 8, ""X"": 0.04}",e1c,4,1000.0,408.0,272.0,0.0448059313902023,0.06664295910265142,0.11027040801639071,1.1237022692887986,1.0898469082050093,1.4605689041040912,1.0898469082050093,True
"F5 {""K"": 5, ""X"": 0.06}",e1c,20,5000.0,2040.0,1360.0,0.019496293060396328,0.08326374712837345,0.0870794334904355,1.0643440249600167,2.954182906743521,2.493581418522619,1.0643440249600167,True
"F5 {""K"": 3, ""X"": 0.02}",e4,20,4999.0,2040.0,1360.0,0.1382139955921757,0.16634951152575472,0.0690928658557485,2.980456152486672,2.6251057903655344,0.9936623902215478,0.9936623902215478,True
"F5 {""K"": 3, ""X"": 0.06}",e4,20,5000.0,2040.0,1360.0,0.11968973760195473,0.10146481174243878,0.05178118516456635,3.290290175792577,2.362844469420501,0.9243658858039536,0.9243658858039536,True
"F5 {""K"": 8, ""X"": 0.04}",e4,4,1000.0,408.0,272.0,0.09374924002252973,0.059072993097710434,0.14802465225229722,1.3841936918294888,0.8457252928178282,1.4981161651879753,0.8457252928178282,True
"F5 {""K"": 3, ""X"": 0.02}",e4,4,1000.0,408.0,272.0,0.31693334933657835,0.11301162701059742,0.5146542672992718,2.9644613471921955,0.7736044746449241,2.7708219139900714,0.7736044746449241,True
"F5 {""K"": 5, ""X"": 0.04}",e4,4,1000.0,408.0,272.0,0.05483815605457092,0.06267348911970862,0.18404338035066833,0.8654631618621849,0.7729483944793071,1.6456317756445316,0.7729483944793071,True
"F5 {""K"": 5, ""X"": 0.04}",e1c,4,1000.0,408.0,272.0,0.022516044177999496,0.049688069813955946,0.1501263277255689,0.5478622365800978,0.7748483022730493,1.829597046710549,0.5478622365800978,True
"F5 {""K"": 8, ""X"": 0.06}",e1c,20,5000.0,2040.0,1360.0,0.025018244565696665,0.014108126997636175,0.06146273504888777,1.434146490818079,0.5362658119732038,1.9182483467258293,0.5362658119732038,True
F7 {},e1c,4,999.0,408.0,272.0,0.021764490476925375,0.04646460501549706,0.3504876227959423,0.520248124551491,0.6187434644787047,4.063483942484197,0.520248124551491,True
