day,symbol,split,wk,as_is,r_pct,why,price,cap60,cap60_fill,cap100,cap100_fill
2025-01-03,SPRY,TRAIN,2024-12-28/2025-01-03,2.0,1.974748,target,10.74213,0.0,0,2.0,1
2025-01-03,FGF,TRAIN,2024-12-28/2025-01-03,2.0,1.0935322,target,25.1753,0.0,0,0.0,0
2025-01-03,BMBL,TRAIN,2024-12-28/2025-01-03,0.1615592637290998,5.428007,eod,7.99391,0.11995555705534722,1,0.11995555705534722,1
2025-01-03,MPLN,TRAIN,2024-12-28/2025-01-03,1.5527972319840369,5.380384,eod,12.98885,0.0,0,0.0,0
2025-01-06,SOUNW,TRAIN,2025-01-04/2025-01-10,2.0,3.7609394,target,11.55456,2.0,1,2.0,1
2025-01-06,SPCB,TRAIN,2025-01-04/2025-01-10,-1.2304615881413847,1.2961117,stop,9.027,0.0,0,0.0,0
2025-01-06,STFS,TRAIN,2025-01-04/2025-01-10,-1.1541555208441632,1.9335437,stop,9.17745,0.0,0,0.0,0
2025-01-06,CTNM,TRAIN,2025-01-04/2025-01-10,-1.2661232795834123,1.123077,stop,14.56356,0.0,0,0.0,0
2025-01-07,CGTL,TRAIN,2025-01-04/2025-01-10,2.0,2.2540224,target,5.62683,0.0,0,0.0,0
2025-01-07,SMCX,TRAIN,2025-01-04/2025-01-10,-1.0497750601430944,5.908409,stop,55.2653,-1.0523225813490698,1,-1.0523225813490698,1
2025-01-07,ZSPC,TRAIN,2025-01-04/2025-01-10,2.0,3.7370646,target,10.18045,0.0,0,0.0,0
2025-01-07,DNLI,TRAIN,2025-01-04/2025-01-10,1.0599608746270062,5.9833617,eod,19.87946,1.0590252138157021,1,1.0590252138157021,1
2025-01-08,ALUR,TRAIN,2025-01-04/2025-01-10,-1.1753103354918617,1.701545,stop,7.84346,-1.1947499976232674,1,-1.1947499976232674,1
2025-01-08,GRRR,TRAIN,2025-01-04/2025-01-10,-0.1518227083859646,5.9946194,eod,17.03094,0.0,0,-0.23387609931451925,1
2025-01-08,NVAWW,TRAIN,2025-01-04/2025-01-10,-1.6202729535211255,5.519045,stop,9.57865,-1.6556999871103735,1,-1.6556999871103735,1
2025-01-08,OCSAW,TRAIN,2025-01-04/2025-01-10,2.0,1.8329626,target,6.5195,0.0,0,0.0,0
2025-01-10,CRNC,TRAIN,2025-01-04/2025-01-10,-1.0977333029085252,3.0384884,stop,15.69695,0.0,0,0.0,0
2025-01-10,DOGZ,TRAIN,2025-01-04/2025-01-10,-0.0699835316998904,8.144729,eod,42.31657,0.0,0,0.0,0
2025-01-10,TECX,TRAIN,2025-01-04/2025-01-10,-1.1282125961989111,2.321756,stop,44.00161,-1.1171249978619793,1,-1.1171249978619793,1
2025-01-10,BDMD,TRAIN,2025-01-04/2025-01-10,2.0,5.4796395,target,7.67295,2.0,1,2.0,1
2025-01-13,ENGN,TRAIN,2025-01-11/2025-01-17,-1.4155888004663073,2.9193628,stop,7.63283,-1.394170215096061,1,-1.394170215096061,1
2025-01-13,MSW,TRAIN,2025-01-11/2025-01-17,2.0,2.3790936,target,7.21157,0.0,0,0.0,0
2025-01-13,PDYN,TRAIN,2025-01-11/2025-01-17,2.0,2.6240892,target,7.31187,0.0,0,0.0,0
2025-01-13,WGS,TRAIN,2025-01-11/2025-01-17,-1.073953744053547,4.00247,stop,89.64814,0.0,0,0.0,0
2025-01-14,SDA,TRAIN,2025-01-11/2025-01-17,-1.11917040341022,3.3387642,stop,9.86952,0.0,0,0.0,0
2025-01-14,ALTS,TRAIN,2025-01-11/2025-01-17,2.0,4.8548555,target,5.70707,0.0,0,0.0,0
2025-01-14,HIT,TRAIN,2025-01-11/2025-01-17,0.5801489266772113,4.5299525,eod,5.43626,0.0,0,0.0,0
2025-01-14,WKEY,TRAIN,2025-01-11/2025-01-17,-1.0344136049929953,8.471308,stop,7.95379,0.0,0,0.0,0
2025-01-15,APLD,TRAIN,2025-01-11/2025-01-17,-1.0553998412083507,5.3191714,stop,8.56562,0.0,0,-0.5480582425592841,1
2025-01-15,CORZW,TRAIN,2025-01-11/2025-01-17,1.495167613952874,4.61783,eod,8.10424,0.0,0,0.0,0
2025-01-15,CVGW,TRAIN,2025-01-11/2025-01-17,-1.0412050333255425,7.1081457,stop,24.23248,-1.0429272731233268,1,-1.0429272731233268,1
2025-01-15,DOGZ,TRAIN,2025-01-11/2025-01-17,0.0441262940076444,5.6852694,eod,44.00161,0.028314959862550018,1,0.028314959862550018,1
2025-01-16,JUNS,TRAIN,2025-01-11/2025-01-17,-1.1965666623608622,8.053617,stop,5.4162,0.0,0,-1.1825744581363828,1
