day,symbol,split,wk,entry_m,r_pct,price,slip_bps,A_net,A_why,A_xm,B_net,B_why,B_xm,C_net,C_why,C_xm,C_fill
2025-01-03,ABLLL,TRAIN,2024-12-28/2025-01-03,685,5.448129,30.4912,36.18421052631548,-0.10364941570246333,eod,952,-0.1137023870674049,eod,952,-0.1137023870674049,eod,952,1
2025-01-03,AISP,TRAIN,2024-12-28/2025-01-03,601,9.317274,5.98791,-150.75376884422286,-1.0311982588469548,stop,618,-1.0311982588469548,stop,618,-1.0321666677984238,stop,618,1
2025-01-03,AKA,TRAIN,2024-12-28/2025-01-03,784,3.5326452,18.5555,329.7297297297286,0.5757269435011859,eod,941,-0.14728925862241232,eod,941,,nofill,955,0
2025-01-03,APLM,TRAIN,2024-12-28/2025-01-03,606,3.6224658,10.8324,370.3703703703698,1.5186932270530873,eod,881,0.29947368999541263,eod,881,,nofill,955,0
2025-01-03,ARKR,TRAIN,2024-12-28/2025-01-03,589,2.3306258,12.79828,971.7868338557989,2.0,target,592,0.3833333293374055,eod,811,,nofill,955,0
2025-01-03,BDMD,TRAIN,2024-12-28/2025-01-03,571,4.5831256,5.13536,410.1562499999978,-1.064457512227026,stop,573,-1.0361860466143509,stop,573,,nofill,955,0
2025-01-03,BMBL,TRAIN,2024-12-28/2025-01-03,574,5.428007,7.99391,50.18820577164185,0.16155926553658914,eod,955,0.11995555705534722,eod,955,0.11995555705534722,eod,955,1
2025-01-03,BTCT,TRAIN,2024-12-28/2025-01-03,743,7.899463,5.45632,-73.52941176470563,-0.22558731523048478,eod,955,-0.22558731523048478,eod,955,-0.1950325632653816,eod,955,1
2025-01-03,CCEL,TRAIN,2024-12-28/2025-01-03,584,1.8564223,7.3973255,448.1235819621565,2.0,target,622,-0.23807802590983426,eod,945,,nofill,955,0
2025-01-03,CGTL,TRAIN,2024-12-28/2025-01-03,589,6.4864645,7.11127,-197.46121297602338,-1.0993941412803518,stop,721,-1.0993941412803518,stop,721,-1.1041022625666452,stop,721,1
2025-01-03,CTNM,TRAIN,2024-12-28/2025-01-03,584,5.532023,14.52344,82.8729281767937,-0.06532768757975077,eod,955,-0.14681817494588978,eod,955,,nofill,955,0
2025-01-03,DQ,TRAIN,2024-12-28/2025-01-03,591,4.2497015,20.30072,86.46245059288349,0.6823518156480985,eod,955,0.4853326498045848,eod,955,,nofill,955,0
