day,ret_cc,ret_id,spy_absret,spy_rv20,xs_std,xs_mad,n_liq,n_cand,split
2025-01-17,0.010039926,0.0010385513,0.010039926,0.12807751568068904,0.024816506420113002,0.013114207815606814,4495.0,10,TRAIN
2025-01-21,0.009153485,0.0039622784,0.009153485,0.12807751568068904,0.0331831035828643,0.02013218346406269,4520.0,19,TRAIN
2025-01-22,0.0056214333,0.0008581877,0.0056214333,0.12807751568068904,0.024109280202899888,0.014223470642366922,4522.0,21,TRAIN
2025-01-23,0.0054581165,0.0065202713,0.0054581165,0.12807751568068904,0.024523905838321206,0.012068043082002027,4523.0,55,TRAIN
2025-01-24,-0.0029192567,-0.003017366,0.0029192567,0.12807751568068904,0.0224328196891818,0.011357817518921377,4528.0,13,TRAIN
2025-01-27,-0.014145374,0.0076663494,0.014145374,0.12807751568068904,0.046971933542994566,0.025304694772262815,4505.0,76,TRAIN
2025-01-28,0.008592367,0.00649333,0.008592367,0.12807751568068904,0.03108140779416326,0.01594838324945803,4512.0,20,TRAIN
2025-01-29,-0.004482925,-0.0031636953,0.004482925,0.12807751568068904,0.02325425422127155,0.011907647479252164,4519.0,22,TRAIN
2025-01-30,0.00536716,0.0017881393,0.00536716,0.12807751568068904,0.028881017922607364,0.01708788241883106,4524.0,24,TRAIN
2025-01-31,-0.00532192,-0.009349763,0.00532192,0.12807751568068904,0.023023137652067906,0.014054511607533906,4529.0,21,TRAIN
2025-02-03,-0.006729543,0.008605242,0.006729543,0.1417957464615678,0.028317365956916123,0.016780974289059322,4523.0,193,TRAIN
2025-02-04,0.0067082644,0.006607294,0.0067082644,0.13705383751184316,0.02604058092742175,0.016467486813091566,4539.0,17,TRAIN
2025-02-05,0.0040545464,0.005960226,0.0040545464,0.13637676824125936,0.029801776460963988,0.015648697477756792,4554.0,27,TRAIN
2025-02-06,0.003475666,0.00054454803,0.003475666,0.12890212081171432,0.029426106726956683,0.01503643154790932,4550.0,19,TRAIN
2025-02-07,-0.009153545,-0.010084212,0.009153545,0.1343503110447742,0.02849186420943293,0.015897637332490108,4537.0,19,TRAIN
2025-02-10,0.006791234,0.0013574362,0.006791234,0.12113106098782714,0.028156130402516903,0.015212868581151482,4536.0,25,TRAIN
2025-02-11,0.00076055527,0.0045804977,0.00076055527,0.12120973091923908,0.03065177178102862,0.015012323403679043,4518.0,35,TRAIN
2025-02-12,-0.0032215118,0.0069425106,0.0032215118,0.12263684088910906,0.030332303551196333,0.016148415020357954,4505.0,75,TRAIN
2025-02-13,0.010557532,0.008685112,0.010557532,0.11161830107368309,0.032039709862397944,0.01786126718036558,4511.0,29,TRAIN
2025-02-14,-4.9173832e-05,-0.00039345026,4.9173832e-05,0.11106756377402136,0.031280574604403505,0.01484652716550819,4510.0,31,TRAIN
2025-02-18,0.0029358864,0.000998497,0.0029358864,0.10662008959156516,0.03277615779987907,0.01614801127096006,4510.0,29,TRAIN
2025-02-19,0.0023548603,0.0046714544,0.0023548603,0.10252291599310086,0.028326083217871223,0.014397746155234066,4514.0,28,TRAIN
2025-02-20,-0.0041603446,-0.0018967986,0.0041603446,0.10234259559174248,0.027446045404423625,0.015309476498120752,4495.0,38,TRAIN
2025-02-21,-0.01710409,-0.01674968,0.01710409,0.11758867236942078,0.03470409359222409,0.02577029858532894,4480.0,17,TRAIN
2025-02-24,-0.0045503974,-0.007989764,0.0045503974,0.11812276453968411,0.029223071637714804,0.01575927144406745,4468.0,34,TRAIN
2025-02-25,-0.004973173,-0.004873216,0.004973173,0.10854534199070089,0.03238915099352876,0.018404242281327293,4479.0,41,TRAIN
2025-02-26,0.00050485134,-0.0023325086,0.00050485134,0.1033222483876732,0.03185171427713384,0.015608979252668784,4479.0,34,TRAIN
2025-02-27,-0.015961885,-0.019770443,0.015961885,0.11598957624432116,0.035235942279168236,0.021731600450291346,4465.0,34,TRAIN
2025-02-28,0.015605569,0.014720917,0.015605569,0.12887351075998865,0.030993932480951475,0.017548622805675138,4476.0,123,TRAIN
2025-03-03,-0.017519891,-0.02081579,0.017519891,0.14114672514443719,0.03467016879995718,0.02613538437828119,4477.0,32,TRAIN
2025-03-04,-0.011836886,-0.0049163103,0.011836886,0.14478178765338875,0.028148792942825327,0.018930341440741055,4463.0,237,TRAIN
2025-03-05,0.01074791,0.011045814,0.01074791,0.14856841901173037,0.032147367814914986,0.02067355440148611,4477.0,18,TRAIN
2025-03-06,-0.017751157,-0.0048133135,0.017751157,0.1575734007831961,0.033614816080090974,0.02249123286910784,4463.0,99,TRAIN
2025-03-07,0.005604863,0.008793116,0.005604863,0.15884331316985428,0.026467803154866413,0.016122859322477617,4472.0,46,TRAIN
