cell,grp,side,rung,gate,R,hz,TRAIN_n,TRAIN_trades_wk,TRAIN_mean,TRAIN_t,TRAIN_mde,TRAIN_sd,TRAIN_wks_green,TRAIN_wks_resolve,TRAIN_ex_top5,TRAIN_cap3R,TRAIN_gross,TRAIN_cost,TRAIN_sp_R,TRAIN_mean_w95,TRAIN_mean_med,TRAIN_tgt,TRAIN_stop,VAL_n,VAL_trades_wk,VAL_mean,VAL_t,VAL_mde,VAL_sd,VAL_wks_green,VAL_wks_resolve,VAL_ex_top5,VAL_cap3R,VAL_gross,VAL_cost,VAL_sp_R,VAL_mean_w95,VAL_mean_med,VAL_tgt,VAL_stop,G1,G2,B1_positive,B4_wks_to_resolve,B4_ok,borrow_share,eff_trades_wk,B3_bounded,BarB
0,A,short,b0,none,2.0,h5,768,14.77,-1.2214765637836922,-9.780653380892769,0.3496836300605258,3.4609703647997154,0.15384615384615385,,-1.4558060135236028,-1.270697660978372,-0.5184997025340145,0.7029768612496777,0.3337694492084855,-1.1596802608868215,-0.9391374731042105,0.39453125,0.5169270833333334,336,15.27,-0.5591937664470142,-3.1740736482326586,0.49329118337359745,3.2293488392340746,0.18181818181818182,,-0.8449354358562792,-0.6712333453516456,0.03907253620011104,0.5982663026471253,0.28387303758575366,-0.5276645652434929,-0.32887437239842243,0.4255952380952381,0.49702380952380953,False,False,False,,False,0.08072916666666667,1.1923697916666667,True,False
1,A,short,b0,none,2.0,eod,768,14.77,-1.2779200245535807,-10.492598917396426,0.34101904560723395,3.3752132190878705,0.1346153846153846,,-1.4532820011757885,-1.2779200245535807,-0.5759251119456372,0.7019949126079434,0.2652308851633218,-1.214198241712305,-0.9914545114285186,0.421875,0.5716145833333334,336,15.27,-0.6828462027192134,-4.18384711345891,0.45698834488077544,2.9916909744696265,0.18181818181818182,,-0.8258191978484507,-0.6828462027192134,-0.10797821768177618,0.5748679850374372,0.09202812975434485,-0.6513170015156919,-0.4526021996082525,0.4791666666666667,0.5178571428571429,False,False,False,,False,0.08072916666666667,1.1923697916666667,True,False
2,A,short,b0,none,6.0,h5,768,14.77,-0.22644603300027635,-4.0797698982041535,0.15541290519346973,1.5381888454112835,0.28846153846153844,,-0.364700900999726,-0.23266245886627454,0.03607143719715056,0.2625174701974269,0.2562694490206824,-0.21118937776856975,-0.14181776726163123,0.13932291666666666,0.3736979166666667,336,15.27,0.06660364691744611,0.8101169872988647,0.23020158112059186,1.5070231008337565,0.5909090909090909,33.52777724308166,-0.05955180976630931,0.06353410030692971,0.30535418772099404,0.23875054080354788,0.23559574180567378,0.07789909470886609,0.15186811959031704,0.1875,0.33630952380952384,False,False,False,33.52777724308166,False,0.08072916666666667,1.1923697916666667,True,False
3,A,short,b0,none,6.0,eod,768,14.77,-0.17917266930642461,-2.7961360910188815,0.17942026343760004,1.775800069607519,0.3269230769230769,,-0.2988196749292331,-0.1807806549783996,0.03632637413424185,0.21549904344066642,0.1280229442500734,-0.16873474100156774,-0.11341406724412038,0.359375,0.5703125,336,15.27,0.042273092380793985,0.44619403136998165,0.26527620350007736,1.7366404037280196,0.45454545454545453,110.52301590912857,-0.06205718169295695,0.04227309238079393,0.23539515966502375,0.19312206728422976,0.09956864854774022,0.050178197206181906,0.10765774281585852,0.40476190476190477,0.5267857142857143,False,False,False,110.52301590912857,False,0.08072916666666667,1.1923697916666667,True,False
4,A,short,b0,1.25,2.0,h5,245,5.0,-0.6011280778196908,-3.1777168816778705,0.5296754495656666,2.9609757781039803,0.42857142857142855,,-0.7872860363028591,-0.6312259609071972,-0.26456320348746076,0.3365648743322299,0.16730241584688094,-0.5839555796971927,-0.6656003102576779,0.4204081632653061,0.4857142857142857,117,6.16,-0.29612246575553064,-1.11874061133696,0.7411395418323214,2.8630892360896327,0.5263157894736842,,-0.4891301985969142,-0.33584147046373874,-0.044697238266985094,0.25142522748854557,0.06835269993165191,-0.29612246575553064,-0.3945659762230955,0.452991452991453,0.4700854700854701,False,False,False,,False,0.1510204081632653,0.7551020408163266,True,False
5,A,short,b0,1.25,2.0,eod,245,5.0,-0.6408073026708064,-3.424151434578521,0.5240014881815861,2.9292573697126985,0.42857142857142855,,-0.7887835739411535,-0.6408073026708065,-0.30887579591344033,0.33193150675736616,0.1489572989076519,-0.6236348045483086,-0.7045751761597694,0.4489795918367347,0.5428571428571428,117,6.16,-0.3267593269767294,-1.2599435435127995,0.7261643747814068,2.8052388082388697,0.47368421052631576,,-0.4525301014079043,-0.3267593269767293,-0.09666396233217435,0.23009536464455502,0.0,-0.3267593269767294,-0.41807696331967886,0.5128205128205128,0.47863247863247865,False,False,False,,False,0.1510204081632653,0.7551020408163266,True,False
6,A,short,b0,1.25,6.0,h5,245,5.0,-0.038673957247993655,-0.4388614042079384,0.24674550839078654,1.3793493247613589,0.5306122448979592,,-0.1600643157423563,-0.03867395724799382,0.10181772615035126,0.14049168339834497,0.1252850234282994,-0.032924842698082074,-0.07777904171659622,0.12244897959183673,0.3510204081632653,117,6.16,0.11277966683831209,0.8607545592491594,0.3668677252464779,1.4172432800239403,0.5789473684210527,25.635777057471106,0.0002730345512082405,0.11137014389046257,0.2395241175517081,0.12674445071339602,0.14245014245014287,0.11277966683831209,0.08437828065621539,0.17094017094017094,0.3162393162393162,False,False,False,25.635777057471106,False,0.1510204081632653,0.7551020408163266,True,False
7,A,short,b0,1.25,6.0,eod,245,5.0,-0.010713112828034232,-0.1013523447685395,0.29596469610051923,1.65449294855207,0.5102040816326531,,-0.12338238208132914,-0.010713112828034239,0.103574274442077,0.11428738727011126,0.052323695308658526,-0.004775102358221923,-0.044814104522906933,0.35918367346938773,0.5469387755102041,117,6.16,0.058735473348221004,0.3801986568997701,0.43256156325237727,1.6710245315371137,0.5263157894736842,131.3965592440629,-0.04619774430863198,0.05873547334822102,0.15305604437579437,0.09432057102757334,0.06090749734747719,0.058735473348221004,0.021796997968932474,0.38461538461538464,0.5299145299145299,False,False,False,131.3965592440629,False,0.1510204081632653,0.7551020408163266,True,False
8,B,long,d0,none,2.0,h5,673,12.7,-0.8555234232452366,-6.051661308637066,0.39583602963169806,3.6674552440933965,0.2830188679245283,,-1.2305687536824257,-1.038439321811264,-0.16429432243409994,0.6912291008111369,0.3644314868804665,-0.8130900205897191,-0.5912634044579993,0.3863298662704309,0.5274888558692422,293,13.32,-1.2617727974574031,-6.547126979782153,0.5396204844950606,3.2988624414372465,0.13636363636363635,,-1.5207156410892932,-1.3268223488833566,-0.5342952542813604,0.7274775431760427,0.47692990239574057,-1.1932194514206649,-0.9584471935535485,0.3447098976109215,0.5938566552901023,False,False,False,,False,,12.7,True,False
9,B,long,d0,none,2.0,eod,673,12.7,-1.0835462785775807,-8.813546421385007,0.3442348215986883,3.1893655634286597,0.22641509433962265,,-1.2476160336192672,-1.0835462785775807,-0.4067413936411239,0.6768048849364566,0.245627824719985,-1.041112875922063,-0.8204105482048898,0.424962852897474,0.5705794947994056,293,13.32,-1.3322569216405153,-7.213345788478942,0.5171413502110849,3.16144072759178,0.09090909090909091,,-1.512054956980831,-1.3322569216405151,-0.6117870388451889,0.7204698827953263,0.38924268604531,-1.2637035756037769,-1.0273405376225,0.3720136518771331,0.6245733788395904,False,False,False,,False,,12.7,True,False
