cell,grp,side,rung,gate,R,hz,TRAIN_n,TRAIN_trades_wk,TRAIN_mean,TRAIN_t,TRAIN_mde,TRAIN_sd,TRAIN_wks_green,TRAIN_wks_resolve,TRAIN_ex_top5,TRAIN_cap3R,TRAIN_gross,TRAIN_cost,TRAIN_sp_R,TRAIN_mean_w95,TRAIN_mean_med,TRAIN_tgt,TRAIN_stop,VAL_n,VAL_trades_wk,VAL_mean,VAL_t,VAL_mde,VAL_sd,VAL_wks_green,VAL_wks_resolve,VAL_ex_top5,VAL_cap3R,VAL_gross,VAL_cost,VAL_sp_R,VAL_mean_w95,VAL_mean_med,VAL_tgt,VAL_stop,G1,G2,B1_positive,B4_wks_to_resolve,B4_ok,borrow_share,eff_trades_wk,B3_bounded,BarB
10,B,long,d0,none,6.0,h5,673,12.7,-0.16313966994627568,-2.6015780524779086,0.17558230682892448,1.6267853448027534,0.37735849056603776,,-0.33762254681734727,-0.18914997703166103,0.08593226612123168,0.24907193606750735,0.2562694490206824,-0.15116288243437842,-0.08682989804189692,0.16790490341753342,0.37444279346210996,293,13.32,-0.2214592673748064,-2.3967736222021285,0.25871694468989104,1.5816145537905189,0.22727272727272727,,-0.3715623134224807,-0.23123186836908938,0.04474038508915251,0.26619965246395894,0.22598870056497092,-0.1983703649353095,-0.11460354855551828,0.17406143344709898,0.40273037542662116,False,False,False,,False,,12.7,True,False
11,B,long,d0,none,6.0,eod,673,12.7,-0.1882879783157288,-2.790810164281945,0.18890799024292895,1.7502489606926233,0.33962264150943394,,-0.3047227064264249,-0.18828797831572885,0.02592225748898285,0.21421023580471166,0.11123272555772044,-0.1771515493890159,-0.12520227363339279,0.3610698365527489,0.5988112927191679,293,13.32,-0.17248183453193697,-1.6581657821136675,0.2912550372821029,1.780529707407964,0.45454545454545453,,-0.28970207740236537,-0.172481834531937,0.06781356567991494,0.24029540021185192,0.11439029970258523,-0.14222743620988484,-0.07074125497323785,0.3583617747440273,0.5836177474402731,False,False,False,,False,,12.7,True,False
12,B,long,d0,1.25,2.0,h5,233,4.66,-0.9626294851231265,-4.549222951562162,0.5924885605835588,3.2299804881971705,0.28,,-1.2475381582831908,-1.0675239771399607,-0.4946666764251561,0.4679628086979704,0.26573129251700683,-0.9443363175108778,-0.9534027385331767,0.34763948497854075,0.5879828326180258,97,4.85,-1.5030837944108462,-5.294388287031038,0.7949236807318617,2.7961036767173115,0.1,,-1.6934687832375228,-1.5030837944108464,-1.0175174182924351,0.485566376118411,0.3580379520229155,-1.4971394981611201,-1.5077508670146744,0.24742268041237114,0.7010309278350515,False,False,False,,False,,4.66,True,False
13,B,long,d0,1.25,2.0,eod,233,4.66,-1.0966290876138125,-5.872105489605629,0.5229063835372095,2.8506498324885987,0.28,,-1.2647718435023456,-1.0966290876138127,-0.630701776185638,0.46592731142817456,0.24469820554648697,-1.0783359200015639,-1.0900878608016895,0.3605150214592275,0.630901287553648,97,4.85,-1.4991455854199673,-5.233164967635318,0.8021164372107801,2.821403832347245,0.1,,-1.6893165411493138,-1.4991455854199678,-1.0118158879402348,0.4873296974797324,0.33176452946168555,-1.4932012891702413,-1.501965542300698,0.25773195876288657,0.7319587628865979,False,False,False,,False,,4.66,True,False
14,B,long,d0,1.25,6.0,h5,233,4.66,-0.2457075074190475,-2.6452366249411177,0.2600829786970938,1.4178551323867106,0.36,,-0.3954599763587278,-0.2635049561170767,-0.08969639796379801,0.1560111094552495,0.1373626373626385,-0.24520080911370995,-0.26917410165754885,0.1459227467811159,0.4206008583690987,97,4.85,-0.32900406497064494,-2.2955448579138498,0.4013040210222623,1.4115665136918774,0.25,,-0.4721165027942717,-0.33437853873271123,-0.1813060591612003,0.1476980058094446,0.1192504258943795,-0.32666236799586773,-0.3472735439749756,0.13402061855670103,0.4020618556701031,False,False,False,,False,,4.66,True,False
15,B,long,d0,1.25,6.0,eod,233,4.66,-0.28794739609575565,-2.8305409902725946,0.2848404993387747,1.5528219721346492,0.36,,-0.4121798338928103,-0.28794739609575576,-0.15699916625356156,0.13094822984219417,0.08059316569955051,-0.28744069779041814,-0.32460158565084757,0.2875536480686695,0.6523605150214592,97,4.85,-0.24238627443681446,-1.4863751386658626,0.45660180311697757,1.6060736539081477,0.4,,-0.3642550936996847,-0.24238627443681435,-0.1139950149010504,0.128391259535764,0.0781079138938373,-0.24004457746203717,-0.26776374081566073,0.27835051546391754,0.6185567010309279,False,False,False,,False,,4.66,True,False
16,C,long,d10,none,2.0,h5,554,10.65,-1.355407308325222,-9.008820597164542,0.4212694017355738,3.541251463196049,0.1346153846153846,,-1.6810508801413904,-1.476954445766013,-0.5662036997927394,0.7892036085324827,0.5934115855239408,-1.3023310762385956,-1.0474465008878608,0.3104693140794224,0.6010830324909747,243,11.05,-1.5939974944699677,-7.667853815325649,0.5820654764694886,3.2405367168544537,0.045454545454545456,,-1.8278626886063234,-1.6189646846891126,-0.755016341376191,0.8389811530937771,0.5339435545385223,-1.4792106068121862,-1.2104927164322787,0.3004115226337449,0.6502057613168725,False,False,False,,False,,10.65,True,False
17,C,long,d10,none,2.0,eod,554,10.65,-1.512347993146196,-11.23159301533905,0.3770234885671308,3.1693139236959835,0.11538461538461539,,-1.6993170878383892,-1.5123479931461958,-0.734299661509034,0.778048331637162,0.48516498885190495,-1.4592717610595696,-1.209167181834475,0.34115523465703973,0.6588447653429603,243,11.05,-1.6091710831885373,-7.832762778967663,0.5752349662658546,3.2025091752727373,0.045454545454545456,,-1.813167709629629,-1.6091710831885375,-0.7718170621062229,0.8373540210823147,0.5130257231097539,-1.4943841955307557,-1.2217394856934474,0.32098765432098764,0.6790123456790124,False,False,False,,False,,10.65,True,False
18,C,long,d10,none,6.0,h5,554,10.65,-0.31174735964929035,-4.687734420690068,0.18620777729330426,1.5652894824113082,0.25,,-0.4796023757478935,-0.3344234993194248,-0.05414135769699262,0.25760600195229777,0.2562694490206824,-0.300759763633451,-0.23379595564538164,0.1407942238267148,0.40794223826714804,243,11.05,-0.3013227012301798,-3.0929534185929515,0.2727824992037292,1.518663690117244,0.13636363636363635,,-0.45492901393700264,-0.30997023944030916,-0.042043770367604635,0.25927893086257514,0.22282541060873864,-0.2824686967109441,-0.20411279583917227,0.1646090534979424,0.42386831275720166,False,False,False,,False,,10.65,True,False
19,C,long,d10,none,6.0,eod,554,10.65,-0.3590780659441895,-4.988393708817821,0.20155157017107228,1.6942716224753978,0.23076923076923078,,-0.4846563660324735,-0.35907806594418956,-0.12775052864080746,0.23132753730338207,0.143057384999257,-0.347175347130401,-0.29084729844303975,0.30866425992779783,0.6407942238267148,243,11.05,-0.2371195736179168,-2.1063823411404847,0.315201468015861,1.7548230767906823,0.36363636363636365,,-0.3635654625615383,-0.23711957361791677,-0.0009213755906927665,0.23619819802722403,0.11860657203759876,-0.21296235221468854,-0.1425129621212002,0.3497942386831276,0.6131687242798354,False,False,False,,False,,10.65,True,False
20,C,long,d20,none,2.0,h5,478,9.19,-1.4354773932179559,-9.407008316953583,0.42727045258018015,3.3362514662252463,0.07692307692307693,,-1.6901158554898852,-1.4964698711138238,-0.6494943787231391,0.7859830144948169,0.5761548802505695,-1.38151535220463,-1.1272806196730933,0.3179916317991632,0.604602510460251,222,10.09,-1.52517051312223,-6.967186085119058,0.6129414923857697,3.261650910416853,0.045454545454545456,,-1.7639742485562229,-1.5552373768326135,-0.6631872851964525,0.8619832279257775,0.5220115174416835,-1.4011957545801221,-1.109607786792678,0.30180180180180183,0.5990990990990991,False,False,False,,False,,9.19,True,False
21,C,long,d20,none,2.0,eod,478,9.19,-1.5158369733197907,-10.516297448463266,0.4035967550457252,3.1514003780366076,0.07692307692307693,,-1.701696196578987,-1.5158369733197907,-0.7289734212708168,0.7868635520489738,0.5364471311775141,-1.461615696132937,-1.2069655355856748,0.3368200836820084,0.6631799163179917,222,10.09,-1.5718459899169224,-7.180036730746813,0.6129730162689023,3.2618186587311646,0.045454545454545456,,-1.775951475055032,-1.571845989916922,-0.7018828008092631,0.869963189107659,0.4976485864527746,-1.4346493459373861,-1.1376553299937444,0.34234234234234234,0.6576576576576577,False,False,False,,False,,9.19,True,False
22,C,long,d20,none,6.0,h5,478,9.19,-0.4180358730298758,-6.251738221547651,0.1872280001183237,1.4619304614703263,0.21153846153846154,,-0.5696701357801712,-0.43055521359426135,-0.15843537454411277,0.25960049848576305,0.2562694490206824,-0.40808922757388455,-0.3419765725769789,0.12343096234309624,0.4205020920502092,222,10.09,-0.19790015498038813,-1.9422568731005896,0.2852971929817384,1.5181544417988295,0.2727272727272727,,-0.3439183498793634,-0.204436330416049,0.03731191959616125,0.23521207457654936,0.22248289925657477,-0.17958672129863437,-0.11942822943982519,0.18468468468468469,0.38738738738738737,False,False,False,,False,,9.19,True,False
23,C,long,d20,none,6.0,eod,478,9.19,-0.45421936796481543,-5.99394042071655,0.21218332866736156,1.6567888958860237,0.21153846153846154,,-0.583957836755907,-0.4542193679648153,-0.21295198591178746,0.2412673820530279,0.18591512702455026,-0.4431631942097966,-0.38299266275110894,0.2824267782426778,0.6778242677824268,222,10.09,-0.08991523710716222,-0.7515055522304184,0.33501104968930623,1.7826972211747751,0.5454545454545454,,-0.20933896494185736,-0.08991523710716237,0.12790114225160312,0.2178163793587653,0.11649010664815618,-0.06536230030988353,-0.005441802642087428,0.38738738738738737,0.5765765765765766,False,False,False,,False,,9.19,True,False
