symbol,day,ts,n_quotes,q_ts,nbb,nbo,spread,err
DOGZ,2025-01-03,2025-01-03T15:43:00+00:00,312,2025-01-03T15:42:36.416921+00:00,31.0,31.99,0.9899999999999984,
DOGZ,2025-01-03,2025-01-03T16:08:00+00:00,36,2025-01-03T16:07:24.533547+00:00,32.4,34.3,1.8999999999999986,
DOGZ,2025-01-03,2025-01-03T20:56:00+00:00,9,2025-01-03T20:55:57.610285+00:00,36.12,36.55,0.4299999999999997,
ZJK,2025-01-06,2025-01-06T20:56:00+00:00,423,2025-01-06T20:55:58.573784+00:00,11.79,11.82,0.030000000000001137,
ZJK,2025-01-06,2025-01-06T20:00:00+00:00,1971,2025-01-06T19:59:59.761123+00:00,13.5,13.68,0.17999999999999972,
ZJK,2025-01-06,2025-01-06T20:14:00+00:00,1279,2025-01-06T20:13:59.939701+00:00,14.5,14.66,0.16000000000000014,
ZJK,2025-01-06,2025-01-06T20:39:00+00:00,395,2025-01-06T20:38:57.471776+00:00,12.3,12.4,0.09999999999999964,
ZJK,2025-01-06,2025-01-06T20:09:00+00:00,858,2025-01-06T20:08:59.872254+00:00,14.65,14.72,0.07000000000000028,
ZJK,2025-01-06,2025-01-06T20:10:00+00:00,1295,2025-01-06T20:09:59.255003+00:00,13.8,13.9,0.09999999999999964,
ZJK,2025-01-06,2025-01-06T20:22:00+00:00,619,2025-01-06T20:21:58.389994+00:00,13.46,13.8,0.33999999999999986,
LAES,2025-01-08,2025-01-08T14:51:00+00:00,2435,2025-01-08T14:50:59.998087+00:00,3.44,3.48,0.040000000000000036,
LAES,2025-01-08,2025-01-08T15:16:00+00:00,6514,2025-01-08T15:15:59.845230+00:00,4.35,4.36,0.010000000000000675,
LAES,2025-01-08,2025-01-08T14:50:00+00:00,2814,2025-01-08T14:45:38.491963+00:00,0.42,4.2,3.7800000000000002,
LAES,2025-01-08,2025-01-08T15:01:00+00:00,2268,2025-01-08T14:56:37.142945+00:00,3.58,50.0,46.42,
LAES,2025-01-08,2025-01-08T15:22:00+00:00,7099,2025-01-08T15:21:59.509663+00:00,4.74,4.75,0.009999999999999787,
LAES,2025-01-08,2025-01-08T14:56:00+00:00,1644,2025-01-08T14:51:20.368925+00:00,3.05,3.34,0.29000000000000004,
LAES,2025-01-08,2025-01-08T15:03:00+00:00,7671,2025-01-08T15:02:59.994338+00:00,4.2,4.22,0.019999999999999574,
XXII,2025-01-08,2025-01-08T20:48:00+00:00,1222,2025-01-08T20:47:59.823739+00:00,9.5,9.71,0.21000000000000085,
MSW,2025-01-08,2025-01-08T19:09:00+00:00,34,2025-01-08T19:08:59.904920+00:00,5.41,5.75,0.33999999999999986,
MSW,2025-01-08,2025-01-08T19:37:00+00:00,32,2025-01-08T19:36:56.549946+00:00,5.3,5.95,0.6500000000000004,
MSW,2025-01-08,2025-01-08T20:57:00+00:00,19,2025-01-08T20:55:31.511124+00:00,5.17,5.31,0.13999999999999968,
MSW,2025-01-08,2025-01-08T19:04:00+00:00,43,2025-01-08T19:03:51.255015+00:00,5.23,5.9,0.6699999999999999,
MSW,2025-01-08,2025-01-08T19:16:00+00:00,2,2025-01-08T19:13:34.413480+00:00,5.41,5.75,0.33999999999999986,
MSW,2025-01-08,2025-01-08T19:19:00+00:00,92,2025-01-08T19:18:43.666584+00:00,5.1,5.89,0.79,
CHSN,2025-01-10,2025-01-10T20:56:00+00:00,46,2025-01-10T20:55:55.208436+00:00,5.24,5.26,0.019999999999999574,
CHSN,2025-01-10,2025-01-10T18:54:00+00:00,122,2025-01-10T18:49:37.697157+00:00,4.98,4.99,0.009999999999999787,
CHSN,2025-01-10,2025-01-10T19:01:00+00:00,58,2025-01-10T19:00:48.692450+00:00,5.15,5.16,0.009999999999999787,
