day,symbol,halt_seq,split,err
2025-01-16,KBSX,12,TRAIN,no_quote_at_or_before_entry
2025-01-23,COEP,1,TRAIN,no_quote_at_or_before_entry
2025-01-27,MSW,2,TRAIN,no_quote_at_or_before_entry
2025-03-04,RADX,1,TRAIN,
2025-03-18,HCAI,2,TRAIN,no_quote_at_or_before_entry
2025-07-09,LZMH,1,TRAIN,
2025-07-16,EPSM,3,TRAIN,no_quote_at_or_before_entry
2025-08-13,ANPA,1,TRAIN,no_quote_at_or_before_entry
2025-09-29,EPSM,4,TRAIN,
2025-09-29,EPSM,5,TRAIN,
2025-12-31,JXG,1,TRAIN,no_quote_at_or_before_entry
2026-02-11,JLHL,1,VAL,no_quote_at_or_before_entry
2026-06-04,CDTG,26,TEST,
2026-07-02,BMGL,3,TEST,no_quote_at_or_before_entry
2026-07-13,UBXG,1,TEST,no_quote_at_or_before_entry
2026-08-11,PRPL,1,TEST,no_quote_at_or_before_entry
2026-09-04,BANL,1,TEST,no_quote_at_or_before_entry
