symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
ASTI,2026-06-01,10:05:00,6.72,6.42,7.39,7472,10:18:00,7.39,partial+target,3624.11,7.21,False,,0,0.00,28.98,1929859,-0.36,-0.94,False,,1,3.34,0.14,0.50,2.00,0.00,-0.30,0.30,-0.50,0.00,0.500,0.554,0.00,0.00,17.60,1.009,0.554,
CING,2026-06-01,09:41:00,3.42,3.28,3.74,16000,09:47:00,3.41,partial+breakeven,1072.51,1.96,False,,0,0.00,19.30,537132,0.87,-11.06,False,,1,6.01,1.36,0.80,2.00,0.30,-0.30,0.30,-0.50,0.00,0.800,0.554,0.00,0.00,17.09,0.840,0.554,
IOTR,2026-06-01,10:01:00,3.16,3.01,3.47,15000,10:12:00,3.15,partial+breakeven,988.75,2.09,False,,0,0.00,45.69,1975205,-2.64,-0.77,False,,1,5.20,-1.98,1.50,1.00,0.30,-0.30,0.00,-0.50,0.00,1.500,0.554,0.00,0.00,34.72,1.711,0.554,
IOTR,2026-06-01,10:39:00,3.54,3.38,3.89,10800,10:44:00,3.37,stop,-1820.21,-4.76,False,,0,0.00,45.69,1975205,8.88,-0.77,False,,1,3.84,9.36,0.60,1.80,0.00,-0.30,0.00,-0.50,0.20,0.600,0.554,0.20,0.00,34.72,0.545,0.554,
LITZ,2026-06-01,09:59:00,20.84,20.26,21.44,19998,10:29:00,20.20,stop,-12888.31,-3.09,False,,0,0.00,34.42,619070,2.82,7.30,False,,2,4.50,4.49,1.20,2.00,0.00,0.30,0.00,-0.50,0.20,1.200,0.554,0.20,0.00,18.95,0.434,0.554,
BBGI,2026-06-02,10:43:00,20.65,19.77,22.60,573,10:48:00,19.71,stop,-539.80,-4.56,False,,0,0.00,32.41,28686,10.83,3.71,False,,1,5.28,10.39,1.20,1.00,0.30,-0.30,0.30,-0.50,0.20,1.200,0.660,0.20,0.00,31.48,3.172,0.660,
BNAI,2026-06-02,10:07:00,15.30,14.74,16.50,7498,10:16:00,14.70,stop,-4501.20,-3.92,False,,0,0.00,28.22,315096,8.06,-3.73,False,,3,9.22,8.16,0.90,2.00,0.00,0.00,0.00,-0.50,0.20,0.900,0.660,0.20,0.00,16.09,0.886,0.660,
COHH,2026-06-02,09:36:00,15.81,15.43,16.37,6470,09:43:00,16.37,partial+target,3044.62,2.98,False,,0,0.00,28.12,161777,3.67,10.32,False,,1,6.65,4.30,1.80,2.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.660,0.20,0.00,18.52,1.149,0.660,
LACG,2026-06-02,09:39:00,16.04,15.32,17.64,1067,09:58:00,15.28,stop,-815.36,-4.76,False,,0,0.00,20.79,29680,4.71,13.44,False,,1,10.14,5.13,0.90,1.80,0.00,-0.30,0.30,-0.50,0.20,0.900,0.660,0.20,0.00,28.27,0.156,0.660,
PUSA,2026-06-02,10:34:00,5.64,5.51,5.86,7000,11:00:00,5.86,partial+target,1224.60,3.10,False,,0,0.00,39.78,2872579,5.68,-2.72,False,,2,4.07,6.29,0.70,1.00,0.00,0.00,0.00,-0.50,0.00,0.700,0.660,0.20,0.00,22.95,1.558,0.660,
VSA,2026-06-02,10:16:00,6.91,6.60,7.60,3268,10:20:00,6.89,partial+breakeven,471.99,2.09,False,,0,0.00,92.75,611364,-4.94,73.36,True,,1,7.58,-4.27,0.25,1.80,0.30,-0.30,0.00,-0.50,0.00,0.200,0.660,0.00,-0.30,92.76,1.643,0.660,
XNDX,2026-06-02,09:49:00,28.42,27.67,29.93,9916,10:03:00,28.34,partial+breakeven,3277.91,1.16,False,,0,0.00,20.15,366720,5.30,-2.88,False,,1,9.89,5.69,1.50,2.00,0.00,0.30,0.30,-0.50,0.20,1.500,0.660,0.20,0.00,16.26,0.354,0.660,
SMZ,2026-06-03,09:39:00,18.09,17.69,18.87,2810,10:05:00,18.04,partial+breakeven,485.75,0.96,False,,0,0.00,18.15,70254,4.51,10.61,False,,1,5.33,4.43,1.50,2.00,0.30,0.00,0.30,-0.50,0.20,1.500,0.557,0.20,0.00,19.36,2.339,0.557,
SMZ,2026-06-03,10:05:00,18.14,17.69,19.04,2810,10:08:00,17.64,stop,-1414.33,-2.77,False,,0,0.00,18.15,70254,4.20,10.61,False,,1,5.33,3.70,1.20,2.00,0.30,0.00,0.00,-0.50,0.20,1.200,0.557,0.20,0.00,19.36,0.597,0.557,
ASTI,2026-06-04,10:37:00,8.32,7.99,8.92,16687,12:32:00,8.29,partial+breakeven,2512.27,1.81,False,,0,0.00,31.06,2416372,7.99,-1.59,False,,1,5.54,9.05,2.00,1.00,0.30,-0.30,0.30,-0.50,0.00,2.000,0.639,0.20,0.00,25.45,0.277,0.639,
BGDE,2026-06-04,10:28:00,7.50,7.19,7.97,4500,13:25:00,7.47,partial+breakeven,640.82,1.90,False,,0,0.00,33.12,135051,1.10,1.51,False,,3,4.39,2.70,0.25,1.80,0.00,-0.30,0.00,-0.50,0.00,0.200,0.639,0.00,0.00,33.12,0.787,0.639,
ICCM,2026-06-04,10:11:00,4.74,4.54,5.13,18000,10:20:00,5.13,partial+target,5319.00,6.23,False,,0,0.00,37.11,1880493,5.91,2905.93,False,,2,7.00,6.12,1.30,1.80,0.30,0.00,0.30,-0.50,0.00,1.300,0.639,0.20,0.00,2994.92,2.181,0.639,
ICCM,2026-06-04,10:43:00,5.25,5.14,5.43,18000,10:55:00,5.12,stop,-2237.61,-2.37,False,,0,0.00,37.11,1880493,10.66,2905.93,False,,2,5.20,11.38,1.60,1.80,0.30,0.30,0.30,-0.50,0.00,1.600,0.639,0.20,0.00,3367.37,0.391,0.639,
SPRC,2026-06-04,10:20:00,12.71,12.14,13.98,988,10:23:00,12.11,stop,-598.41,-4.76,False,,0,0.00,50.38,1876110,-5.18,43.23,True,,2,5.86,-4.66,0.25,1.00,0.30,-0.30,0.00,-0.50,0.00,0.200,0.639,0.00,-0.30,53.28,0.949,0.639,
SPRC,2026-06-04,10:45:00,14.57,13.92,16.02,6206,10:48:00,14.53,partial+breakeven,1889.04,2.09,False,,0,0.00,50.38,1876110,8.49,43.23,False,,2,16.37,8.53,1.00,1.80,0.00,0.00,0.30,-0.50,0.00,1.000,0.639,0.20,0.00,53.28,2.190,0.639,
AAOG,2026-06-05,10:13:00,15.07,14.61,16.05,12231,10:20:00,16.05,partial+target,8806.58,4.78,False,,0,0.00,46.05,339790,10.89,-11.39,False,,3,10.29,10.28,2.20,1.80,0.00,0.30,0.00,-0.50,0.20,2.200,0.696,0.20,0.00,20.10,1.176,0.696,
CETX,2026-06-05,09:40:00,5.86,5.69,6.13,7198,09:48:00,5.84,partial+breakeven,545.51,1.29,False,,0,0.00,36.61,585416,-4.93,982.37,True,,2,4.00,-3.91,0.40,1.80,0.00,0.00,0.00,-0.50,0.20,0.400,0.696,0.00,-0.30,1222.69,1.543,0.696,
CETX,2026-06-05,09:48:00,5.90,5.69,6.18,12600,09:51:00,5.67,stop,-2907.34,-3.91,False,,0,0.00,36.61,585416,-4.88,982.37,True,,2,4.00,-2.24,0.70,1.80,0.00,0.00,0.30,-0.50,0.20,0.700,0.696,0.00,-0.30,1222.69,5.617,0.696,
CETX,2026-06-05,10:22:00,5.86,5.71,6.16,10000,10:59:00,6.16,partial+target,2231.50,3.81,False,,0,0.00,36.61,585416,-2.30,982.37,True,,2,4.70,-1.69,1.00,1.00,0.30,0.00,0.30,-0.50,0.20,1.000,0.696,0.00,-0.30,1222.69,2.314,0.696,
NBIG,2026-06-05,10:13:00,30.71,30.01,32.08,5836,10:21:00,32.08,partial+target,6045.66,3.37,False,,0,0.00,37.09,1051812,-0.75,-10.15,False,,2,3.76,-0.24,0.80,2.00,0.00,0.00,0.30,-0.50,0.00,0.800,0.696,0.00,0.00,19.60,1.561,0.696,
RGTX,2026-06-05,10:20:00,27.13,26.56,28.02,5632,10:22:00,26.48,stop,-3687.16,-2.41,False,,0,0.00,38.94,2990797,-0.58,-8.01,False,,2,3.42,0.23,0.50,2.00,0.00,0.00,0.00,-0.50,0.00,0.500,0.696,0.00,0.00,16.20,2.343,0.696,
BVC,2026-06-09,10:39:00,10.04,9.64,10.78,397,10:43:00,10.78,partial+target,225.88,5.67,False,,0,0.00,48.42,11085,11.26,-8.55,False,,2,6.01,11.11,3.00,1.80,0.30,-0.30,0.30,0.30,0.20,3.000,1.410,0.20,0.00,23.69,7.774,1.410,
DAIC,2026-06-09,10:12:00,3.22,3.10,3.48,18000,10:14:00,3.09,stop,-2345.85,-4.05,False,,0,0.00,85.16,1828453,0.42,24.34,False,,2,7.51,0.92,1.60,1.80,0.30,0.00,0.00,0.30,0.00,1.600,1.410,0.00,0.00,51.33,1.202,1.410,
DKNX,2026-06-09,09:38:00,23.15,22.11,25.45,283,11:17:00,23.08,partial+breakeven,136.27,2.08,False,,0,0.00,17.09,14170,5.86,5.38,False,,1,4.66,6.27,2.00,1.00,0.30,-0.30,0.30,0.30,0.20,2.000,1.410,0.20,0.00,16.21,0.157,1.410,
FABC,2026-06-09,09:36:00,4.39,4.16,4.79,20000,09:58:00,4.15,stop,-4786.10,-5.46,False,,0,0.00,23.33,1366536,3.52,8.72,False,,1,7.77,4.49,2.10,2.00,0.30,0.00,0.30,0.30,0.00,2.100,1.410,0.20,0.00,18.94,2.236,1.410,
LESL,2026-06-09,10:05:00,6.77,6.58,7.17,21000,10:19:00,6.56,stop,-4461.13,-3.14,False,,0,0.00,62.48,2755669,10.28,1.75,False,,3,6.11,10.61,2.10,1.00,0.30,0.00,0.30,0.30,0.00,2.100,1.410,0.20,0.00,33.69,1.346,1.410,
OCC,2026-06-09,10:04:00,20.08,19.54,21.17,20000,10:06:00,20.02,partial+breakeven,4761.53,1.19,False,,0,0.00,26.41,1319296,1.13,-2.63,False,,3,8.33,1.58,2.20,2.00,0.30,0.30,0.30,0.30,0.00,2.200,1.410,0.00,0.00,18.39,1.287,1.410,
OPAD,2026-06-09,10:36:00,4.72,4.58,4.93,18000,11:21:00,4.71,partial+breakeven,1186.47,1.40,False,,0,0.00,29.26,764961,1.94,862.78,True,,3,3.21,3.25,1.30,1.80,0.00,0.00,0.30,0.30,0.00,1.300,1.410,0.00,-0.30,871.12,3.000,1.410,
UPC,2026-06-09,10:36:00,3.71,3.55,4.03,362,10:38:00,3.53,stop,-63.93,-4.76,False,,0,0.00,22.92,9076,8.80,-3.12,False,,1,8.44,9.67,2.00,2.00,0.30,0.00,0.00,0.30,0.20,2.000,1.410,0.20,0.00,18.35,0.688,1.410,
HTCO,2026-06-10,10:18:00,4.41,4.22,4.75,18000,10:40:00,4.20,stop,-3770.92,-4.75,False,,0,0.00,25.93,1432757,-5.60,3.13,False,,3,4.65,-4.16,1.80,1.80,0.30,-0.30,0.30,0.30,0.20,1.800,2.228,0.00,0.00,25.93,5.696,2.228,
