symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
LITZ,2026-06-01,09:59:00,20.84,20.26,21.44,19998,10:03:00,20.75,trail_stop,-1822.72,-0.44,False,,0,0.00,34.42,619070,2.82,7.30,False,,2,4.50,4.49,1.20,2.00,0.00,0.30,0.00,-0.50,0.20,1.200,0.554,0.20,0.00,18.95,0.434,0.554,
BNAI,2026-06-02,10:07:00,15.30,14.74,16.50,7498,10:16:00,14.70,stop,-4501.20,-3.92,False,,0,0.00,28.22,315096,8.06,-3.73,False,,3,9.22,8.16,0.90,2.00,0.00,0.00,0.00,-0.50,0.20,0.900,0.660,0.20,0.00,16.09,0.886,0.660,
PUSA,2026-06-02,10:34:00,5.64,5.51,5.86,7000,10:57:00,5.69,trail_stop,404.84,1.03,False,,0,0.00,39.78,2872579,5.68,-2.72,False,,2,4.07,6.29,0.70,1.00,0.00,0.00,0.00,-0.50,0.00,0.700,0.660,0.20,0.00,22.95,1.558,0.660,
BGDE,2026-06-04,10:28:00,7.50,7.19,7.97,4500,13:30:00,7.67,trail_stop,761.54,2.26,False,,0,0.00,33.12,135051,1.10,1.51,False,,3,4.39,2.70,0.25,1.80,0.00,-0.30,0.00,-0.50,0.00,0.200,0.639,0.00,0.00,33.12,0.787,0.639,
ICCM,2026-06-04,10:11:00,4.74,4.54,5.13,18000,10:24:00,5.07,trail_stop,5872.42,6.88,False,,0,0.00,37.11,1880493,5.91,2905.93,False,,2,7.00,6.12,1.30,1.80,0.30,0.00,0.30,-0.50,0.00,1.300,0.639,0.20,0.00,2994.92,2.181,0.639,
ICCM,2026-06-04,10:43:00,5.25,5.14,5.43,18000,10:55:00,5.12,stop,-2237.61,-2.37,False,,0,0.00,37.11,1880493,10.66,2905.93,False,,2,5.20,11.38,1.60,1.80,0.30,0.30,0.30,-0.50,0.00,1.600,0.639,0.20,0.00,3367.37,0.391,0.639,
SPRC,2026-06-04,10:20:00,12.71,12.14,13.98,988,10:23:00,12.11,stop,-598.41,-4.76,False,,0,0.00,50.38,1876110,-5.18,43.23,True,,2,5.86,-4.66,0.25,1.00,0.30,-0.30,0.00,-0.50,0.00,0.200,0.639,0.00,-0.30,53.28,0.949,0.639,
SPRC,2026-06-04,10:24:00,12.72,12.15,13.99,987,10:39:00,13.95,trail_stop,1212.35,9.65,False,,0,0.00,50.38,1876110,-4.96,43.23,True,,2,5.86,-4.46,0.25,1.00,0.30,-0.30,0.00,-0.50,0.00,0.200,0.639,0.00,-0.30,53.28,0.562,0.639,
SPRC,2026-06-04,10:45:00,14.57,13.92,16.02,6206,10:48:00,15.16,trail_stop,3673.79,4.06,False,,0,0.00,50.38,1876110,8.49,43.23,False,,2,16.37,8.53,1.00,1.80,0.00,0.00,0.30,-0.50,0.00,1.000,0.639,0.20,0.00,53.28,2.190,0.639,
AAOG,2026-06-05,10:13:00,15.07,14.61,16.05,12231,10:22:00,15.65,trail_stop,7068.29,3.83,False,,0,0.00,46.05,339790,10.89,-11.39,False,,3,10.29,10.28,2.20,1.80,0.00,0.30,0.00,-0.50,0.20,2.200,0.696,0.20,0.00,20.10,1.176,0.696,
