cell,split,variant,n_trades,n_trades_bench,mean_gross_bps,mean_cost_bps,mean_bench_gross_bps,n_months,excess_mean_bps,excess_t,pct_months_pos,d0_n_months,d0_excess_mean_bps,d0_excess_t,d0_pct_months_pos,ctrl_mean_bps,gross_minus_ctrl_bps
F2-LO-60,TRAIN,sealed,4466,43733,474.2629814311348,1.4453470460681608,383.98873463252124,74,42.59440313446533,1.8329678917101644,58.108108108108105,74.0,-20.350147736579007,-0.6891317538653057,44.5945945945946,,
A1-b,TRAIN,sealed,19790,19790,61.811330702374256,1.2215283839795883,,57,129.2010673104505,1.6776787629354468,61.40350877192983,,,,,-17.70411306224616,79.51544376462041
F2-LO-60,VAL,sealed,1662,15707,-291.21777167191897,1.4025412458521043,-154.38818794592618,24,-38.88533017248651,-0.7051454603604428,37.5,24.0,-16.77813622160328,-0.36658768819171295,37.5,,
A1-b,VAL,sealed,11919,11919,21.363074224276737,1.1437623322397783,,26,96.0633079226879,0.7823133308085852,57.692307692307686,,,,,-69.92547493118491,91.28854915546164
F2-LO-60,TRAIN,complete,4466,43733,474.2629814311348,1.4453470460681608,383.98873463252124,74,42.59440313446533,1.8329678917101644,58.108108108108105,74.0,-20.350147736579007,-0.6891317538653057,44.5945945945946,,
A1-b,TRAIN,complete,19790,19790,61.811330702374256,1.2215283839795883,,57,129.2010673104505,1.6776787629354468,61.40350877192983,,,,,-17.70411306224616,79.51544376462041
F2-LO-60,VAL,complete,1880,17830,-39.99376889751995,1.3796478752704215,57.7872589781898,27,-18.59940249614893,-0.33142346425041697,40.74074074074074,27.0,-2.709728952501405,-0.05549970848579835,44.44444444444444,,
A1-b,VAL,complete,11938,11938,20.902508093381805,1.1434709751266532,,27,65.80000086524065,0.6384867274930519,59.25925925925925,,,,,-69.06555934253397,89.9680674359158
