cell,arm,split,picks,fills,pnl,r_per_pick,t,mdd,worst_mo,red_mo,n_mo,d_pnl,d_mean_day,t_day,n_days
M0,meas_cost,TRAIN,84,70,5692.0,0.5327,2.96,-489.0,72.0,0,9,0.0,0.0,,
M0,meas_cost,VAL,53,40,3931.0,0.4828,1.66,-470.0,172.0,0,5,0.0,0.0,,
M0,asis,TRAIN,84,70,5029.0,0.4868,2.76,-528.0,-25.0,1,9,0.0,0.0,,
M0,asis,VAL,53,40,6386.0,0.862,2.23,-489.0,159.0,0,5,0.0,0.0,,
M1 flags=0,meas_cost,TRAIN,93,71,2887.0,0.2459,1.64,-869.0,-213.0,3,9,-2805.0,-43.15,-2.32,65.0
M1 flags=0,meas_cost,VAL,59,45,3867.0,0.4553,1.78,-338.0,107.0,0,5,-64.0,-1.35,-0.15,47.0
M1 flags=0,asis,TRAIN,93,71,2644.0,0.2359,1.61,-890.0,-327.0,3,9,-2385.0,-36.7,-1.97,65.0
M1 flags=0,asis,VAL,59,45,6267.0,0.79,2.3,-359.0,111.0,0,5,-119.0,-2.54,-0.27,47.0
M1 flags=1,meas_cost,TRAIN,93,73,2827.0,0.2204,1.55,-788.0,-288.0,3,9,-2866.0,-42.14,-1.98,68.0
M1 flags=1,meas_cost,VAL,62,47,4337.0,0.483,1.89,-480.0,109.0,0,5,406.0,8.46,0.66,48.0
M1 flags=1,asis,TRAIN,93,73,2561.0,0.209,1.5,-815.0,-422.0,3,9,-2468.0,-36.29,-1.71,68.0
M1 flags=1,asis,VAL,62,47,6738.0,0.8017,2.39,-496.0,46.0,0,5,352.0,7.33,0.56,48.0
M2 flags=0,meas_cost,TRAIN,94,72,1847.0,0.1363,1.07,-1209.0,-640.0,5,9,-3845.0,-54.16,-1.91,71.0
M2 flags=0,meas_cost,VAL,58,42,3569.0,0.3903,1.53,-780.0,-533.0,1,5,-362.0,-7.87,-0.41,46.0
M2 flags=0,asis,TRAIN,94,72,1694.0,0.136,1.11,-1236.0,-701.0,4,9,-3335.0,-46.97,-1.66,71.0
M2 flags=0,asis,VAL,58,42,6012.0,0.735,2.12,-609.0,117.0,0,5,-374.0,-8.13,-0.42,46.0
M2 flags=1,meas_cost,TRAIN,91,71,2034.0,0.1772,1.23,-1378.0,-809.0,4,9,-3659.0,-53.02,-2.32,69.0
M2 flags=1,meas_cost,VAL,60,45,3781.0,0.3923,1.53,-508.0,-170.0,2,5,-150.0,-3.27,-0.26,46.0
M2 flags=1,asis,TRAIN,91,71,1512.0,0.1493,1.07,-1387.0,-874.0,4,9,-3517.0,-50.97,-2.26,69.0
M2 flags=1,asis,VAL,60,45,6176.0,0.7196,2.1,-549.0,-59.0,1,5,-210.0,-4.57,-0.36,46.0
M3 flags=0,meas_cost,TRAIN,96,75,4161.0,0.3073,1.99,-1149.0,-685.0,3,9,-1532.0,-23.21,-1.0,66.0
M3 flags=0,meas_cost,VAL,54,41,4575.0,0.5515,1.9,-564.0,7.0,0,5,644.0,13.99,0.64,46.0
M3 flags=0,asis,TRAIN,96,75,3918.0,0.2983,1.97,-1179.0,-734.0,3,9,-1111.0,-16.83,-0.73,66.0
M3 flags=0,asis,VAL,54,41,7002.0,0.9217,2.42,-604.0,-56.0,1,5,615.0,13.38,0.61,46.0
M3 flags=1,meas_cost,TRAIN,104,80,4692.0,0.3028,2.03,-1270.0,-197.0,2,9,-1000.0,-13.89,-0.54,72.0
M3 flags=1,meas_cost,VAL,57,44,4895.0,0.5439,1.97,-515.0,-16.0,1,5,963.0,20.07,1.08,48.0
M3 flags=1,asis,TRAIN,104,80,4363.0,0.2881,1.96,-1418.0,-327.0,3,9,-666.0,-9.25,-0.36,72.0
M3 flags=1,asis,VAL,57,44,7301.0,0.8918,2.46,-562.0,-78.0,1,5,915.0,19.06,1.01,48.0
