run,picks,entered,total,mdd,red,months,e25H1,e25H2,e2026,worst_mo,verdict
baseline,130,73,6085,-685,6,21,2442,1135,2509,-236,
V1a_range_size,120,70,6256,-620,6,20,2442,1241,2574,-185,KEEP
V1b_adr20,123,69,6425,-551,6,21,2442,1341,2643,-185,KEEP
V1c_spy3d,118,67,5675,-647,6,20,2131,1258,2286,-236,REJECT
V1d_bar_range,110,65,5480,-685,6,20,2442,650,2389,-236,REJECT
V1e_retvol20,123,69,6425,-551,6,21,2442,1341,2643,-185,KEEP
V1all_abc,103,61,6120,-513,6,19,2131,1569,2421,-185,REJECT
