run,picks,entered,total,mdd,red,months,e25H1,e25H2,e2026,worst_mo,verdict
baseline,130,73,3244,-624,7,21,34213,2320,12121,-606,
V1a_range_size,120,70,3463,-606,7,20,34213,4627,13103,-606,KEEP
V1b_adr20,123,69,3535,-606,7,21,34213,5403,13416,-606,KEEP
V1c_spy3d,118,67,2875,-606,6,20,32844,4162,6117,-606,REJECT
V1d_bar_range,110,65,3199,-624,6,20,34213,777,13002,-606,REJECT
V1e_retvol20,123,69,3535,-606,7,21,34213,5403,13416,-606,KEEP
V1all_abc,103,61,3321,-606,5,19,32844,9552,7413,-606,REJECT
