day,symbol,entry_m,split,wk,mo,entry,stop,r_pct,adv20,rr_e1c_stored,why_stored,xm_stored,o_i,h_i,l_i,c_i,v_i,gap_through,gap_through_pct,entry_bar_stop_hit,last_m,n_bars,dv5,vol5,shares_100r,notional_100r,notional_frac_dv5,share_frac_vol5,rr_base,why_base,xm_base,rr_g,why_g,xm_g,entry_g,rpct_g,rr_eb,why_eb,xm_eb,rr_s25,why_s25,xm_s25,rr_s50,why_s50,xm_s50,rr_s100,why_s100,xm_s100,rr_eod10,why_eod10,xm_eod10,rr_all,why_all,xm_all,entry_all,rpct_all,max_gap_min,limit_touch_before_exit,limit_touch_m
2025-01-03,CTNM,584,TRAIN,2024-12-28/2025-01-03,2025-01,14.52344,13.72,5.532023,,-0.02917455,eod,955,14.53,14.64,14.53,14.64,1630.0,1,0.04516836231636123,0,959,65,37754.380000000005,2597.0,124.46480135417701,1807.6570745793088,0.04787940033922709,0.04792637710981017,-0.02917454943742008,eod,955,-0.037037037037036306,eod,955,14.53,5.574673090158284,-0.02917454943742008,eod,955,-0.02917454943742008,eod,955,-0.02917454943742008,eod,955,-0.02917454943742008,eod,955,-0.04722194563377569,eod,955,-0.054938271604937514,eod,955,14.53,5.574673090158284,44,0,-1
2025-01-03,DQ,591,TRAIN,2024-12-28/2025-01-03,2025-01,20.30072,19.438,4.2497015,,0.7294139,eod,955,20.31,20.48,20.31,20.48,5514.0,1,0.0457126643784056,0,959,325,1646822.685,78856.0,115.91246290801193,2353.1064540059356,0.0014288766334342397,0.0014699257242062993,0.7294139465875391,eod,955,0.7110091743119279,eod,955,20.31,4.293451501723289,0.7294139465875391,eod,955,0.7294139465875391,eod,955,0.7294139465875391,eod,955,0.7294139465875391,eod,955,0.7051534681008924,eod,955,0.6870068807339463,eod,955,20.31,4.293451501723289,6,0,-1
2025-01-03,FGF,573,TRAIN,2024-12-28/2025-01-03,2025-01,25.1753,24.9,1.0935322,,2.0,target,583,25.995,27.0,25.99,27.0,2090.0,1,3.2559691443597494,0,950,40,111991.06,4372.0,363.2401017072266,9144.67853250994,0.08165543332217716,0.08308328035389446,2.0,target,583,-1.022739726027396,stop,761,25.995,4.2123485285631945,2.0,target,583,2.0,target,583,2.0,target,583,2.0,target,583,2.0,target,583,-1.1136986301369871,stop,761,25.995,4.2123485285631945,10,1,583
2025-01-03,FTCI,579,TRAIN,2024-12-28/2025-01-03,2025-01,5.7171,5.41,5.3716044,,2.0,target,626,5.75,5.75,5.75,5.75,1107.0,1,0.5754665827080174,0,899,138,20950.5799,3668.0,325.6268316509279,1861.64115923152,0.08885869355967183,0.08877503589174697,2.0,target,626,1.073529411764707,eod_notape,899,5.75,5.9130434782608665,2.0,target,626,2.0,target,626,2.0,target,626,2.0,target,626,2.0,target,626,1.055544117647059,eod_notape,899,5.75,5.9130434782608665,4,1,626
2025-01-03,FUFU,640,TRAIN,2024-12-28/2025-01-03,2025-01,5.6168,5.4101,3.6800313,,0.30527335,eod,957,5.47,5.6999,5.4699,5.6,7727.0,0,-2.6135878080045583,0,959,136,27164.105,4914.0,483.7929366231261,2717.3681664247742,0.10003525484917594,0.09845196105476721,0.3052733430091944,eod,957,0.3052733430091944,eod,957,5.6168,3.68003133456772,0.3052733430091944,eod,957,0.3052733430091944,eod,957,0.3052733430091944,eod,957,0.3052733430091944,eod,957,0.2777943880019393,eod,957,0.2777943880019393,eod,957,5.6168,3.68003133456772,22,0,-1
2025-01-03,GRRR,585,TRAIN,2024-12-28/2025-01-03,2025-01,24.40299,21.655,11.260874,,-0.36822915,eod,900,24.325,24.4651,23.7458,23.82,26333.0,0,-0.3195919844248607,0,900,327,5503564.3314,218539.0,36.39023431671879,888.0305241285454,0.00016135552719207476,0.000166515973426797,-0.3682291420274449,eod_notape,900,-0.3682291420274449,eod_notape,900,24.40299,11.26087417976239,-0.3682291420274449,eod_notape,900,-0.3682291420274449,eod_notape,900,-0.3682291420274449,eod_notape,900,-0.3682291420274449,eod_notape,900,-0.37674121812670336,eod_notape,900,-0.37674121812670336,eod_notape,900,24.40299,11.26087417976239,2,0,-1
2025-01-03,HNNA,621,TRAIN,2024-12-28/2025-01-03,2025-01,12.89858,12.295,4.67943,,0.052056067,eod,955,13.31,13.31,13.31,13.31,115.0,1,3.189653434719175,0,959,19,19564.37,1520.0,165.67812054740025,2137.0124921302863,0.10922981379570548,0.10899876351802648,0.05205606547599133,eod,955,-0.3743842364532025,eod,955,13.31,7.625845229151018,0.05205606547599133,eod,955,0.05205606547599133,eod,955,0.05205606547599133,eod,955,0.05205606547599133,eod,955,0.030633884489211193,eod,955,-0.38712315270936093,eod,955,13.31,7.625845229151018,94,0,-1
2025-01-03,INV,638,TRAIN,2024-12-28/2025-01-03,2025-01,13.88152,13.031,6.1269946,,-0.560269,eod,955,13.8,13.9,13.8,13.9,506.0,0,-0.5872555743175023,0,959,192,72255.68000000001,5243.0,117.57513050839493,1632.1215256548944,0.02258814152264423,0.022425163171542042,-0.5602690118986043,eod,955,-0.5602690118986043,eod,955,13.88152,6.126994738328364,-0.5602690118986043,eod,955,-0.5602690118986043,eod,955,-0.5602690118986043,eod,955,-0.5602690118986043,eod,955,-0.5760299581432554,eod,955,-0.5760299581432554,eod,955,13.88152,6.126994738328364,11,0,-1
2025-01-03,IPXX,610,TRAIN,2024-12-28/2025-01-03,2025-01,12.406508,12.15,2.0675294,,2.0,target,638,12.8,12.8,12.8,12.8,300.0,1,3.1716579717677273,0,877,18,20799.4964,1625.0,389.8513886506461,4836.69437210535,0.23253901340156247,0.23990854686193605,2.0,target,638,-0.30769230769230915,eod_notape,877,12.8,5.078125000000003,2.0,target,638,2.0,target,638,2.0,target,638,2.0,target,638,2.0,target,638,-0.3270769230769258,eod_notape,877,12.8,5.078125000000003,27,1,638
2025-01-03,IZTC,590,TRAIN,2024-12-28/2025-01-03,2025-01,14.85443,14.0,5.7520213,,-1.0163852,stop,638,15.02,15.02,15.02,15.02,492.0,1,1.114616986313166,0,959,36,28521.8,1947.0,117.03708905352097,1738.5192467492936,0.06095405082250397,0.06011149925707292,-1.0163851924674923,stop,638,-1.0137254901960777,stop,638,15.02,6.7909454061251635,-1.0163851924674923,stop,638,-1.0409629811687324,stop,638,-1.081925962337465,stop,638,-1.16385192467493,stop,638,-1.0163851924674923,stop,638,-1.0686274509803924,stop,638,15.02,6.7909454061251635,9,0,-1
2025-01-03,KINS,684,TRAIN,2024-12-28/2025-01-03,2025-01,15.07509,14.01,7.0652313,,-0.07988996,eod,900,15.04,15.08,15.02,15.02,1140.0,0,-0.23276809624354078,0,900,206,91076.4235,6053.0,93.88877935197968,1415.3817987212353,0.015540594857913313,0.015511115042454927,-0.07988996235059878,eod_notape,900,-0.07988996235059878,eod_notape,900,15.07509,7.065231451354517,-0.07988996235059878,eod_notape,900,-0.07988996235059878,eod_notape,900,-0.07988996235059878,eod_notape,900,-0.07988996235059878,eod_notape,900,-0.09396389037545975,eod_notape,900,-0.09396389037545975,eod_notape,900,15.07509,7.065231451354517,8,0,-1
2025-01-03,LAES,577,TRAIN,2024-12-28/2025-01-03,2025-01,8.69601,7.82,10.073701,,-0.61324644,eod,900,8.495,8.82,8.4631,8.81,671296.0,0,-2.3115198809569026,0,900,331,16010322.134599999,1858595.0,114.1539480142922,992.683873471765,6.200274205142132e-05,6.141948515641773e-05,-0.613246424127579,eod_notape,900,-0.613246424127579,eod_notape,900,8.69601,10.073700467225764,-0.613246424127579,eod_notape,900,-0.613246424127579,eod_notape,900,-0.613246424127579,eod_notape,900,-0.613246424127579,eod_notape,900,-0.6225600164381695,eod_notape,900,-0.6225600164381695,eod_notape,900,8.69601,10.073700467225764,1,0,-1
2025-01-03,LUCY,731,TRAIN,2024-12-28/2025-01-03,2025-01,5.40617,5.17,4.368527,,0.52432567,eod,959,5.44,5.44,5.44,5.44,100.0,1,0.6257664853306588,0,959,46,32481.635000000002,5936.0,423.42380488630994,2289.1010712622224,0.07047370217854558,0.07133150351858321,0.5243256975907171,eod,959,0.33333333333333226,eod,959,5.44,4.963235294117655,0.5243256975907171,eod,959,0.5243256975907171,eod,959,0.5243256975907171,eod,959,0.5243256975907171,eod,959,0.500910361180503,eod,959,0.3128518518518498,eod,959,5.44,4.963235294117655,38,0,-1
2025-01-03,MARO,744,TRAIN,2024-12-28/2025-01-03,2025-01,38.901356,36.38,6.4814067,,0.08275114,eod,955,38.96,38.97,38.96,38.96,800.0,1,0.15075052910751285,0,955,94,496664.65,12746.0,39.66119818066156,1542.8743898124676,0.0031064711165017835,0.003111658416810102,0.08275071033205934,eod,955,0.058139534883720416,eod,955,38.96,6.622176591375766,0.08275071033205934,eod,955,0.08275071033205934,eod,955,0.08275071033205934,eod,955,0.08275071033205934,eod,955,0.06723921572360227,eod,955,0.0429806201550379,eod,955,38.96,6.622176591375766,27,0,-1
2025-01-03,MESO,750,TRAIN,2024-12-28/2025-01-03,2025-01,20.67183,19.56,5.378479,,-0.31644225,eod,955,20.85,20.9,20.695,20.695,1131.0,1,0.8618975678495788,0,959,219,123978.47320000001,5985.0,89.94180765045006,1859.261757642803,0.014996649899402076,0.015027870952456151,-0.31644226185657814,eod,955,-0.4108527131782946,eod,955,20.85,6.187050359712243,-0.31644226185657814,eod,955,-0.31644226185657814,eod,955,-0.31644226185657814,eod,955,-0.31644226185657814,eod,955,-0.3347184371711511,eod,955,-0.426604651162792,eod,955,20.85,6.187050359712243,11,0,-1
2025-01-03,MNPR,806,TRAIN,2024-12-28/2025-01-03,2025-01,22.28666,21.0,5.7732296,,0.63990486,eod,955,22.3,22.3,22.3,22.3,1408.0,1,0.05985643429746723,0,959,51,35914.64,1577.0,77.72060995134682,1732.132808978283,0.04822915693929503,0.04928383636737274,0.6399048699734176,eod,955,0.6230769230769218,eod,955,22.3,5.829596412556056,0.6399048699734176,eod,955,0.6399048699734176,eod,955,0.6399048699734176,eod,955,0.6399048699734176,eod,955,0.621943637013662,eod,955,0.6052999999999994,eod,955,22.3,5.829596412556056,36,0,-1
2025-01-03,MPLN,575,TRAIN,2024-12-28/2025-01-03,2025-01,12.98885,12.29,5.380384,,1.5899693,eod,955,13.13,13.17,13.13,13.17,588.0,1,1.0867012861030867,0,959,114,72509.965,5233.0,143.0922229376833,1858.6034199041276,0.0256323861127795,0.02734420465080896,1.5899692351720685,eod,955,1.154761904761901,eod,955,13.13,6.397562833206409,1.5899692351720685,eod,955,1.5899692351720685,eod,955,1.5899692351720685,eod,955,1.5899692351720685,eod,955,1.5697932317378538,eod,955,1.1379761904761858,eod,955,13.13,6.397562833206409,14,0,-1
2025-01-03,NA,612,TRAIN,2024-12-28/2025-01-03,2025-01,9.5285,9.0801,4.7058825,,-1.1987065,stop,743,9.39,9.9,9.39,9.9,6012.0,0,-1.453534134438772,0,895,76,39451.245,3928.0,223.01516503122238,2125.0000000000023,0.05386395283596252,0.05677575484501588,-1.1987065120428195,stop,743,-1.1987065120428195,stop,743,9.5285,4.705882352941171,-1.1987065120428195,stop,743,-1.2288135593220317,stop,743,-1.2789919714540587,stop,743,-1.3793487957181085,stop,743,-1.1987065120428195,stop,743,-1.2789919714540587,stop,743,9.5285,4.705882352941171,21,0,-1
2025-01-03,NNAVW,575,TRAIN,2024-12-28/2025-01-03,2025-01,6.00797,5.81,3.2951229,,0.81845737,eod,951,6.11,6.11,6.11,6.11,100.0,1,1.698244165666618,0,951,73,48930.5212,8135.0,505.1270394504201,3034.788099206941,0.06202239470947922,0.06209305955137309,0.8184573420215141,eod_notape,951,0.19999999999999823,eod_notape,951,6.11,4.9099836333879,0.8184573420215141,eod_notape,951,0.8184573420215141,eod_notape,951,0.8184573420215141,eod_notape,951,0.8184573420215141,eod_notape,951,0.7872910036874231,eod_notape,951,0.17943333333333158,eod_notape,951,6.11,4.9099836333879,24,0,-1
2025-01-03,PDYN,578,TRAIN,2024-12-28/2025-01-03,2025-01,11.79528,10.83,8.183613,,-1.0112195,stop,618,11.5641,12.08,11.5641,12.07,73616.0,0,-1.9599365169796767,0,900,331,4098352.95,335691.0,103.59688380573513,1221.9542516161114,0.0002981573979898709,0.00030860786796707427,-1.0112195425161614,stop,618,-1.0112195425161614,stop,618,11.79528,8.183612428022055,-1.0112195425161614,stop,618,-1.0280488562904027,stop,618,-1.0560977125808055,stop,618,-1.112195425161611,stop,618,-1.0112195425161614,stop,618,-1.0560977125808055,stop,618,11.79528,8.183612428022055,1,0,-1
2025-01-03,PTLE,576,TRAIN,2024-12-28/2025-01-03,2025-01,12.22657,11.0,10.032004,,-1.0089681,stop,623,12.18,12.28,12.18,12.2,10500.0,0,-0.3808917791334854,0,900,183,378514.69759999996,30431.0,81.52816390422068,996.8098029464275,0.0026334771391091885,0.002679115504065613,-1.0089680980294637,stop,623,-1.0089680980294637,stop,623,12.22657,10.032004069824985,-1.0089680980294637,stop,623,-1.0224202450736606,stop,623,-1.0448404901473212,stop,623,-1.0896809802946423,stop,623,-1.0089680980294637,stop,623,-1.0448404901473212,stop,623,12.22657,10.032004069824985,2,0,-1
2025-01-03,QBTS,577,TRAIN,2024-12-28/2025-01-03,2025-01,9.63883,9.04,6.2126837,,-1.0150961,stop,619,9.4965,9.77,9.4633,9.7587,510857.0,0,-1.4766314998812202,0,900,331,19970322.469,2083174.0,166.99230165489334,1609.6104069602357,8.060012097745739e-05,8.016243561742482e-05,-1.0150961040696034,stop,619,-1.0150961040696034,stop,619,9.63883,6.212683489593667,-1.0150961040696034,stop,619,-1.037740260174004,stop,619,-1.075480520348011,stop,619,-1.1509610406960247,stop,619,-1.0150961040696034,stop,619,-1.075480520348011,stop,619,9.63883,6.212683489593667,1,0,-1
