day,em,xm,symbol,net,wk,split
2025-01-17,573,615,QBTS,-1.1698633171623725,2025-01-11/2025-01-17,TRAIN
2025-01-17,575,955,MESO,0.6230436289586905,2025-01-11/2025-01-17,TRAIN
2025-01-17,586,900,STFS,-1.032769209627805,2025-01-11/2025-01-17,TRAIN
2025-01-21,571,580,TSLQ,2.0,2025-01-18/2025-01-24,TRAIN
2025-01-21,572,955,SMWB,-0.16618662939532014,2025-01-18/2025-01-24,TRAIN
2025-01-21,574,584,BDMD,-1.0891272690949758,2025-01-18/2025-01-24,TRAIN
2025-01-21,578,899,ARQQ,-1.0417974365297176,2025-01-18/2025-01-24,TRAIN
2025-01-22,571,578,APLD,-1.3566418691306013,2025-01-18/2025-01-24,TRAIN
2025-01-22,571,583,BTDR,-1.2844216387827547,2025-01-18/2025-01-24,TRAIN
2025-01-22,573,573,RGTIW,-1.1796072767614023,2025-01-18/2025-01-24,TRAIN
2025-01-22,594,955,LUNR,-0.543892077798187,2025-01-18/2025-01-24,TRAIN
2025-01-23,572,591,BTCT,2.0,2025-01-18/2025-01-24,TRAIN
2025-01-23,572,955,CFB,0.022532724952671973,2025-01-18/2025-01-24,TRAIN
2025-01-23,572,576,NNE,2.0,2025-01-18/2025-01-24,TRAIN
2025-01-23,572,711,QBTS,-1.2642526355467563,2025-01-18/2025-01-24,TRAIN
2025-01-24,612,955,AOSL,0.38980295505247964,2025-01-18/2025-01-24,TRAIN
2025-01-24,832,955,BOIL,-0.35954246985991745,2025-01-18/2025-01-24,TRAIN
2025-01-27,571,582,EVAX,2.0,2025-01-25/2025-01-31,TRAIN
2025-01-27,576,955,BLMN,0.08572222309882799,2025-01-25/2025-01-31,TRAIN
2025-01-27,582,849,BDMD,-1.1059435801384583,2025-01-25/2025-01-31,TRAIN
2025-01-27,582,678,BYON,-1.2042345006317225,2025-01-25/2025-01-31,TRAIN
2025-01-28,572,955,CCB,0.26352811583175406,2025-01-25/2025-01-31,TRAIN
2025-01-28,577,955,SEZL,0.6482634384523902,2025-01-25/2025-01-31,TRAIN
2025-01-28,579,699,NVD,-1.14599630649039,2025-01-25/2025-01-31,TRAIN
2025-01-28,579,699,NVDS,-1.1962185452871836,2025-01-25/2025-01-31,TRAIN
2025-01-29,571,852,GRAL,-1.267996976192615,2025-01-25/2025-01-31,TRAIN
2025-01-29,575,851,RIOT,-1.506113789431773,2025-01-25/2025-01-31,TRAIN
2025-01-29,575,955,WNC,0.8286958063673932,2025-01-25/2025-01-31,TRAIN
2025-01-29,579,899,RNAZ,-1.0449665231744147,2025-01-25/2025-01-31,TRAIN
2025-01-30,572,583,DXF,-1.1540493389940338,2025-01-25/2025-01-31,TRAIN
2025-01-30,574,955,MBLY,0.06702079219161501,2025-01-25/2025-01-31,TRAIN
2025-01-30,575,955,LEVI,0.44846154464811433,2025-01-25/2025-01-31,TRAIN
2025-01-30,590,955,UBRL,-0.14803297599691345,2025-01-25/2025-01-31,TRAIN
2025-01-31,576,955,PDYN,-0.13715404294371283,2025-01-25/2025-01-31,TRAIN
2025-01-31,580,861,CMPR,-1.1809758564374002,2025-01-25/2025-01-31,TRAIN
2025-01-31,602,942,MSTU,-1.2151975861745767,2025-01-25/2025-01-31,TRAIN
2025-01-31,650,955,NJR,-0.1224083558073659,2025-01-25/2025-01-31,TRAIN
2025-02-03,571,572,AVBP,-1.1016741426409375,2025-02-01/2025-02-07,TRAIN
2025-02-03,572,597,ZSPC,2.0,2025-02-01/2025-02-07,TRAIN
2025-02-03,574,955,UBRL,0.16116973269020524,2025-02-01/2025-02-07,TRAIN
2025-02-03,575,955,MATW,-0.6687084481359885,2025-02-01/2025-02-07,TRAIN
2025-02-04,571,631,SLAB,-1.1913643125951392,2025-02-01/2025-02-07,TRAIN
2025-02-04,572,955,TDG,-0.5453496192347164,2025-02-01/2025-02-07,TRAIN
2025-02-04,576,955,EPD,-0.30074510840534885,2025-02-01/2025-02-07,TRAIN
2025-02-04,596,955,CRKN,-0.6979470341823135,2025-02-01/2025-02-07,TRAIN
2025-02-05,571,955,TKR,0.21023278371929655,2025-02-01/2025-02-07,TRAIN
2025-02-05,572,574,OSCR,-1.1660462770688915,2025-02-01/2025-02-07,TRAIN
2025-02-05,575,955,PFGC,-0.5252185053609244,2025-02-01/2025-02-07,TRAIN
2025-02-05,577,952,VSH,2.0,2025-02-01/2025-02-07,TRAIN
2025-02-06,571,575,ACB,2.0,2025-02-01/2025-02-07,TRAIN
2025-02-06,571,955,CPAY,-0.13056290538914989,2025-02-01/2025-02-07,TRAIN
2025-02-06,573,955,APD,-0.3989724454002477,2025-02-01/2025-02-07,TRAIN
2025-02-06,573,586,REBN,2.0,2025-02-01/2025-02-07,TRAIN
2025-02-07,571,573,CRNC,2.0,2025-02-01/2025-02-07,TRAIN
2025-02-07,572,578,ACB,-1.1944867704658153,2025-02-01/2025-02-07,TRAIN
2025-02-07,573,694,UMAC,-1.23788477724972,2025-02-01/2025-02-07,TRAIN
2025-02-07,574,654,HUBG,-1.2047366737872132,2025-02-01/2025-02-07,TRAIN
2025-02-10,571,955,CLS,-0.05895411745635376,2025-02-08/2025-02-14,TRAIN
2025-02-10,577,608,QNTM,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-10,579,644,LEU,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-10,588,908,LTBR,-1.1384773612599515,2025-02-08/2025-02-14,TRAIN
2025-02-11,571,955,GFS,0.8163072312541019,2025-02-08/2025-02-14,TRAIN
2025-02-11,571,955,HSAI,-0.3548851967726174,2025-02-08/2025-02-14,TRAIN
2025-02-11,571,955,IRBT,1.0610655774406244,2025-02-08/2025-02-14,TRAIN
2025-02-11,571,702,LTBR,-1.2747314243159107,2025-02-08/2025-02-14,TRAIN
2025-02-12,571,638,BBAI,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-12,571,583,LTBR,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-12,572,616,GRRR,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-12,572,955,PLTU,1.470415634398535,2025-02-08/2025-02-14,TRAIN
2025-02-13,571,571,YOSH,-1.2547135422149496,2025-02-08/2025-02-14,TRAIN
2025-02-13,572,728,SPIR,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-13,588,955,EH,0.2677334967896017,2025-02-08/2025-02-14,TRAIN
2025-02-13,592,955,PPC,0.5195234745972692,2025-02-08/2025-02-14,TRAIN
2025-02-14,571,586,INLF,2.0,2025-02-08/2025-02-14,TRAIN
2025-02-14,572,955,MGA,-0.9035546480210107,2025-02-08/2025-02-14,TRAIN
2025-02-14,575,955,MRNA,0.2907623687264742,2025-02-08/2025-02-14,TRAIN
2025-02-14,588,955,GRAL,0.3444384304495067,2025-02-08/2025-02-14,TRAIN
2025-02-18,577,955,UVSP,-0.24235889270572195,2025-02-15/2025-02-21,TRAIN
2025-02-18,579,955,SOUN,0.7067012446285524,2025-02-15/2025-02-21,TRAIN
2025-02-18,596,955,LEU,-0.4767516174453443,2025-02-15/2025-02-21,TRAIN
2025-02-18,606,955,YPF,-0.23376138854499245,2025-02-15/2025-02-21,TRAIN
2025-02-19,574,768,KRYS,2.0,2025-02-15/2025-02-21,TRAIN
2025-02-19,574,955,QUAD,1.2430301165336264,2025-02-15/2025-02-21,TRAIN
2025-02-19,576,686,GCL,-1.055457953748536,2025-02-15/2025-02-21,TRAIN
2025-02-19,586,955,FOLD,-0.4593063408993294,2025-02-15/2025-02-21,TRAIN
2025-02-20,571,955,EQX,0.7028165396574074,2025-02-15/2025-02-21,TRAIN
2025-02-20,571,633,ESAB,-1.3483306398346107,2025-02-15/2025-02-21,TRAIN
2025-02-20,572,574,GRRR,-1.2463397707867157,2025-02-15/2025-02-21,TRAIN
2025-02-20,574,574,CSAI,-1.4267008861894825,2025-02-15/2025-02-21,TRAIN
2025-02-21,571,576,JTAI,-1.128363666170696,2025-02-15/2025-02-21,TRAIN
2025-02-21,579,955,CVS,-0.6415933595081549,2025-02-15/2025-02-21,TRAIN
