cell,split,n,per_wk,gross,cost,net,clust_t,green,null_p95,redstreak,worst,total,wk_dollar,mdd,ex5,h1,h2,imputed,mde,note
ORB/$20/X0,TRAIN,195,3.6792452830188678,0.0045412313785659145,0.0626113584550955,-0.05807012707652954,-0.5732996575295332,43.39622641509434,45.28301886792453,4,-561.291084238889,-1132.3674779923267,-21.36542411306277,-2695.900824373998,-0.16822405166102306,-0.09856865541504711,-0.031071108184184487,57.948717948717956,0.2573333364728797,
ORB/$20/X0,VAL,119,5.173913043478261,0.22445559496641374,0.062219764677465074,0.1622358302889487,1.1971647532515872,52.17391304347826,65.21739130434783,3,-590.3117403252609,1930.6063804384892,83.9394078451517,-899.9781489260442,0.0661569392009196,,0.1622358302889487,61.34453781512605,0.3352790653764489,
ORB/$20/G3,TRAIN,195,3.6792452830188678,-0.037163469763629844,0.0673137117924865,-0.10447718155611634,-0.7126822078823976,30.18867924528302,37.735849056603776,7,-787.4519574715625,-2037.3050403442676,-38.43971774234467,-4204.188860339945,-0.3852597693913654,-0.20769540182720123,-0.03566503470872643,57.948717948717956,0.33616618575956747,
ORB/$20/G3,VAL,119,5.173913043478261,0.26468443367148675,0.0679041553761211,0.19678027829536557,1.2934294585031356,43.47826086956522,60.86956521739131,3,-566.2208994150021,2341.6853117148507,101.81240485716742,-1085.8315101214275,-0.03667597488329625,,0.19678027829536557,61.34453781512605,0.41252107852030967,
ORB/$10/X0,TRAIN,416,7.849056603773585,-0.03582288037133169,0.07044763491994833,-0.10627051529128004,-1.5032439348244642,37.735849056603776,45.28301886792453,5,-922.8210596912822,-4420.8534361172515,-83.41232898334437,-5752.594947950448,-0.21696171439778106,-0.1810977481012027,-0.05608518244285806,81.49038461538461,0.17216771920257357,
ORB/$10/X0,VAL,272,11.826086956521738,0.09240765224310198,0.06993736392657691,0.02247028831652508,0.271123265890371,47.82608695652174,60.86956521739131,6,-769.2572894088435,611.1918422094819,26.573558356933997,-2003.5385142532268,-0.08326199120234962,,0.02247028831652508,84.92647058823529,0.21885482451782254,
ORB/$10/G3,TRAIN,410,7.735849056603773,-0.07160189321168665,0.07509394760055021,-0.14669584081223688,-1.6459007040906222,35.84905660377358,39.62264150943396,5,-1161.1576080558898,-6014.529473301713,-113.48168817550402,-7548.600063768175,-0.4122896228541336,-0.29213997349571347,-0.0487436698213241,81.46341463414633,0.21990796793631023,
ORB/$10/G3,VAL,270,11.73913043478261,0.09412711787444214,0.0753697482795914,0.01875736959485074,0.1900249891455021,52.17391304347826,56.52173913043478,5,-955.4479403333173,506.44897906097054,22.01952082873785,-2108.781238051296,-0.23381799833406736,,0.01875736959485074,85.18518518518519,0.2741538383597237,
ORB/$5/X0,TRAIN,697,13.150943396226415,-0.05834394655489556,0.06575743902146579,-0.12410138557636134,-2.430948930694581,39.62264150943396,41.509433962264154,4,-1282.1471014175495,-8649.866574672385,-163.20502971079972,-8991.937177289177,-0.23526683300420947,-0.16421709487485714,-0.09618631779200663,90.53084648493544,0.13415136048760293,
ORB/$5/X0,VAL,385,16.73913043478261,0.09624136734749325,0.06958979484175416,0.02665157250573908,0.3665238256580643,56.52173913043478,60.86956521739131,3,-712.1049298242942,1026.085541470955,44.612414846563254,-1873.9653994222108,-0.0801300569072536,,0.02665157250573908,89.35064935064935,0.18959087947827374,
ORB/$5/G3,TRAIN,680,12.830188679245284,-0.035949399556335616,0.07024151271856881,-0.10619091227490442,-1.302399565397229,35.84905660377358,43.39622641509434,6,-1630.2343165549198,-7220.982034693502,-136.2449440508208,-9458.699457211493,-0.38584712286049794,-0.2355950901472245,-0.015607987764280375,90.88235294117646,0.18025657674417134,
ORB/$5/G3,VAL,374,16.26086956521739,0.04479107466501785,0.07527749338308252,-0.030486418718064692,-0.3481067713089125,52.17391304347826,52.17391304347826,3,-1037.8117068914603,-1140.1920600556186,-49.573567828505155,-2517.698929958945,-0.28262223654720037,,-0.030486418718064692,89.83957219251337,0.23765592204460165,
BF/$20/X0,TRAIN,90,1.6981132075471699,-0.06018159646598607,0.06878805268204286,-0.1289696491480289,-0.9769308439711265,32.075471698113205,35.84905660377358,4,-330.69883297785145,-1160.72684233226,-21.900506459099248,-1696.1818279002196,-0.25264131377831545,-0.0456569225806381,-0.21228237571541972,91.11111111111111,0.3628485442996796,
BF/$20/X0,VAL,46,2.0,-0.13122824782127437,0.0693485754776372,-0.20057682329891158,-1.1684275575911585,30.434782608695656,39.130434782608695,4,-449.97794820067696,-922.6533871749932,-40.115364659782315,-1248.8778242788937,-0.35194958712222385,,-0.20057682329891158,91.30434782608695,0.5185195936463439,
BF/$20/G3,TRAIN,90,1.6981132075471699,0.06727495330168048,0.07271161194307114,-0.005436658641390675,-0.024707776411759454,30.18867924528302,33.9622641509434,4,-331.3589732385978,-48.92992777251604,-0.923206184387095,-2034.1853624189125,-0.38241346394685216,0.09881146453835249,-0.10968478182113385,91.11111111111111,0.6458107925780148,
