pond,rung,geom,split,n,sig,arm_b,bound_u,margin,t_margin,margin_h1,margin_h2,vs_u,t_u,cov_b,cov_u,mde
ORB,20.0,X0,TRAIN,195,0.004541231378565942,-0.07104803874273909,-0.08769564987647636,0.08629797909805367,0.8442164541294483,0.032359884883399505,0.12179569922222777,0.10447792256338047,1.0146297303590108,0.9948717948717949,0.9948717948717949,0.2566915332390546
ORB,20.0,X0,VAL,122,0.24322456029966225,0.02615275407353965,-0.012389322182331035,0.22288682738550494,1.8492818061469243,,0.22288682738550494,0.25326768657533666,2.0724229760596398,1.0,1.0,0.31427020319584353
ORB,20.0,G3,TRAIN,195,-0.03716346976362984,-0.03099009528858509,-0.043651063706280524,0.005181099135979109,0.03378853046636351,-0.09101329085088464,0.06848851818716294,0.02017477570484126,0.12805263348923293,0.9948717948717949,0.9948717948717949,0.3466389042754019
ORB,20.0,G3,VAL,122,0.31707224980485715,0.06728298131904147,0.057428559981566325,0.2568369864101085,1.867040356632907,,0.2568369864101085,0.2528845136227826,1.7714559622396422,1.0,1.0,0.3949793320326249
ORB,10.0,X0,TRAIN,437,-0.03626278059534666,-0.057339515378911174,-0.07116798880850012,0.024717943225726083,0.3730767973862951,-0.05133602746081461,0.07379427902722971,0.03874241459046455,0.5866557324798645,0.9977116704805492,0.9977116704805492,0.16746554913924647
ORB,10.0,X0,VAL,299,0.14252362700270516,0.014908119907996611,-0.005668702090282096,0.1310958606371192,1.8157730504406504,,0.1310958606371192,0.1467749732558585,1.8619084291146901,1.0,1.0,0.19590362827430008
ORB,10.0,G3,TRAIN,437,-0.027571507337315605,-0.013935668555997633,-0.010007188010736546,-0.010671326897579426,-0.12556347767220993,-0.1583568188450926,0.08462761318930646,-0.013831433533383135,-0.15244110167207264,0.9977116704805492,0.9977116704805492,0.2191503645724836
ORB,10.0,G3,VAL,299,0.24449843504413032,0.0771860554990689,0.06699870860210737,0.1717390587496079,1.4323361152523408,,0.1717390587496079,0.17513867126836674,1.3325752047528938,1.0,1.0,0.26918892391355276
ORB,5.0,X0,TRAIN,808,-0.08177687553335697,-0.07855067409941685,-0.06786693776259971,0.0009192189460907433,0.01928896665041743,-0.029747877098062613,0.021683398559319576,-0.009048067288134959,-0.19031610120219383,0.9962871287128713,0.9962871287128713,0.12297953035923556
ORB,5.0,X0,VAL,456,0.16204816692708104,0.01952045881452558,1.0103861756138413e-05,0.14689742973419964,2.2843977006551,,0.14689742973419964,0.16158887007459255,2.25205560398036,1.0,1.0,0.16428217487269048
