day,symbol,entry_m,rr_X0,why_X0,xm_X0,rr_G3,why_G3,xm_G3
2025-01-31,CIFR,633,-1.0235105957616966,stop,697,-1.0235105957616966,stop,697
2025-01-31,DYN,678,-1.0879285714285798,stop,684,-1.0879285714285798,stop,684
2025-01-31,OCC,706,-1.0395000000000019,stop,707,-1.0395000000000019,stop,707
2025-01-31,POET,582,-1.0355260900643346,stop,727,-1.0355260900643346,stop,727
2025-01-31,TSSI,767,-1.0456107466416735,stop,848,-1.0456107466416735,stop,848
2025-02-03,DUOT,712,2.0,target,840,2.2275000000000147,eod,894
2025-02-03,JG,598,-0.08974358974358998,eod,955,-0.08974358974358998,eod,955
2025-02-03,KC,578,-0.5347826086956522,eod,955,-0.5347826086956522,eod,955
2025-02-03,MP,580,-1.0212952380952371,stop,618,-1.0212952380952371,stop,618
2025-02-03,MVO,592,0.3805128205128213,eod,891,0.3805128205128213,eod,891
2025-02-03,TSLQ,618,-1.097481890307001,stop,622,-1.097481890307001,stop,622
2025-02-04,EHTH,765,-1.0775384615384636,stop,808,-1.0775384615384636,stop,808
2025-02-04,RGTIW,578,-1.0235868601370404,stop,603,-1.0235868601370404,stop,603
2025-02-05,ACB,577,0.7934782608695639,eod,955,0.7934782608695639,eod,955
2025-02-05,AMTM,778,-0.10810810810810552,eod,955,-0.10810810810810552,eod,955
2025-02-05,BBAI,577,2.0,target,661,4.0,eod,955
2025-02-05,BDMD,593,-1.028693424423568,stop,602,-1.028693424423568,stop,602
2025-02-05,DUOT,580,2.0,target,588,-1.0303841173931805,stop,634
2025-02-05,NGNE,579,2.0,target,704,1.880597014925373,eod,955
2025-02-05,RNAZ,603,0.15412113165151675,eod,900,0.15412113165151675,eod,900
2025-02-05,SSRM,587,-0.500000000000004,eod,955,-0.500000000000004,eod,955
2025-02-06,AMSC,577,1.0187827684989985,eod,955,1.0187827684989985,eod,955
2025-02-06,CPIX,579,2.0,target,784,0.48766328011611165,eod,900
2025-02-06,GRRR,577,1.2179487179487152,eod,955,1.2179487179487152,eod,955
2025-02-06,HSAI,593,2.0,target,622,0.884615384615387,eod,955
2025-02-06,PCLA,577,-0.1666666666666674,eod,900,-0.1666666666666674,eod,900
2025-02-06,PTON,577,-1.0140179715580573,stop,593,-1.0140179715580573,stop,593
2025-02-07,ARWR,579,-1.4390954621338654,stop,601,-1.4390954621338654,stop,601
2025-02-07,BYRN,625,-1.0303030303030316,stop,654,-1.0303030303030316,stop,654
2025-02-07,PGY,577,-0.594841005114521,eod,930,-0.594841005114521,eod,930
2025-02-10,CENX,589,-1.0336612903225786,stop,629,-1.0336612903225786,stop,629
2025-02-10,CLF,754,-1.0806896551724088,stop,884,-1.0806896551724088,stop,884
2025-02-10,CSAI,733,2.0,target,800,8.370143731322042,eod,955
2025-02-10,DUOT,622,-1.0170849146110048,stop,635,-1.0170849146110048,stop,635
2025-02-10,GRRR,580,-0.03271383545266912,eod,955,-0.03271383545266912,eod,955
2025-02-10,HSAI,581,-1.0218965517241378,stop,585,-1.0218965517241378,stop,585
2025-02-10,PDYN,577,0.8048780487804869,eod,955,0.8048780487804869,eod,955
2025-02-10,SKBL,582,2.0,target,589,5.616257088846895,eod,955
2025-02-10,SUUN,611,2.0,target,838,4.85714285714286,eod,955
2025-02-11,CSAI,580,-1.0181111111111096,stop,584,-1.0181111111111096,stop,584
2025-02-11,QNTM,585,-1.0224821428571418,stop,600,-1.0224821428571418,stop,600
2025-02-11,SPCB,578,0.14866926597728408,eod,895,0.14866926597728408,eod,895
2025-02-12,CSAI,775,0.334312792285726,eod,955,0.334312792285726,eod,955
2025-02-12,PCLA,833,-0.3400000000000034,eod,899,-0.3400000000000034,eod,899
2025-02-13,CSAI,590,2.0,target,607,15.96296296296299,eod,955
2025-02-13,EHTH,727,0.200000000000001,eod,955,0.200000000000001,eod,955
2025-02-13,GRRR,590,-1.0183134264841482,stop,783,-1.0183134264841482,stop,783
2025-02-13,INLF,609,2.0,target,665,6.896039603960381,eod,955
2025-02-13,OPRT,581,-1.0183,stop,588,-1.0183,stop,588
2025-02-13,RBBN,577,-1.0239047619047619,stop,578,-1.0239047619047619,stop,578
2025-02-13,SKBL,595,-1.0363749999999996,stop,613,-1.0363749999999996,stop,613
2025-02-13,TSLL,622,-1.0864293170943824,stop,670,-1.0864293170943824,stop,670
2025-02-13,TSLT,639,-1.089129032258059,stop,665,-1.089129032258059,stop,665
2025-02-14,APLD,624,1.5106382978723458,eod,955,1.5106382978723458,eod,955
2025-02-14,CVRX,676,-1.0689545454545428,stop,697,-1.0689545454545428,stop,697
