day,symbol,entry_m,ctrl,dist,pond
2025-01-10,NTCL,600,DUOT,0.44071438878047053,BF
2025-01-10,NTCL,600,MNTS,0.46913068921103296,BF
2025-01-10,NTCL,600,CVU,0.5124317610619844,BF
2025-01-10,NTCL,600,OCC,0.5550467381693784,BF
2025-01-10,NTCL,600,AIRI,0.5789778506105281,BF
2025-01-10,NTCL,600,GPUS,0.579506319338261,BF
2025-01-10,NTCL,600,FUFU,0.5981038844144311,BF
2025-01-10,NTCL,600,EUDA,0.6165707545075265,BF
2025-01-10,NTCL,600,CNVS,0.6982648774878453,BF
2025-01-10,NTCL,600,WYHG,0.7011254671758769,BF
2025-01-10,NTCL,600,MIND,0.7221064845905252,BF
2025-01-10,NTCL,600,SRZN,0.7369123790006524,BF
2025-01-13,COEP,721,EHTH,0.46811244376571315,BF
2025-01-13,COEP,721,SPHL,0.4764525003140576,BF
2025-01-13,COEP,721,EWCZ,0.5212736253948469,BF
2025-01-13,COEP,721,PACS,0.588583688084261,BF
2025-01-13,COEP,721,MOB,0.693828620496121,BF
2025-01-13,COEP,721,XXII,0.8204449027152476,BF
2025-01-13,COEP,721,INLF,0.8348330907579207,BF
2025-01-13,COEP,721,NTCL,0.8399193404512126,BF
2025-01-13,COEP,721,COGT,0.8577646483594181,BF
2025-01-13,COEP,721,MIND,0.9111846559877304,BF
2025-01-13,COEP,721,GRAL,0.9168687262513799,BF
2025-01-13,COEP,721,CMTL,0.9217254988998178,BF
2025-01-13,PHIO,577,HOUR,0.3558189197403582,BF
2025-01-13,PHIO,577,XNET,0.46672374187372156,BF
2025-01-13,PHIO,577,AQMS,0.5161826395052452,BF
2025-01-13,PHIO,577,TRNR,0.6948560023912898,BF
2025-01-13,PHIO,577,CATO,0.8379700738591833,BF
2025-01-13,PHIO,577,HTCO,0.8728586886991614,BF
2025-01-13,PHIO,577,BFRG,0.9978167204922708,BF
2025-01-13,PHIO,577,WYHG,1.021641325587043,BF
2025-01-13,PHIO,577,GPUS,1.025890130227297,BF
2025-01-13,PHIO,577,CNVS,1.053950061025198,BF
2025-01-13,PHIO,577,RADX,1.11476283139424,BF
2025-01-13,PHIO,577,SYNX,1.1750691773351787,BF
2025-01-15,GRAL,737,AXGN,0.1706570243712635,BF
2025-01-15,GRAL,737,CSTL,0.34134999004802324,BF
2025-01-15,GRAL,737,STAA,0.36837136303057916,BF
2025-01-15,GRAL,737,ARQQ,0.3792191784988237,BF
2025-01-15,GRAL,737,SEI,0.5455000878933043,BF
2025-01-15,GRAL,737,STFS,0.6785619900292805,BF
2025-01-15,GRAL,737,TSSI,1.0531916507846768,BF
2025-01-15,GRAL,737,RIGL,1.0597947446872285,BF
2025-01-15,GRAL,737,NGNE,1.0885286256765774,BF
2025-01-15,GRAL,737,EHTH,1.1314098717957437,BF
2025-01-15,GRAL,737,CVRX,1.1397806853722048,BF
2025-01-15,GRAL,737,COEP,1.150576303360971,BF
2025-01-15,WKEY,581,COGT,0.3789769886993055,BF
2025-01-15,WKEY,581,BDMD,0.43413264041220767,BF
2025-01-15,WKEY,581,DTIL,0.6057693429688364,BF
2025-01-15,WKEY,581,TSSI,0.9980138701693315,BF
2025-01-15,WKEY,581,EWCZ,1.087735605593597,BF
2025-01-15,WKEY,581,SEAT,1.1662720241304148,BF
2025-01-15,WKEY,581,SPCB,1.335919184184382,BF
2025-01-15,WKEY,581,STFS,1.3726435309247278,BF
2025-01-15,WKEY,581,CMTL,1.4414607042231655,BF
2025-01-15,WKEY,581,GRRR,1.4785508549461723,BF
2025-01-15,WKEY,581,COEP,1.6279586356141795,BF
2025-01-15,WKEY,581,BAOS,1.6476366559264226,BF
2025-01-15,XXII,591,SPCB,0.6489631369749496,BF
2025-01-15,XXII,591,DTIL,0.761552336276093,BF
2025-01-15,XXII,591,GRRR,0.7915948077367398,BF
2025-01-15,XXII,591,LESL,1.2563759610144414,BF
2025-01-15,XXII,591,COGT,1.3638588225020283,BF
2025-01-15,XXII,591,BDMD,1.469921442195323,BF
2025-01-15,XXII,591,EWCZ,1.7746916528030294,BF
2025-01-15,XXII,591,SEAT,1.8532280713398472,BF
2025-01-15,XXII,591,TSSI,2.033802671952447,BF
2025-01-15,XXII,591,CMTL,2.128416751432598,BF
2025-01-15,XXII,591,BAOS,2.334592703135855,BF
2025-01-15,XXII,591,STFS,2.408432332707843,BF
2025-01-16,ARQQ,577,STFS,0.3790407579745554,BF
2025-01-16,ARQQ,577,GRAL,0.5079793859255228,BF
2025-01-16,ARQQ,577,TSSI,0.6414833576173216,BF
2025-01-16,ARQQ,577,EWCZ,1.307238607173294,BF
2025-01-16,ARQQ,577,BDMD,1.3872647812014276,BF
2025-01-16,ARQQ,577,COGT,1.4245666357398323,BF
2025-01-16,ARQQ,577,CVRX,1.5442432617283401,BF
2025-01-16,ARQQ,577,COEP,1.6673349644421194,BF
2025-01-16,ARQQ,577,NGNE,1.6740407081150326,BF
2025-01-16,ARQQ,577,WKEY,1.676573601198284,BF
2025-01-16,ARQQ,577,EHTH,1.700369730917814,BF
2025-01-16,ARQQ,577,LENZ,1.777488867376075,BF
2025-01-16,KLXE,693,RADX,0.054456406259730805,BF
2025-01-16,KLXE,693,MNTS,0.18993388793971167,BF
2025-01-16,KLXE,693,TBI,0.3221825003737522,BF
2025-01-16,KLXE,693,SYNX,0.3235864364564718,BF
2025-01-16,KLXE,693,OCC,0.3249718423821679,BF
2025-01-16,KLXE,693,CVU,0.3479394979080146,BF
2025-01-16,KLXE,693,DUOT,0.37907167267256137,BF
2025-01-16,KLXE,693,WYHG,0.42800585797660884,BF
