day,symbol,entry_m,break_m,level,open_px,next_open,dist_open_pct,rv_profile,adv20,cumv,cum_dollar,bar_vol,n_break,n_prior,fill_capped,stop_n,r_pct_n,rr_n,why_n,exit_m_n,hod_age_bars,rng_sig,rng_day,consol_bars,touch_n,split,wk,spread_mean,ask_dec,bid_dec,adv_dollar,med_rng,day_range_pct,spy_r5_pct,rng_after,dollar_frac,price,r_pct,rr,why,exit_m,stop,imputed,sp_pct,sp_band,net,netb,notional,obtainable,prev_close_p,adv20_p,advd_p,gap_pct_p,age_p,open_p,in_ORB,in_BF,in_UNION,half
2025-01-10,BG,727,726,81.43,77.53,81.725,5.030310847413921,1.7044968442452562,1114258.8,780592.0,61884143.11086665,24057.0,0,0,1,80.44,1.5723462832670505,-0.400778210116733,eod,955,1,5.701018960402427,6.1008641816071245,44,2,TRAIN,2025-01-04/2025-01-10,0.1608021390374352,81.85,81.6,,,6.1008641816071245,-0.1194783914794883,0.39984522120469723,,81.725,1.5723462832670505,-0.400778210116733,eod,955,80.44,False,0.19676003553066407,0.19676003553066407,-0.48912553319877927,-0.48912553319877927,6359.922178988343,True,,,,,,,False,False,False,H1
2025-01-10,CDZI,587,586,5.41,5.0,5.37,8.200000000000006,17.73782288574527,407853.4,368956.0,1938136.1319000004,23670.0,0,0,1,5.24,2.420856610800743,-1.04030769230769,stop,590,15,10.600000000000003,12.599999999999998,5,2,TRAIN,2025-01-04/2025-01-10,,,,,,12.599999999999998,-0.1194783914794883,1.9999999999999947,,5.37,2.420856610800743,-1.04030769230769,stop,590,5.24,True,0.3445844843462233,0.6433480909047132,-1.1737513471831145,-1.2894504265498758,4130.769230769234,True,4.665,407853.4,2088209.408,7.181136120042872,3.0,5.0,True,False,True,H1
2025-01-10,CEG,577,576,297.63,282.49,297.6,5.35948175156642,12.820237508981265,4954760.0,1270424.0,368329993.46973336,175730.0,0,0,1,283.66,4.684139784946235,0.5308464849354361,eod,955,1,6.679882473715885,10.573825622145918,4,1,TRAIN,2025-01-04/2025-01-10,,,,,,10.573825622145918,-0.1194783914794883,3.893943148430033,,297.6,4.684139784946235,0.5308464849354361,eod,955,283.66,True,0.5072463755233821,1.0691322165629507,0.454393612570181,0.3697054047056737,2134.863701578193,True,243.84,4954760.0,1512143204.4,15.850557742782154,4.0,282.49,False,False,False,H1
2025-01-10,DAL,586,585,68.6,64.99,68.915,5.554700723188177,10.385678006025884,9128026.6,4834838.0,323101217.4796,236206.0,0,0,1,67.07,2.677211057099344,-1.0363523035230355,stop,603,1,6.893214340667797,6.893214340667797,10,1,TRAIN,2025-01-04/2025-01-10,,,,,,6.893214340667797,-0.1194783914794883,0.0,,68.915,2.677211057099344,-1.0363523035230355,stop,603,67.07,True,0.40145574883899976,0.6697110692665457,-1.176933212726488,-1.270870282885351,3735.230352303497,True,,,,,,,False,False,False,H1
2025-01-10,DAR,579,578,36.62,33.77,36.45,8.43944329286348,9.504097289315697,1811734.4,344378.0,12154240.771666666,36385.0,0,0,1,34.55,5.212620027434857,-0.1263157894736848,eod,955,1,8.469055374592832,9.830915013325429,1,1,TRAIN,2025-01-04/2025-01-10,,,,,,9.830915013325427,-0.1194783914794883,1.3618596387325965,,36.45,5.212620027434857,-0.1263157894736848,eod,955,34.55,True,0.5784417395999699,0.6867446339145901,-0.20466024312812534,-0.2193288441356208,1918.4210526315733,True,,,,,,,False,False,False,H1
2025-01-10,FBL,790,789,37.3,35.51,37.39,5.040833568009018,1.7133071699471094,611850.2,554544.0,19847933.37723332,841.0,0,0,1,36.925,1.2436480342337617,-1.0794086021505296,stop,907,1,8.983384961982534,10.644888763728533,37,3,TRAIN,2025-01-04/2025-01-10,0.0396487603305779,37.32,37.28,,,10.632911392405067,-0.1194783914794883,1.661503801745999,,37.39,1.2436480342337617,-1.0794086021505296,stop,907,36.925,False,0.10604108138694275,0.10604108138694275,-1.159345618946049,-1.159345618946049,8040.860215053704,True,36.57,611850.2,22204043.757999998,-2.7891714520098527,3.0,35.55,False,False,False,H1
2025-01-10,IONQ,788,787,33.84,31.99,33.763,5.783057205376707,1.756512531207726,45991149.4,42734752.0,1353467508.2295003,122358.0,0,0,1,33.36,1.193614311524446,-1.0827791563275482,stop,795,38,16.817755548608936,17.098780869021567,66,3,TRAIN,2025-01-04/2025-01-10,0.0221266233766235,33.8,33.76,,,17.098780869021567,-0.1194783914794883,0.2810253204126312,,33.763,1.193614311524446,-1.0827791563275482,stop,795,33.36,False,0.06553512240210735,0.06553512240210735,-1.1342523806838374,-1.1342523806838374,8377.91563275437,True,30.25,45991149.4,1486893860.1019998,5.752066115702474,5.0,31.99,False,False,False,H1
2025-01-10,IREN,779,778,11.09,10.53,11.095,5.318138651471993,1.0871827679402737,14837476.4,6629861.0,70203941.67966668,70760.0,0,0,1,10.92,1.577287066246063,-1.0624000000000025,stop,796,1,8.641975308641978,8.925925925925924,49,2,TRAIN,2025-01-04/2025-01-10,,,,,,8.925925925925924,-0.1194783914794883,0.28395061728394566,,11.095,1.577287066246063,-1.0624000000000025,stop,796,10.92,True,0.16903424310970952,0.44884291012276883,-1.1628697282483356,-1.329181004704222,6339.999999999974,True,10.51,14837476.4,163212240.4,0.1902949571836306,5.0,10.53,False,False,False,H1
2025-01-10,LAES,586,585,6.02,5.71,5.99,5.429071803852881,1.8575409277137165,68539877.4,6493097.0,36333524.04546667,939554.0,0,0,1,5.29,11.686143572621036,-0.2071428571428577,eod,900,1,15.58669001751313,20.140105078809096,0,1,TRAIN,2025-01-04/2025-01-10,,,,,,20.140105078809096,-0.1194783914794883,4.553415061295967,,5.99,11.686143572621036,-0.2071428571428577,eod,900,5.29,True,0.3445844843462233,0.6433480909047132,-0.2279603872747308,-0.24600972107929453,855.7142857142856,True,5.275,68539877.4,392733497.50200003,8.246445497630324,5.0,5.71,True,False,True,H1
2025-01-10,LAZR,628,627,7.892,7.5,7.83,5.226666666666668,1.25616397769717,5858549.6,713852.0,5410630.998833336,11204.0,0,0,1,7.63,2.554278416347384,-1.038149999999999,stop,827,1,8.12,10.385333333333335,6,1,TRAIN,2025-01-04/2025-01-10,,,,,,10.385333333333335,-0.1194783914794883,2.265333333333336,,7.83,2.554278416347384,-1.038149999999999,stop,827,7.63,True,0.3445844843462233,0.4993161693097635,-1.1646232740201987,-1.221414637766973,3914.9999999999964,True,7.83,5858549.6,43353267.04,-4.214559386973181,5.0,7.5,False,False,False,H1
2025-01-10,MCY,604,603,51.72,48.77,51.36,6.048800492105788,24.27189475716692,403581.2,950181.0,46151201.10206666,9425.0,0,0,1,50.13,2.394859813084106,-1.0651219512195136,stop,614,1,10.64178798441666,10.64178798441666,12,1,TRAIN,2025-01-04/2025-01-10,,,,,,10.64178798441666,-0.1194783914794883,0.0,,51.36,2.394859813084106,-1.0651219512195136,stop,614,50.13,True,0.3168469458351389,0.5508692276564522,-1.1891559385525379,-1.2807671000947838,4175.609756097571,True,60.7,403581.2,19626153.756,-19.654036243822073,1.0,48.77,False,False,False,H1
2025-01-10,METU,791,790,37.65,35.85,37.76,5.020920502092041,2.612909065025812,383492.2,530074.0,19269833.939500004,2413.0,0,0,1,37.35,1.0858050847457537,-1.0910975609756193,stop,863,1,9.311018131101816,10.6834030683403,41,4,TRAIN,2025-01-04/2025-01-10,0.0332951289398279,37.7,37.67,,,10.701313215982115,-0.1194783914794883,1.3723849372384844,,37.76,1.0858050847457537,-1.0910975609756193,stop,863,37.35,False,0.08817565926861204,0.08817565926861204,-1.167229715563641,-1.167229715563641,9209.756097561052,True,36.88,383492.2,14031979.598000001,-2.9555314533622647,3.0,35.79,False,False,False,H1
2025-01-10,MSTZ,612,611,19.959,18.98,20.0088,5.158061116965218,1.9161864560046824,21830296.0,4057599.0,77647461.43793333,154648.0,0,0,1,19.5129,2.478409499820091,-1.0393484573502694,stop,621,2,8.956796628029519,11.379346680716546,8,3,TRAIN,2025-01-04/2025-01-10,0.0217950138504155,20.01,20.0,,,11.379346680716546,-0.1194783914794883,2.4225500526870274,,20.0088,2.478409499820091,-1.0393484573502694,stop,621,19.5129,False,0.10892714130990114,0.10892714130990114,-1.080551977182422,-1.080551977182422,4034.8457350272033,True,18.58,21830296.0,415867138.8,2.152852529601734,5.0,18.98,False,False,False,H1
2025-01-10,NTCL,600,597,7.69,7.29,7.699,5.4869684499314175,6.8612887220250265,124940.8,43720.0,319463.6365,1174.0,0,0,1,7.3098,5.055201974282372,-1.018781603288797,stop,603,16,12.071330589849106,19.89026063100137,1,1,TRAIN,2025-01-04/2025-01-10,,,,,,19.890260631001375,-0.1194783914794883,7.8189300411522655,,7.699,5.055201974282372,-1.018781603288797,stop,603,7.3098,True,0.3445844843462233,0.6433480909047132,-1.0826856679964083,-1.1380921349533186,1978.1603288797546,True,6.69,124940.8,875835.008,8.968609865470846,4.0,7.29,False,True,True,H1
2025-01-10,QBTS,636,635,6.72,6.34,6.6599,5.993690851735023,1.748158954014315,93805768.2,30829630.0,190928903.0459668,477487.0,0,0,1,6.47,2.8513941650775627,-1.0340705634544507,stop,651,1,15.299684542586748,15.930599369085172,5,1,TRAIN,2025-01-04/2025-01-10,,,,,,16.40378548895899,-0.1194783914794883,0.6309148264984241,,6.6599,2.8513941650775627,-1.0340705634544507,stop,651,6.47,True,0.3445844843462233,0.4993161693097635,-1.147365301176479,-1.1982389953258015,3507.05634544496,True,6.1,93805768.2,541259282.5139999,3.9344262295082006,5.0,6.34,False,False,False,H1
