day,symbol,m,sp_mean,sp_med,mid_med,n_q,err
2025-01-10,TKNO,618,0.09538461538461541,0.09000000000000163,8.145,65,
2025-01-10,TKNO,619,0.12352941176470533,0.11999999999999922,8.219999999999999,17,
2025-01-21,TVTX,691,0.04063953488372063,0.03999999999999915,19.365000000000002,172,
2025-01-21,TVTX,694,0.0367142857142861,0.03999999999999915,19.380000000000003,140,
2025-01-24,PCRX,894,0.06357142857142886,0.07000000000000028,25.245,14,
2025-01-24,RRGB,665,0.014560000000000045,0.010000000000000675,6.345,125,
2025-01-28,BOOM,815,0.02531250000000057,0.02000000000000135,8.379999999999999,32,
2025-01-28,BOOM,816,0.03864864864864864,0.02999999999999936,8.425,37,
2025-02-03,FETH,889,0.022515952597994358,0.019999999999999574,27.705,1097,
2025-02-04,SLAB,697,0.4847222222222164,0.4899999999999949,133.33499999999998,36,
2025-02-06,DAVE,610,0.8738461538461587,0.8800000000000097,110.07,26,
2025-02-06,DAVE,615,1.161272727272724,1.25,110.16,55,
2025-02-06,SIMO,769,0.36749999999999794,0.36499999999999844,56.75749999999999,8,
2025-02-10,PONY,649,0.034421296296296255,0.030000000000001137,14.865,432,
2025-02-10,PONY,652,0.045111111111111095,0.040000000000000924,14.955,360,
2025-02-12,PZZA,863,0.05695652173912837,0.04999999999999716,43.265,23,
2025-02-12,PZZA,944,0.05258064516129247,0.05000000000000426,43.425,31,
2025-02-14,STVN,955,0.03250000000000153,0.030000000000001137,19.515,36,
2025-02-26,XPEL,738,0.11302816901408484,0.15000000000000213,34.63,142,
2025-02-26,XPEL,741,0.41674157303370646,0.22000000000000597,34.8,89,
2025-02-27,PRVA,627,0.09700000000000036,0.10000000000000142,25.915,30,
2025-02-27,VSEC,829,0.659268292682929,0.6700000000000017,116.68,41,
2025-02-28,AMCX,878,0.015348837209302142,0.019999999999999574,7.3,43,
2025-03-05,AAON,847,0.08964285714285378,0.06999999999999318,82.21000000000001,28,
2025-03-06,HIPO,664,0.3224705882352942,0.3200000000000003,35.17,85,
2025-03-06,M,606,0.014149068322981706,0.010000000000001563,13.375,805,
2025-03-07,WLDN,830,0.140952380952381,0.14000000000000057,40.849999999999994,21,
2025-03-07,WLDN,833,0.14399999999999835,0.11999999999999744,40.94,5,
2025-03-10,CBRL,607,0.49825396825396656,0.529999999999994,46.355000000000004,63,
2025-03-11,TDS,906,0.028301886792452897,0.030000000000001137,34.652499999999996,106,
2025-03-12,MOMO,610,0.011054131054131,0.009999999999999787,6.985,351,
2025-03-12,MOMO,611,0.01172881355932194,0.009999999999999787,6.985,295,
2025-03-13,AEO,614,0.015269121813030835,0.019999999999999574,11.5,353,
2025-03-13,S,655,0.01743099787685803,0.019999999999999574,19.175,471,
2025-04-02,JELD,800,0.011885964912280476,0.009999999999999787,6.135,228,
2025-04-04,BLDR,828,0.3981690140845066,0.35999999999999943,123.92500000000001,71,
2025-04-04,BLDR,829,0.45895833333333513,0.4900000000000091,124.315,48,
2025-04-09,BAH,931,0.2576315789473632,0.28000000000000114,108.41,114,
2025-04-09,DLTR,915,0.10759530791788981,0.12000000000000455,72.76,341,
