month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,2,33.33333333333333,7,505.01487129099945,-225.77034417390504,429.4338102820943,429.4338102820943,-225.77034417390507
2025-02,8,2,3,25.0,9,500.1774220719993,-161.37595614000006,516.277811663464,945.7116219455584,-161.37595614000006
2025-03,4,3,0,75.0,5,263.7978520998804,0.0,615.7673939658005,1561.4790159113588,0.0
2025-04,3,2,0,66.66666666666666,3,269.4972584210003,0.0,438.61515045204055,2000.0941663633994,0.0
2025-05,4,2,2,50.0,6,839.7509253909777,-126.62018529761879,919.1068748700525,2919.201041233452,-85.8008332869257
2025-06,6,2,3,33.33333333333333,11,360.3002762280532,-170.17567301571384,334.7526921046963,3253.9537333381486,-203.19154661571386
2025-07,6,2,2,33.33333333333333,6,191.87419483661313,-100.673219264252,227.80578427902898,3481.7595176171776,-113.96573659758499
2025-08,3,1,1,33.33333333333333,3,211.66520588800034,-95.15629583035704,116.5089100576433,3598.268427674821,-95.15629583035704
2025-09,9,2,6,22.22222222222222,16,539.4333706097074,-124.78120000000035,229.270814861046,3827.539242535867,-393.41471849599736
2025-10,6,3,1,50.0,10,783.8553425762927,-14.534010186666674,1397.0177830956266,5224.557025631493,-14.534010186666706
2025-11,7,2,4,28.57142857142857,14,498.96699957239844,-422.60733895999897,-1.9186976140748584,5222.638328017419,-500.8856971864733
2025-12,9,3,4,33.33333333333333,15,472.56401291720044,-295.51462905333284,-44.26406658822626,5178.374261429192,-318.51369199999914
2026-01,8,3,4,37.5,12,450.120205278,-262.94753527301725,-54.829692664823455,5123.544568764369,-295.58222142714175
2026-02,9,3,3,33.33333333333333,13,352.4721771840003,-337.6383531424998,453.37431281816765,5576.918881582536,-349.6295743424998
2026-03,8,5,2,62.5,9,665.3467078933325,-123.51949999999957,1755.8140404855735,7332.7329220681095,-158.4733174999992
2026-04,12,2,6,16.666666666666664,13,307.1721937933335,-117.71174701000037,116.42491501781078,7449.157837085921,-352.76095650285663
2026-05,5,1,3,20.0,6,230.5584310656665,-132.89920121988067,43.39245984578651,7492.550296931707,-136.40444855321357
2026-06,11,4,3,36.36363636363637,16,291.37852717666567,-239.36570079999998,490.33255473799886,7982.882851669706,-239.3657008
2026-07,12,5,6,41.66666666666667,20,831.0254738450338,-282.03891333333274,631.8975227884084,8614.780374458114,-515.4667187533304
2026-08,12,3,4,25.0,17,365.16637943070697,-121.16225066666613,410.1511779190432,9024.931552377158,-169.49083866666592
2026-09,4,0,3,0.0,4,0.0,-107.24834999999975,-147.98746599999902,8876.94408637716,-40.73911599999927
