day,symbol,entry_m,rr,why
2025-01-24,GRAL,594,0.2318355263157899,pp+stop
2025-01-24,GDS,596,0.2295132743362821,pp+stop
2025-01-24,NBIS,602,1.25,pp+target
2025-01-24,NEE,608,0.20566666666666888,pp+stop
2025-01-24,PCRX,614,0.21034789644012697,pp+stop
2025-01-24,IONQ,629,0.22896376811593955,pp+stop
2025-01-24,CYTK,652,0.21940243902439396,pp+stop
2025-01-24,BE,659,0.204718749999999,pp+stop
2025-01-24,OKLO,681,0.22267307692307528,pp+stop
2025-01-24,PSIX,703,0.23411940298507403,pp+stop
2025-01-24,NVD,717,1.2500000000000027,pp+target
2025-01-24,AOSL,728,-1.0542297297297272,stop
2025-01-27,JANX,582,0.2322961538461546,pp+stop
2025-01-27,SWTX,584,0.2209846153846179,pp+stop
2025-01-27,TMDX,585,0.2212050691244245,pp+stop
2025-01-27,ASAN,588,1.2500000000000018,pp+target
2025-01-27,MDB,607,1.25,pp+target
2025-01-27,WEBL,611,1.2499999999999976,pp+target
2025-01-27,DDOG,624,-1.0642107623318406,stop
2025-01-27,MNDY,641,-1.087432525951557,stop
2025-01-27,TREE,642,-1.2924975180825322,stop
2025-01-27,FOA,681,-0.02811151079136992,pp+stop
2025-01-27,SOXS,689,0.20560594419733383,pp+stop
2025-01-27,PRCT,708,-1.0858956838628804,stop
2025-01-28,JXN,601,-1.0814873949579824,stop
2025-01-28,RDDT,601,0.21459124087590936,pp+stop
2025-01-28,CRWD,603,1.25,pp+target
2025-01-28,ETSY,603,-1.0788661971831026,stop
2025-01-28,NCLH,610,-1.0722631578947406,stop
2025-01-28,DDOG,620,0.20393597560975762,pp+stop
2025-01-28,ASAN,621,1.2500000000000036,pp+target
2025-01-28,KVYO,628,0.22436871508379874,pp+stop
2025-01-28,APPN,654,0.21169672131147232,pp+stop
2025-01-28,SNOW,661,-1.0743119999999977,stop
2025-01-28,LAKE,722,0.5511363636363658,pp+eod
2025-01-29,GRAL,582,-1.0615555555555543,stop
2025-01-29,OKLO,586,1.25,pp+target
2025-01-29,NNE,587,0.23558482810164233,pp+stop
2025-01-29,PGR,588,0.20400460405156928,pp+stop
2025-01-29,VBTX,590,0.2228526315789447,pp+stop
2025-01-29,CAVA,603,0.4056016597510405,pp+eod
2025-01-29,DAVE,605,-1.0555498044628433,stop
2025-01-29,NVD,643,0.22405179615705767,pp+stop
2025-01-29,LB,697,0.22069565217391043,pp+stop
2025-01-29,NVDS,782,0.2220312500000023,pp+stop
2025-01-30,KEX,578,1.2500000000000022,pp+target
2025-01-30,TSDD,579,0.23852201257861602,pp+stop
2025-01-30,RDW,586,-1.0602307692307664,stop
2025-01-30,TSLQ,586,1.25,pp+target
2025-01-30,SMTC,595,-1.0695263157894779,stop
2025-01-30,DGX,601,-1.0901639344262246,stop
2025-01-30,AAOI,604,0.17553260869565246,pp+stop
2025-01-30,VST,611,1.2499999999999973,pp+target
2025-01-30,BABX,627,1.25,pp+target
2025-01-30,ALGM,647,-1.0793559322033848,stop
2025-01-30,MBUU,689,-1.0504606060606037,stop
2025-01-30,GCT,690,0.22839523809523882,pp+stop
2025-01-31,PTIR,586,1.250000000000003,pp+target
2025-01-31,TSLT,586,0.20235387724172538,pp+stop
2025-01-31,CRDO,593,1.25,pp+target
2025-01-31,PLTU,593,0.2241190102120963,pp+stop
