day,symbol,entry_m,entry,stop,price,rr_E0,xm_E0,why_E0,rr_E1a,xm_E1a,why_E1a,rr_E1b,xm_E1b,why_E1b,rr_E1c,xm_E1c,why_E1c,rr_E1d,xm_E1d,why_E1d,rr_E2a,xm_E2a,why_E2a,rr_E2b,xm_E2b,why_E2b,rr_E2c,xm_E2c,why_E2c,rr_E3,xm_E3,why_E3,rr_E4a,xm_E4a,why_E4a,rr_E4b,xm_E4b,why_E4b,rr_E5,xm_E5,why_E5
2025-01-10,BG,727,81.725,80.44,81.725,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.40077821011673304,955,eod,-0.6108949416342402,742,time_stop,-0.5175097276264543,757,time_stop,-0.40077821011673304,955,eod
2025-01-10,BLBD,593,41.48,40.7,41.48,-0.0384615384615311,955,eod,0.49999999999999545,617,target,0.7499999999999977,618,target,1.0,619,target,1.5000000000000047,833,target,0.22341025641025397,638,pp+stop,0.47341025641025625,638,pp+stop,0.7170064102564156,950,pp+stop,0.8576410256410303,620,pp+stop,-0.5769230769230759,608,time_stop,-0.0384615384615311,955,eod,-0.05317948717948753,638,stop
2025-01-10,FBL,790,37.39,36.925,37.39,-1.0794086021505296,907,stop,0.5,809,target,0.75,817,target,1.0,829,target,-1.0794086021505296,907,stop,0.2097956989247293,845,pp+stop,0.45979569892472927,845,pp+stop,-1.0794086021505296,907,stop,0.7471424731182741,841,pp+stop,0.38709677419354493,805,time_stop,-1.0794086021505296,907,stop,-0.08040860215054142,845,stop
2025-01-10,FTAI,622,176.74,174.42,176.74,2.0,837,target,0.5000000000000061,623,target,0.7499999999999969,623,target,1.0,624,target,1.4999999999999938,710,target,0.21190948275862512,636,pp+stop,0.4619094827586221,636,pp+stop,1.749999999999997,837,pp+target,0.8516056034482729,625,pp+stop,0.2693965517241354,637,time_stop,2.0,837,target,-0.07618103448275586,636,stop
2025-01-10,IONQ,788,33.763,33.36,33.763,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop,-1.0827791563275482,795,stop
2025-01-10,IRTC,788,95.225,94.2,95.225,2.0,842,target,0.49999999999999306,808,target,0.7500000000000034,813,target,1.0,818,target,1.5000000000000069,818,target,1.2499999999999964,842,pp+target,1.5,842,pp+target,1.7500000000000036,842,pp+target,1.0687865853658691,827,pp+stop,-0.22926829268292817,803,time_stop,2.0,842,target,-0.11239512195122348,878,stop
2025-01-10,LFVN,637,22.2,21.745,22.2,0.512967032967034,900,eod,0.5,652,target,0.75,652,target,1.0,652,target,0.512967032967034,900,eod,0.2256043956043938,662,pp+stop,0.4756043956043938,662,pp+stop,0.512967032967034,900,eod,0.7527994505494529,654,pp+stop,0.31868131868131894,652,time_stop,0.20879120879121488,667,time_stop,-0.04879120879121238,662,stop
2025-01-10,MEG,621,22.19,21.31,22.19,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,-0.5909090909090887,955,eod,0.0909090909090887,636,time_stop,0.03409090909090624,651,time_stop,-0.5909090909090887,955,eod
2025-01-10,METU,791,37.76,37.35,37.76,-1.0910975609756193,863,stop,0.5,809,target,0.75,816,target,1.0,820,target,-1.0910975609756193,863,stop,0.20395121951219636,845,pp+stop,0.45395121951219636,845,pp+stop,-1.0910975609756193,863,stop,0.7056504878048853,828,pp+stop,0.195121951219527,806,time_stop,-1.0910975609756193,863,stop,-0.09209756097560731,845,stop
2025-01-10,MRUS,692,44.11,43.36,44.11,2.0,727,target,0.5,700,target,0.75,704,target,1.0,705,target,1.5,726,target,1.25,727,pp+target,1.5,727,pp+target,1.75,727,pp+target,1.4263033333333368,734,pp+stop,2.0,727,target,2.0,727,target,-0.0588133333333379,900,stop
2025-01-10,MSTZ,612,20.0088,19.5129,20.0088,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop,-1.0393484573502694,621,stop
2025-01-10,OS,679,27.58,27.21,27.58,2.0,800,target,0.5,703,target,0.7499999999999952,716,target,1.0,716,target,1.5,756,target,1.25,800,pp+target,1.5,800,pp+target,1.75,800,pp+target,1.1107297297297345,756,pp+stop,-0.08108108108107512,694,time_stop,0.3513513513513607,709,time_stop,-0.07454054054054209,865,stop
2025-01-10,PSMT,580,88.02,86.4,88.02,1.1851851851851933,955,eod,0.4999999999999956,584,target,0.7499999999999978,585,target,1.0,592,target,1.5000000000000044,623,target,0.8425925925925944,955,pp+eod,1.0925925925925966,955,pp+eod,1.3425925925925988,955,pp+eod,0.8890833333333376,600,pp+stop,1.1851851851851933,955,eod,0.4074074074074165,610,time_stop,1.1851851851851933,955,eod
2025-01-10,QMCO,635,33.285,32.2,33.285,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop,-0.5852534562211997,650,time_stop,-1.0296774193548417,651,stop,-1.0296774193548417,651,stop
2025-01-10,SMCI,637,34.0216,33.36,34.0216,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop,-1.0504232164449847,643,stop
2025-01-10,SMCX,631,45.65,44.35,45.65,-1.0341153846153859,661,stop,0.5,633,target,0.7500000000000028,635,target,1.0,635,target,-1.0341153846153859,661,stop,0.2324423076923069,643,pp+stop,0.4824423076923069,643,pp+stop,-1.0341153846153859,661,stop,0.9570441538461578,638,pp+stop,-0.03846153846153636,646,time_stop,-0.8076923076923073,661,time_stop,-0.03511538461538621,643,stop
2025-01-10,TWFG,840,28.365,27.985,28.365,1.1184210526315836,957,eod,0.5000000000000047,880,target,0.7500000000000023,921,target,1.0,930,target,1.4999999999999953,940,target,0.8092105263157942,957,pp+eod,1.0592105263157918,957,pp+eod,1.3092105263157894,957,pp+eod,1.0739078947368443,943,pp+stop,-0.3815789473684209,870,time_stop,-0.3815789473684209,870,time_stop,1.1184210526315836,957,eod
2025-01-10,UVXY,607,23.42,23.065,23.42,-1.0649718309859126,623,stop,0.500000000000005,610,target,0.7499999999999974,611,target,1.0,613,target,-1.0649718309859126,623,stop,0.2170140845070426,618,pp+stop,0.46701408450704013,618,pp+stop,-1.0649718309859126,623,stop,0.8362219718309871,617,pp+stop,-0.506760563380281,622,time_stop,-1.0649718309859126,623,stop,-0.06597183098591979,618,stop
2025-01-10,VFC,625,22.305,22.065,22.305,2.0,702,target,0.4999999999999926,633,target,0.7500000000000037,645,target,1.0,653,target,1.5000000000000073,669,target,0.20353124999999736,636,pp+stop,1.5,702,pp+target,1.7500000000000036,702,pp+target,1.0258749999999976,671,pp+stop,0.0833333333333321,640,time_stop,2.0,702,target,1.4583333333333488,955,eod
2025-01-13,ACHC,615,46.69,46.125,46.69,-1.0816371681415995,697,stop,0.5,657,target,-1.0816371681415995,697,stop,-1.0816371681415995,697,stop,-1.0816371681415995,697,stop,0.20868141592920503,667,pp+stop,-1.0816371681415995,697,stop,-1.0816371681415995,697,stop,-1.0816371681415995,697,stop,-0.6548672566371663,630,time_stop,-0.08849557522123426,645,time_stop,-1.0816371681415995,697,stop
2025-01-13,ALGS,599,34.25,33.02,34.25,-0.08130081300813144,900,eod,0.4999999999999971,620,target,-0.08130081300813144,900,eod,-0.08130081300813144,900,eod,-0.08130081300813144,900,eod,0.2360772357723562,626,pp+stop,-0.08130081300813144,900,eod,-0.08130081300813144,900,eod,-0.08130081300813144,900,eod,0.1544715447154457,614,time_stop,-0.23008130081300973,629,time_stop,-0.08130081300813144,900,eod
2025-01-13,AMR,784,185.395,181.97,185.395,2.0,890,target,0.5,809,target,0.7499999999999959,809,target,1.0,812,target,1.5,867,target,1.25,890,pp+target,1.5,890,pp+target,1.75,890,pp+target,0.9418087591240849,819,pp+stop,-0.07445255474453227,799,time_stop,2.0,890,target,2.7007299270072904,955,eod
