book,cell,label,split,n,n_weeks,tr_per_wk,green_pct,flat_pct,red_pct,green_wks,flat_wks,red_streak,worst_wk,best_wk,mo_green_pct,worst_mo,mdd,pnl,wr,top1_share,top5_share,top10_share,wk_traded_pct
ORB,X0,E0 shipped,TRAIN,105,53,1.9811320754716981,37.735849056603776,35.84905660377358,26.41509433962264,20,19,3,-418.3564857054276,2523.6857854363334,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,35.23809523809524,0.13030499333162998,0.47365716424395965,0.842767800100028,75.47169811320755
ORB,X0,E0 shipped,VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,2315.68742891216,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,28.30188679245283,0.29485183259451253,0.7443372934299772,0.9659349272809652,78.26086956521739
ORB,E1a,E1 target +0.50R (whole),TRAIN,105,53,1.9811320754716981,37.735849056603776,35.84905660377358,26.41509433962264,20,19,3,-290.36227074933333,227.9791204393343,50.0,-322.127503217275,-597.8624824951886,-110.72792470761533,41.904761904761905,-1.1070625581308549,-5.059799040914575,-9.111955278828978,75.47169811320755
ORB,E1a,E1 target +0.50R (whole),VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,4,-337.6383531424998,319.1171669163207,20.0,-506.54385500282456,-846.6487541533237,-690.2865195524045,30.18867924528302,-0.1417993702626589,-0.3904162109538352,-0.600928508374503,78.26086956521739
ORB,E1b,E1 target +0.75R (whole),TRAIN,105,53,1.9811320754716981,35.84905660377358,35.84905660377358,28.30188679245283,19,19,3,-262.9310627493329,358.85261593933404,50.0,-325.7057651020741,-581.6480073664741,753.8397205236009,39.04761904761905,0.24612732260176046,1.0971926583635603,1.9756535374143804,75.47169811320755
ORB,E1b,E1 target +0.75R (whole),VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,487.00843092632005,40.0,-411.84176855282334,-738.1433182033232,-167.62370888240469,30.18867924528302,-0.8858524236419644,-2.441468530792771,-3.7617101989612487,78.26086956521739
ORB,E1c,E1 target +1.00R (whole),TRAIN,105,53,1.9811320754716981,35.84905660377358,35.84905660377358,28.30188679245283,19,19,5,-262.82263412335686,489.72611143933386,75.0,-388.1500716220743,-732.7392115864739,1940.2918524185995,38.095238095238095,0.12807267333188915,0.5712361604568622,1.0291636735817786,75.47169811320755
ORB,E1c,E1 target +1.00R (whole),VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,654.8996949363195,40.0,-317.13968210282394,-629.6378822533239,355.0391017875938,30.18867924528302,0.5607763842655433,1.5463000280870585,2.3836551460800957,78.26086956521739
ORB,E1d,E1 target +1.50R (whole),TRAIN,105,53,1.9811320754716981,39.62264150943396,35.84905660377358,24.528301886792452,21,19,2,-418.35282270542723,751.4731024393336,83.33333333333334,-154.7164208710265,-631.6697155864736,3664.9986325385994,35.23809523809524,0.10215938043174418,0.4559018863218458,0.7987344646689777,75.47169811320755
ORB,E1d,E1 target +1.50R (whole),VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,3,-337.6383531424998,990.6822229563198,60.0,-299.32589372282337,-500.4592368733224,997.4239805475956,28.30188679245283,0.30108850361554146,0.8306346296600051,1.2563440679836924,78.26086956521739
