cell,label,split,n,n_weeks,tr_per_wk,green_pct,flat_pct,red_pct,green_wks,flat_wks,red_streak,worst_wk,best_wk,mo_green_pct,worst_mo,mdd,pnl,wr,top1_share,top5_share,top10_share,wk_traded_pct
X0,E0 shipped (static lock 1.75R->+0.5R),TRAIN,105,53,1.9811320754716981,37.735849056603776,35.84905660377358,26.41509433962264,20,19,3,-418.3564857054276,2523.6857854363334,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,35.23809523809524,0.13030499333162998,0.47365716424395965,0.842767800100028,75.47169811320755
X0,E0 shipped (static lock 1.75R->+0.5R),VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,2315.68742891216,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,28.30188679245283,0.29485183259451253,0.7443372934299772,0.9659349272809652,78.26086956521739
X1,M-X1  X0 + 10-min time stop < +0.25R,TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-225.77034417390504,1010.089190033962,75.0,-43.75353041733191,-537.0412819119965,3926.062199491521,31.428571428571427,0.2211002432742332,0.7522934834962008,1.1847177058508067,75.47169811320755
X1,M-X1  X0 + 10-min time stop < +0.25R,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,6,-366.7719499396818,2137.47924764,60.0,-475.9669410956809,-532.5959495196804,4372.260063641633,22.641509433962266,0.4306807722468713,0.9702775752231761,1.203146134938411,78.26086956521739
X2,M-X2  X0 + 5-min time stop < 0R,TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-353.39868919142737,2523.6857854363334,91.66666666666666,-130.0049839466652,-553.2091525730193,6157.497731636843,26.666666666666668,0.14097501050748942,0.5124425549548861,0.9015952794123269,75.47169811320755
X2,M-X2  X0 + 5-min time stop < 0R,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,6,-247.91359393968128,2315.68742891216,80.0,-333.8218641721892,-549.8917606721889,6054.933106081794,26.41509433962264,0.3109940783296072,0.7850875081890818,1.0188169420308044,78.26086956521739
X3,"M-X3  no lock, hold to 15:45",TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-506.7058558974277,2523.6857854363334,66.66666666666666,-193.46632717847362,-787.2418046759021,6960.305798060646,30.476190476190478,0.2461411388434526,0.6191286531246383,0.9964483097195269,75.47169811320755
X3,"M-X3  no lock, hold to 15:45",VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,2379.8040136400004,100.0,159.12033712478714,-489.1654050560701,6566.603765661278,26.41509433962264,0.28676137739882407,0.7239133826474491,0.9394305871778315,78.26086956521739
X4,M-X4  no lock + 10-min time stop,TRAIN,105,53,1.9811320754716981,30.18867924528302,35.84905660377358,33.9622641509434,16,19,4,-304.125791125999,1810.4633074780538,58.333333333333336,-164.37818901333233,-755.9334386439969,4745.2976074909175,30.476190476190478,0.36103480488322837,0.9008636773281837,1.2623189320735628,75.47169811320755
X4,M-X4  no lock + 10-min time stop,VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-366.7719499396818,2137.47924764,60.0,-611.5637845196802,-532.5959495196805,4488.324870653633,20.754716981132077,0.419543681649565,0.9451869049259636,1.1722010051540255,78.26086956521739
X5,M-X5  no lock + 10-min TS + breakeven at +1R,TRAIN,105,53,1.9811320754716981,28.30188679245283,35.84905660377358,35.84905660377358,15,19,4,-353.0583349339994,1010.089190033962,66.66666666666666,-212.4047814049303,-727.7382607119962,2716.8100578957183,23.809523809523807,0.3195119603207335,1.0871393087987462,1.6443904352869725,75.47169811320755
X5,M-X5  no lock + 10-min TS + breakeven at +1R,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,3,-366.7719499396818,2137.47924764,60.0,-517.0573295756803,-531.8072589996806,4331.726707571633,18.867924528301888,0.4347107903603112,0.9793567736810367,1.214577760790325,78.26086956521739
